"id","param_name","param_datatype","custom_action_id","default_value"
"6","adapter_instance","string","26","NULL"
"7","project","integer","26","NULL"
"44","assignmentGroup","string","23","devTeam"
"45","ticketAssignment","string","23","assignee23"
"46","ticketCategory","string","23","severe"
"49","unextractedTicketCategory","NULL","33","NULL"
"79","ticketId","string","37","INC0040156"
"104","adapter_instance","string","43","NULL"
"105","project","string","43","NULL"
"106","isInstance","boolean","43","NULL"
"107","ticketDetails","string","43","NULL"
"112","adapter_instance","string","44","NULL"
"113","project","string","44","NULL"
"114","isInstance","boolean","44","NULL"
"115","ticketDetails","string","44","NULL"
"120","adapter_instance","string","45","NULL"
"121","project","string","45","NULL"
"122","isInstance","boolean","45","NULL"
"123","ticketDetails","string","45","NULL"
"128","adapter_instance","string","46","NULL"
"129","project","string","46","NULL"
"130","isInstance","boolean","46","NULL"
"131","ticketDetails","string","46","NULL"
"138","applicationId","integer","36","2"
"139","ticketId","string","36","TN123"
"148","isInstance","boolean","47","true"
"149","prompt","string","47","You are content creator . Generate content for {topic}"
"150","promptParam1","string","47","Global Warming"
"191","applicationId","integer","29","2"
"192","ticketId","string","29","INC0065735"
"199","ticketId","string","35","NULL"
"206","code","string","5",""
"207","code","string","6",""
"208","product_features","string","7",""
"209","ciInfoInputCi","string","12","AcmeApp"
"210","ciInfoInputCIType","string","12","App"
"211","ciInfoOutput","string","13",""
"212","ciHealthOutput","string","14",""
"213","suggestBotOutput","string","16",""
"214","ciValidateHealthOutput","string","16",""
"215","ciValidateHealthOutput","string","15",""
"217","requirement_text","string","2","build a login component with angular front end and springboot backend using oauth based authentication for enterprise applications"
"218","requirement_spec","string","3","**User Requirements**

* The user shall be able to log in to the application using their enterprise credentials.
* The user shall be able to see a list of all the applications they have access to.
* The user shall be able to launch any of the applications they have access to.

**Functional Requirements**

* The login component shall be implemented using Angular.
* The backend shall be implemented using Spring Boot.
* The application shall use OAuth 2.0 for authentication.
* The application shall use a centralized user directory for authentication.
* The application shall support single sign-on (SSO).
* The application shall support multi-factor authentication (MFA).

**Non-Functional Requirements**

* The application shall be scalable to support a large number of users.
* The application shall be highly available.
* The application shall be secure.
* The application shall be easy to use.
* The application shall be well-documented.

**Additional Requirements**

* The application shall be developed using agile development methodologies.
* The application shall be tested using automated testing tools.
* The application shall be deployed using continuous integration and continuous deployment (CI/CD) pipelines.
* The application shall be monitored using a centralized monitoring system.
* The application shall be supported by a dedicated support team."
