"id","selector_param","workflow_state","workflow_status","time","workflow_type_id","workflow_id","event_id","event_type_id","event_status"
"1242963","WFE1990","START","START","2024-09-06T06:48:40","49","315640","1243421","228","COMPLETE"
"1242964","WFE1990","START","INPROGRESS","2024-09-06T06:48:44","49","315640","1243422","229","COMPLETE"
"1242965","WFE1990","START","INPROGRESS","2024-09-06T06:48:53","49","315640","1243423","230","COMPLETE"
"1242966","WFE1990","START","INPROGRESS","2024-09-06T06:48:56","49","315640","1243424","238","COMPLETE"
"1242967","WFE1990","START","INPROGRESS","2024-09-06T06:49:04","49","315640","1243425","231","COMPLETE"
"1242968","WFE1990","START","INPROGRESS","2024-09-06T06:49:12","49","315640","1243426","236","COMPLETE"
"1242969","WFE1990","START","INPROGRESS","2024-09-06T06:49:19","49","315640","1243427","232","COMPLETE"
"1242970","WFE1990","START","INPROGRESS","2024-09-06T06:49:28","49","315640","1243428","234","COMPLETE"
"1242971","WFE1990","START","INPROGRESS","2024-09-06T06:49:28","49","315640","1243429","233","COMPLETE"
"1242972","WFE1990","START","INPROGRESS","2024-09-06T06:49:29","49","315640","1243430","237","COMPLETE"
"1242973","WFE1990","Complete","COMPLETE","2024-09-06T06:49:29","49","315640","1243431","239","SUCCESS"
"1242974","WFE0069","START","START","2024-09-06T06:51:36","49","315642","1243432","228","COMPLETE"
"1242975","WFE0069","START","INPROGRESS","2024-09-06T06:51:41","49","315642","1243433","229","COMPLETE"
"1242976","WFE0069","START","INPROGRESS","2024-09-06T06:51:50","49","315642","1243434","230","COMPLETE"
"1242977","WFE0069","START","INPROGRESS","2024-09-06T06:51:53","49","315642","1243435","238","COMPLETE"
"1242978","WFE0069","START","INPROGRESS","2024-09-06T06:52:02","49","315642","1243436","231","COMPLETE"
"1242979","WFE0069","START","INPROGRESS","2024-09-06T06:52:10","49","315642","1243437","236","COMPLETE"
"1242980","WFE0069","START","INPROGRESS","2024-09-06T06:52:17","49","315642","1243438","232","COMPLETE"
"1242981","WFE0069","START","INPROGRESS","2024-09-06T06:52:23","49","315642","1243439","234","COMPLETE"
"1242982","WFE0069","START","INPROGRESS","2024-09-06T06:52:23","49","315642","1243440","233","COMPLETE"
"1242983","WFE0069","START","INPROGRESS","2024-09-06T06:52:24","49","315642","1243441","237","COMPLETE"
"1242984","WFE0069","Complete","COMPLETE","2024-09-06T06:52:24","49","315642","1243442","239","SUCCESS"
"1242985","WFE8750","START","START","2024-09-06T06:59:21","49","315644","1243443","228","COMPLETE"
"1242986","WFE8750","START","INPROGRESS","2024-09-06T06:59:26","49","315644","1243444","229","COMPLETE"
"1242987","WFE8750","START","INPROGRESS","2024-09-06T06:59:35","49","315644","1243445","230","COMPLETE"
"1242988","WFE8750","START","INPROGRESS","2024-09-06T06:59:37","49","315644","1243446","238","COMPLETE"
"1242989","WFE8750","START","INPROGRESS","2024-09-06T06:59:47","49","315644","1243447","231","COMPLETE"
