attributes,dataset_type,description,exp_status,name,organization,schemajson,type,backing_dataset,dataset_schema,datasource,lastmodifiedby,lastmodifieddate,alias,context,is_approval_required,is_permission_managed,is_inbox_required,is_audit_required,is_archival_enabled,archival_config,dashboard,metadata,modeltype,views,taskdetails,tags,interfacetype,adaptername,isadapteractive,indexname,summary,event_details
"{""filter"":"""",""mode"":""query"",""Query"":""select number, shortdescription, DetectedLanguage from @projectname_tickets_language"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""overwrite"",""params"":""{}"",""tableName"":""@projectname_tickets_language"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,LEODTCTD81889,leo1311,NULL,r,NULL,NULL,leo1311,admin,40:10.4,Detected Language,NULL,\0,\0,\0,\0,NULL,NULL,NULL,NULL,NULL,Table View,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from @projectname_translated_tickets"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""overwrite"",""params"":""{}"",""tableName"":""@projectname_translated_tickets"",""uniqueIdentifier"":""number""}",NULL,NULL,NULL,LEOTRNSL80208,leo1311,NULL,r,NULL,NULL,leo1311,admin,41:52.5,Translated Tickets,NULL,\0,\0,\0,\0,NULL,NULL,NULL,NULL,NULL,Table View,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTLMTR57504","leo1311","""\\""null\\""""","r",NULL,NULL,"LEOTLMTR19390","admin","2025-02-04 09:12:58.997546","telemetry new dataset",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""isStreaming"":""false"",""defaultValues"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOSNPSH41456","leo1311","""null""","r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:39:11.741841","snapshot",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS Dashboard_Name,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top 3 dashboard' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTP3DS97285","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-30 08:28:43.459257","Top 3 Dashboard",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS Dashboard_Name,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].project')) AS project,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].cnt')) AS cnt\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top 3 dashboard by project' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.project, CONCAT('$[', n.n, ']'))) AS project,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.cnt, CONCAT('$[', n.n, ']'))) AS cnt\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name)"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTP3DS48621","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-30 08:27:51.148038","Top 3 Dashboard by Project",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from dailysnapshot"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOSNPSH56321","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:14:39.929794","Snapshot",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""select * from open_telemetry"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTLMTR94537","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-17 08:32:54.821650","telemetrynewdb",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top questionnaire') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTPQST36538","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 09:53:32.323853","Questionnaire Count",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].component')) AS COMPONENT,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top component') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.component, CONCAT('$[', n.n, ']'))) AS COMPONENT,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.component);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOIVMSC76728","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 09:59:14.782838","IVM Screen Count",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].component')) AS COMPONENT,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top component') AS t\\n),\\nparsed_data AS (\\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(td.component, CONCAT('$[', n.n, ']'))) AS COMPONENT,\\n        CAST(JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS UNSIGNED) AS counts\\n    FROM telemetry_data td\\n    INNER JOIN numbers n ON n.n < JSON_LENGTH(td.component)\\n)\\nSELECT COMPONENT, counts\\nFROM parsed_data\\nORDER BY counts DESC\\nLIMIT 1;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOTPVST15017","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 10:06:34.751243","Top Visited IVM Screen",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top questionnaire') AS t\\n),\\nparsed_data AS (\\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n        CAST(JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS UNSIGNED) AS counts\\n    FROM telemetry_data td\\n    INNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire)\\n)\\nSELECT questionnaire, counts\\nFROM parsed_data\\nORDER BY counts DESC\\nLIMIT 1;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOTPVST17759","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 10:11:36.863018","Top Visited Questionnaire",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='questionnaires saved') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOQSTNR77855","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 11:43:33.675886","Questionnaires Saved",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='questionnaires submitted') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOQSTNR25843","leo1311",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 11:44:34.707275","Questionnaires Submitted",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
