"id","ci_name","ctype","startTime","endTime","occurrences","current","min","max","count","standardDeviation","sum","metricValueFinal","metricValue","metricType","project_id","metricPath","apiType","dashboardType","apmType","description"
"1","HOST-4A5CCB7A6A2BC66B","Host","1680172200000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","39.012","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"2","HOST-4A5CCB7A6A2BC66B","Host","1664534100000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","39.0865","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"3","HOST-4A5CCB7A6A2BC66B","Host","1664534400000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","38.3661","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"4","HOST-4A5CCB7A6A2BC66B","Host","1664534700000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","41.8968","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"5","HOST-4A5CCB7A6A2BC66B","Host","1664535000000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","43.8968","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"6","HOST-4A5CCB7A6A2BC66B","Host","1664535300000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","48.1334","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"7","HOST-4A5CCB7A6A2BC66B","Host","1664535600000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","41.1467","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"8","HOST-4A5CCB7A6A2BC66B","Host","1664535900000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","40.6743","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"9","HOST-4A5CCB7A6A2BC66B","Host","1664536200000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","38.8944","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"10","HOST-4A5CCB7A6A2BC66B","Host","1664536500000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","38.7898","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"11","HOST-4A5CCB7A6A2BC66B","Host","1664536800000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","47.3252","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"12","HOST-4A5CCB7A6A2BC66B","Host","1664537100000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","43.5974","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"13","HOST-E157615BDEE56704","Host","1668060600000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25.5155","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"14","HOST-E157615BDEE56704","Host","1668060300000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24.7769","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"15","HOST-E157615BDEE56704","Host","1668060000000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24.7835","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"16","HOST-E157615BDEE56704","Host","1668059700000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24.0662","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
"17","HOST-E157615BDEE56704","Host","1668059400000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25.2891","CPU Usage %","2","builtin:host.cpu.usage","NULL","Monitoring","DT","NULL"
