"Workflow_ID","Workflow_Name","Rec_Act_Ind","Last_Updated_Dts","Rec_Created_Dts","Workflow_Type_ID","Estimated_Execution_Minute","Static_Input_Ind","Workflow_Partial_Ind","Workflow_Input_Json","Last_Updated_By","Resolved_Multiple_Input","FileID","LastSuccessExecutionTime"
"1","Classifer","true","2020-04-15T03:48:26","2020-04-15T03:48:26","3","1","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","1","NULL"
"2","ProccessInvoiceResolver","true","2021-05-26T02:05:12","2020-04-15T03:49:32","4","5","false","false","[]","1","false","2","NULL"
"3","Extractor","true","2021-05-19T23:48:44","2021-05-19T23:48:44","2","2","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","3","false","1","NULL"
"4","Classifer","true","2021-05-19T21:48:41","2020-04-15T03:48:26","3","1","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","1","NULL"
"5","Extractor","true","2021-05-26T02:29:40","2021-05-26T02:01:06","2","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","3","NULL"
"6","ProcessInvoiceClassifier","true","2021-05-27T03:27:56","2021-05-26T02:02:07","3","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","4","NULL"
"7","ShippingCancellation_ICAP","true","2021-05-26T03:19:29","2021-05-26T03:19:29","4","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","5","NULL"
"8","SelfHealing","true","2021-05-26T04:39:09","2021-05-26T04:39:09","4","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","6","NULL"
"9","ConvInvoice","true","2021-05-26T22:17:23","2021-05-26T22:17:23","4","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","7","NULL"
"10","Extractor_CPU","true","2023-11-15T10:08:23","2023-11-15T10:08:23","2","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","8","NULL"
"11","DT_Classifier1","true","2023-11-15T12:44:23","2023-11-15T12:44:23","3","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","9","NULL"
"12","DT_Resolver_SelfHealing","true","2023-11-15T12:50:23","2023-11-15T12:50:23","4","5","true","false","[{\"InputData\":\"{\\r\\n  \\\"Data\\\": \\\"null\\\"\\r\\n}\",\"ID\":1}]","1","false","10","NULL"
