"id","option_text","option_act_ind","last_updated_by","last_updated_dts","option_navigation_link","question_id"
"1","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","23"
"2","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","25"
"3","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","27"
"4","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","29"
"5","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","31"
"6","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","33"
"7","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","35"
"8","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","37"
"9","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","39"
"10","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","41"
"11","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","43"
"12","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","45"
"13","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","47"
"14","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","49"
"15","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","51"
"16","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:02","NULL","53"
"17","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:03","NULL","55"
"18","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:03","NULL","57"
"19","1. Y
2. N
3. NA","true","1","2020-06-04T05:50:03","NULL","59"
"20","1. Y
2. N","true","1","2020-06-04T05:51:56","NULL","99"
"21","1. Manufacturing","true","1","2020-06-04T05:52:37","NULL","117"
"22","2. TeleCommunication","true","1","2020-06-04T05:52:37","NULL","117"
"23","3. Retail","true","1","2020-06-04T05:52:37","NULL","117"
"24","4. Services","true","1","2020-06-04T05:52:37","NULL","117"
"25","5. Oil and gas","true","1","2020-06-04T05:52:37","NULL","117"
"26","6. Mining","true","1","2020-06-04T05:52:37","NULL","117"
"27","7. Banking and Finance","true","1","2020-06-04T05:52:37","NULL","117"
"28","8. Media","true","1","2020-06-04T05:52:37","NULL","117"
"29","9. Others","true","1","2020-06-04T05:52:37","NULL","117"
"30","1. Large Enterprice","true","1","2020-06-04T05:52:37","NULL","123"
"31","2. Small Business Users","true","1","2020-06-04T05:52:37","NULL","123"
"32","3. Retails Users","true","1","2020-06-04T05:52:37","NULL","123"
"33","4. Wholesale","true","1","2020-06-04T05:52:37","NULL","123"
"34","5. Others","true","1","2020-06-04T05:52:37","NULL","123"
"35","1) requirement document(s)","true","1","2020-06-04T05:52:37","NULL","132"
"36","2) functional design document(s)","true","1","2020-06-04T05:52:37","NULL","132"
"37","3) UI/Workflow diagrams","true","1","2020-06-04T05:52:37","NULL","132"
