"id","weeknum","yearweek"
"1","1","2020-01"
"2","2","2020-02"
"3","3","2020-03"
"4","4","2020-04"
"5","5","2020-05"
"6","6","2020-06"
"7","7","2020-07"
"8","8","2020-08"
"9","9","2020-09"
"10","10","2020-10"
"11","11","2020-11"
"12","12","2020-12"
"13","13","2020-13"
"14","14","2020-14"
"15","15","2020-15"
"16","16","2020-16"
"17","17","2020-17"
"18","18","2020-18"
"19","19","2020-19"
"20","20","2020-20"
"21","21","2020-21"
"22","22","2020-22"
"23","23","2020-23"
"24","24","2020-24"
"25","25","2020-25"
"26","26","2020-26"
"27","27","2020-27"
"28","28","2020-28"
"29","29","2020-29"
"30","30","2020-30"
"31","31","2020-31"
"32","32","2020-32"
"33","33","2020-33"
"34","34","2020-34"
"35","35","2020-35"
"36","36","2020-36"
"37","37","2020-37"
"38","38","2020-38"
"39","39","2020-39"
"40","40","2020-40"
"41","41","2020-41"
"42","42","2020-42"
"43","43","2020-43"
"44","44","2020-44"
"45","45","2020-45"
"46","46","2020-46"
"47","47","2020-47"
"48","48","2020-48"
"49","49","2020-49"
"50","50","2020-50"
"51","51","2020-51"
"52","52","2020-52"
"61","53","2020-53"
"62","54","2021-01"
"63","55","2021-02"
"64","56","2021-03"
"66","57","2021-04"
"67","58","2021-05"
"68","59","2021-06"
"69","60","2021-07"
"70","61","2021-08"
"71","62","2021-09"
"72","63","2021-10"
"73","64","2021-11"
"74","65","2021-12"
"75","66","2021-13"
"76","67","2021-14"
"77","68","2021-15"
