"id","label","category"
"2","en","language"
"3","es","language"
"4","fr","language"
"5","de","language"
"6","ru","language"
"7","pt","language"
"8","zh","language"
"9","ar","language"
"10","it","language"
"11","pl","language"
"12","nl","language"
"13","id","language"
"14","hi","language"
"15","ko","language"
"16","sv","language"
"17","fi","language"
"18","ca","language"
"19","tr","language"
"20","ja","language"
"21","ro","language"
"22","cs","language"
"23","bn","language"
"24","da","language"
"25","ta","language"
"26","vi","language"
"27","sl","language"
"28","el","language"
"29","hu","language"
"30","th","language"
"31","te","language"
"32","et","language"
"33","fa","language"
"34","ml","language"
"35","bg","language"
"36","ur","language"
"37","lv","language"
"38","mr","language"
"39","lt","language"
"40","sk","language"
"41","hr","language"
"42","kn","language"
"43","sw","language"
"44","gu","language"
"45","eu","language"
"46","mt","language"
"47","pa","language"
"48","uk","language"
"49","he","language"
"50","is","language"
"51","ga","language"
"52","si","language"
"53","no","language"
"54","or","language"
"55","sr","language"
"56","code","language"
"57","af","language"
"58","as","language"
"59","ms","language"
"60","ne","language"
"61","cy","language"
"62","yo","language"
"63","my","language"
"64","tl","language"
"65","am","language"
"66","hy","language"
"67","be","language"
"68","ka","language"
"69","gl","language"
"70","km","language"
"71","az","language"
"72","sq","language"
"73","eo","language"
"74","kk","language"
"75","ig","language"
"76","uz","language"
"77","br","language"
"78","ha","language"
"79","ky","language"
"80","mk","language"
"81","rw","language"
"82","la","language"
"83","so","language"
"84","mn","language"
"85","xh","language"
"86","nn","language"
"87","zu","language"
"88","ku","language"
"89","tg","language"
"90","fy","language"
"91","ps","language"
"92","tt","language"
"93","gd","language"
"94","lb","language"
"95","yi","language"
"96","bs","language"
"97","sa","language"
"98","nb","language"
"99","jv","language"
"100","lo","language"
"101","ug","language"
"102","ht","language"
"103","sd","language"
"104","wo","language"
"105","lg","language"
"106","mg","language"
"107","oc","language"
"108","bo","language"
"109","fo","language"
"110","qu","language"
"111","sn","language"
"112","tk","language"
"113","tn","language"
"114","dv","language"
"115","ia","language"
"116","ny","language"
"117","st","language"
"118","cv","language"
"119","multilingual","language"
"120","bm","language"
"121","gn","language"
"122","mi","language"
"123","rm","language"
"124","su","language"
"125","ts","language"
"126","ba","language"
"127","io","language"
"128","ln","language"
"129","rn","language"
"130","sh","language"
"131","tw","language"
"132","wa","language"
"133","an","language"
"134","li","language"
"135","vo","language"
"136","ce","language"
"137","os","language"
"138","ak","language"
"139","om","language"
"140","ti","language"
"141","co","language"
"142","gv","language"
"143","kw","language"
"144","ch","language"
"145","ki","language"
"146","ve","language"
"147","sc","language"
"148","se","language"
"149","sm","language"
"150","ay","language"
"151","bi","language"
"152","ee","language"
"153","ie","language"
"154","ss","language"
"155","ab","language"
"156","bh","language"
"157","dz","language"
"158","iu","language"
"159","nv","language"
"160","av","language"
"161","ff","language"
"162","kg","language"
"163","kl","language"
"164","kv","language"
"165","sg","language"
"166","to","language"
"167","cu","language"
"168","fj","language"
"169","ks","language"
"170","iw","language"
"171","kr","language"
"172","mh","language"
"173","aa","language"
"174","cr","language"
"175","ii","language"
"176","pi","language"
"177","ty","language"
"178","za","language"
"179","oj","language"
"180","ho","language"
"181","ik","language"
"182","kj","language"
"183","na","language"
"184","ng","language"
"185","nr","language"
"186","ns","language"
"187","py","language"
"188","me","language"
"189","cn","language"
"190","ae","language"
"191","hz","language"
"192","lu","language"
"193","nd","language"
"194","cz","language"
"195","in","language"
"196","ji","language"
"197","dk","language"
"198","jb","language"
