"id","project_id","ci_image","ci_image_name","ci_name","dcount","dtype","icon","order_value","ssp_color","url","views","ctype","dashboard","thershold_mapping"
"1","2","NULL","NULL","Plan","NULL","NULL","NULL","1","NULL","NULL","NULL","2","NULL","NULL"
"2","2","NULL","NULL","Buy","NULL","NULL","NULL","2","NULL","NULL","NULL","2","NULL","NULL"
"3","2","NULL","NULL","Make","NULL","NULL","NULL","3","NULL","NULL","NULL","2","NULL","NULL"
"4","2","NULL","NULL","Move","NULL","NULL","NULL","4","NULL","NULL","NULL","2","NULL","NULL"
"5","2","NULL","NULL","Sell","NULL","NULL","NULL","5","NULL","NULL","NULL","2","NULL","NULL"
"6","2","NULL","NULL","Disruption","NULL","NULL","NULL","1","NULL","NULL","NULL","1","NULL","NULL"
"7","2","NULL","NULL","Pricing Scheduling","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"8","2","NULL","NULL","Brand Management","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"9","2","NULL","NULL","Marketing Planning","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"10","2","NULL","NULL","Promotion","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"11","2","NULL","NULL","Category Supply Planning","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"12","2","NULL","NULL","Distribution Planning","NULL","NULL","NULL","6","NULL","NULL","NULL","3","NULL","NULL"
"13","2","NULL","NULL","Sourcing","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"14","2","NULL","NULL","Vendor Management","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"15","2","NULL","NULL","Raw Material Management","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"16","2","NULL","NULL","Finance Management","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"17","2","NULL","NULL","Quality Assurance","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"18","2","NULL","NULL","Quality Execution","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"19","2","NULL","NULL","Equipment Alignment","NULL","NULL","NULL","3","NULL","NULL","NULL","3","NULL","NULL"
"20","2","NULL","NULL","Production Planning","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"21","2","NULL","NULL","Receiving Material","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
"22","2","NULL","NULL","Shipping","NULL","NULL","NULL","1","NULL","NULL","NULL","3","NULL","NULL"
"23","2","NULL","NULL","Inventory Management","NULL","NULL","NULL","2","NULL","NULL","NULL","3","NULL","NULL"
"24","2","NULL","NULL","Order Scheduling","NULL","NULL","NULL","4","NULL","NULL","NULL","3","NULL","NULL"
"25","2","NULL","NULL","Pick Pack","NULL","NULL","NULL","5","NULL","NULL","NULL","3","NULL","NULL"
