"entity","entity_type","model_group","organization"
"BCC","datasource","Leap","leo1311"
"5_fastest_wf","dataset","Leap","leo1311"
"5_Slowest_wf","dataset","Leap","leo1311"
"5fastest_processes","dataset","Leap","leo1311"
"5slowest_processes","dataset","Leap","leo1311"
"ACMCLNTC99308","pipeline","Leap","leo1311"
"ACMCLSTR21224","pipeline","Leap","leo1311"
"ACMCLSTR52976","pipeline","Leap","leo1311"
"ACMSLCLC50990","pipeline","Leap","leo1311"
"ACMATSGN51350","pipeline","Leap","leo1311"
"ACMCLSTR99942","pipeline","Leap","leo1311"
"Acme_bjm1_Groupwise_count_of_Job_Instances","dataset","Leap","leo1311"
"Acme_bjm1_JobPredictedDuration","dataset","Leap","leo1311"
"Acme_bjm1_Jobwise_count_of_Job_Instances","dataset","Leap","leo1311"
"Acme_bjm1_scheduled_jobs","dataset","Leap","leo1311"
"Acme_bjm1_Table_data","dataset","Leap","leo1311"
"Acme_bjm1_Total_dependent_job_Instances","dataset","Leap","leo1311"
"Acme_bjm1_Total_Groups","dataset","Leap","leo1311"
"Acme_bjm1_Total_Job_Instances","dataset","Leap","leo1311"
"Acme_bjm1_Total_Jobs","dataset","Leap","leo1311"
"Acme_bjm1_TotalFailedJobInstances","dataset","Leap","leo1311"
"Acme_bjm1_TotalJobAvgCompletionDuration","dataset","Leap","leo1311"
"Acme_bjm1_TotalJobAvgPredictedDuration","dataset","Leap","leo1311"
"Acme_bjm2_dependent_running_instances_detail","dataset","Leap","leo1311"
"Acme_bjm2_Failed_Job_Instances_Name","dataset","Leap","leo1311"
"Acme_bjm2_GroupsTotalJobInstanceNames","dataset","Leap","leo1311"
"Acme_bjm2_GroupsTotalJobInstances","dataset","Leap","leo1311"
"Acme_bjm2_GroupsTotalJobs","dataset","Leap","leo1311"
"Acme_bjm2_Job_Instance_table_data","dataset","Leap","leo1311"
"Acme_bjm2_monthwise_failed_job_instances","dataset","Leap","leo1311"
"Acme_bjm2_Statewise_Job_Instances_Count","dataset","Leap","leo1311"
"Acme_bjm2_StatuswiseJobInstancesCount","dataset","Leap","leo1311"
"Acme_bjm3_NetworkGraph","dataset","Leap","leo1311"
"Acme_bjm3_ticket_details","dataset","Leap","leo1311"
"Acme_L3_CountPredecessors","dataset","Leap","leo1311"
"Acme_L3_CountSuccessors","dataset","Leap","leo1311"
"Acme_L3_FailedJobTicket","dataset","Leap","leo1311"
"Acme_L3_FutureJobInstance_Details","dataset","Leap","leo1311"
"Acme_L3_JobInstance_EndTime","dataset","Leap","leo1311"
"Acme_L3_JobInstance_Status","dataset","Leap","leo1311"
"Acme_L3_JobInstanceGroupName","dataset","Leap","leo1311"
"Acme_L3_JobInstanceStartTime","dataset","Leap","leo1311"
"Acme_L3_PastJobInstance_Details","dataset","Leap","leo1311"
"Acme_L3_PredecessorNetworkGraph","dataset","Leap","leo1311"
"Acme_L3_SuccessorNetworkGraph","dataset","Leap","leo1311"
"ACMNGRMN92761","pipeline","Leap","leo1311"
"ACMPHRSX44652","pipeline","Leap","leo1311"
"Active_Bots_","dataset","Leap","leo1311"
"Aio_ticket_sla","dataset","Leap","leo1311"
"AnomalyDetection","pipeline","Leap","leo1311"
"ApplicationCount","dataset","Leap","leo1311"
"AutomatedTickets","dataset","Leap","leo1311"
"Avg_per_bot_","dataset","Leap","leo1311"
"Avg_Time_","dataset","Leap","leo1311"
"bot_executed_in_telemetry","dataset","Leap","leo1311"
"Bot_Execution_by_technology","dataset","Leap","leo1311"
"Bot_executions_details_","dataset","Leap","leo1311"
"Bot_per_wf","dataset","Leap","leo1311"
"botCount","dataset","Leap","leo1311"
"botFactoryTechnology","dataset","Leap","leo1311"
"botSpecificationCategory","dataset","Leap","leo1311"
"botTechnology","dataset","Leap","leo1311"
"botType","dataset","Leap","leo1311"
"botUsageStat","dataset","Leap","leo1311"
"btf_Avg_execution_time","dataset","Leap","leo1311"
"btf_Avg_execution_time_new","dataset","Leap","leo1311"
"btf_Deployed_count","dataset","Leap","leo1311"
"btf_Process","dataset","Leap","leo1311"
"btf_Queue_Size","dataset","Leap","leo1311"
"btf_Scheduled_wf","dataset","Leap","leo1311"
"btf_WorkflowDetails","dataset","Leap","leo1311"
"Build_Vocab","pipeline","Leap","leo1311"
"ClaimAvgDurationDesk","dataset","Leap","leo1311"
"ClaimCountFreq","dataset","Leap","leo1311"
"ClaimDeskFilter","dataset","Leap","leo1311"
"ClaimEdgeAvgDur","dataset","Leap","leo1311"
"ClaimEvtFilter","dataset","Leap","leo1311"
"ClaimFreqDesk","dataset","Leap","leo1311"
"ClaimFreqPercent","dataset","Leap","leo1311"
"ClaimFreqVariation","dataset","Leap","leo1311"
"ClaimGraphTbl","dataset","Leap","leo1311"
"ClaimPUFilter","dataset","Leap","leo1311"
"ClaimVariantAvgDurBar","dataset","Leap","leo1311"
"ClaimVariantFilter","dataset","Leap","leo1311"
"ClaimVariationDrilldownTable","dataset","Leap","leo1311"
"ClosedTickets","dataset","Leap","leo1311"
"Cluster_Count","dataset","Leap","leo1311"
"Cluster_Details","dataset","Leap","leo1311"
"Cluster_incident_count_by_close_Code","dataset","Leap","leo1311"
