"probe_run_trans_details_Id","probe_run_trans_Id","sequence_number","probe_run_stepName","probe_run_stepstartdate","probe_run_stependdate","probe_run_eststepstartdate","probe_run_eststependdate","probe_run_stepdiff","probe_run_step_status"
"829","1","1","Navigation to URL","2020-03-20T10:18:36","2020-03-20T10:18:36","2020-03-20T05:18:36","2020-03-20T05:18:36","239.0","P"
"830","1","2","Check Heartbeat","2020-03-20T10:18:37","2020-03-20T10:18:37","2020-03-20T05:18:37","2020-03-20T05:18:37","427.0","P"
"831","2","1","Navigation to URL","2020-03-20T10:18:56","2020-03-20T10:18:56","2020-03-20T05:18:56","2020-03-20T05:18:56","461.0","P"
"832","2","2","Check HeartBeat for CISPRO","2020-03-20T10:18:57","2020-03-20T10:18:58","2020-03-20T05:18:57","2020-03-20T05:18:58","753.0","P"
"833","3","1","Navigation to URL","2020-03-20T10:19:11","2020-03-20T10:19:11","2020-03-20T05:19:11","2020-03-20T05:19:11","196.0","P"
"834","3","2","Check Heartbeat","2020-03-20T10:19:12","2020-03-20T10:19:12","2020-03-20T05:19:12","2020-03-20T05:19:12","391.0","P"
"835","4","1","Navigation to URL","2020-03-20T10:19:56","2020-03-20T10:19:56","2020-03-20T05:19:56","2020-03-20T05:19:56","196.0","F"
"836","4","2","Check Heartbeat","2020-03-20T10:19:56","2020-03-20T10:19:56","2020-03-20T05:19:56","2020-03-20T05:19:56","420.0","F"
"837","5","1","Navigation to URL","2020-03-20T10:20:13","2020-03-20T10:20:13","2020-03-20T05:20:13","2020-03-20T05:20:13","163.0","P"
"838","5","2","Check Heartbeat","2020-03-20T10:20:13","2020-03-20T10:20:13","2020-03-20T05:20:13","2020-03-20T05:20:13","408.0","P"
"876","6","1","Navigation to URL","2020-03-21T11:44:45","2020-03-21T11:44:45","2020-03-21T06:44:45","2020-03-21T06:44:45","206.0","P"
"877","6","2","Enter Username","2020-03-21T11:44:54","2020-03-21T11:44:54","2020-03-21T06:44:54","2020-03-21T06:44:54","456.0","P"
"878","6","3","Enter Password","2020-03-21T11:44:56","2020-03-21T11:44:57","2020-03-21T06:44:56","2020-03-21T06:44:57","568.0","P"
"879","6","4","Click Login Button","2020-03-21T11:44:57","2020-03-21T11:44:57","2020-03-21T06:44:57","2020-03-21T06:44:57","484.0","P"
"880","7","1","Navigation to URL","2020-03-21T11:55:37","2020-03-21T11:55:38","2020-03-21T06:55:37","2020-03-21T06:55:38","839.0","P"
"881","7","2","Check Heartbeat","2020-03-21T11:55:37","2020-03-21T11:55:37","2020-03-21T06:55:37","2020-03-21T06:55:37","384.0","P"
"888","8","1","Navigation to URL","2020-03-21T11:55:41","2020-03-21T11:55:41","2020-03-21T06:55:41","2020-03-21T06:55:41","207.0","F"
"889","8","2","Enter Username","2020-03-21T11:55:43","2020-03-21T11:55:43","2020-03-21T06:55:43","2020-03-21T06:55:43","35.0","F"
"890","8","3","Enter Password","2020-03-21T11:55:44","2020-03-21T11:55:44","2020-03-21T06:55:44","2020-03-21T06:55:44","490.0","F"
"891","8","4","Click Login Button","2020-03-21T11:55:44","2020-03-21T11:55:45","2020-03-21T06:55:44","2020-03-21T06:55:45","508.0","F"
"892","8","5","Click OK on Role Page","2020-03-21T11:55:48","2020-03-21T11:55:48","2020-03-21T06:55:48","2020-03-21T06:55:48","188.0","F"
"893","8","6","Click Profile","2020-03-21T11:56:30","2020-03-21T11:56:31","2020-03-21T06:56:30","2020-03-21T06:56:31","754.0","F"
"894","8","7","Click SignOut","2020-03-21T11:56:31","2020-03-21T11:56:31","2020-03-21T06:56:31","2020-03-21T06:56:31","450.0","F"
"901","9","1","Navigation to URL","2020-03-22T10:23:57","2020-03-22T10:23:57","2020-03-22T05:23:57","2020-03-22T05:23:57","310.0","P"
"902","9","2","Enter Username","2020-03-22T10:24","2020-03-22T10:24:01","2020-03-22T05:24","2020-03-22T05:24:01","856.0","P"
"903","9","3","Enter Password","2020-03-22T10:24:01","2020-03-22T10:24:02","2020-03-22T05:24:01","2020-03-22T05:24:02","603.0","P"
"904","9","4","Click Login Button","2020-03-22T10:24:01","2020-03-22T10:24:02","2020-03-22T05:24:01","2020-03-22T05:24:02","579.0","P"
"905","9","5","Click OK on Role Page","2020-03-22T10:24:07","2020-03-22T10:24:08","2020-03-22T05:24:07","2020-03-22T05:24:08","995.0","P"
"906","9","6","Click Profile","2020-03-22T10:26:11","2020-03-22T10:26:12","2020-03-22T05:26:11","2020-03-22T05:26:12","963.0","P"
"907","9","7","Click SignOut","2020-03-22T10:26:12","2020-03-22T10:26:13","2020-03-22T05:26:12","2020-03-22T05:26:13","908.0","P"
"1816","11","1","Navigation to URL","2020-04-16T14:15:33","2020-04-16T14:15:36","2020-04-16T14:15:40","2020-04-16T14:15:44","310.0","P"
"1817","11","2","Enter Username","2020-04-16T14:16:51","2020-04-16T14:16:54","2020-04-16T14:16:57","2020-04-16T14:17","856.0","P"
"1818","11","3","Enter Password","2020-04-16T14:17:28","2020-04-16T14:17:33","2020-04-16T14:17:35","2020-04-16T14:17:37","603.0","P"
"1819","11","4","Click Login Button","2020-04-16T14:17:59","2020-04-16T14:18:03","2020-04-16T14:18:05","2020-04-16T14:18:07","579.0","P"
"1820","12","1","Navigation To URL","2020-04-16T14:23:24","2020-04-16T14:23:29","2020-04-16T14:23:48","2020-04-16T14:23:52","490.0","F"
"1821","12","2","Check Heartbeat","2020-04-16T14:24:37","2020-04-16T14:24:38","2020-04-16T14:24:40","2020-04-16T14:24:42","963.0","F"
"1822","13","1","Navigate to URL","2020-04-16T14:27:09","2020-04-16T14:27:13","2020-04-16T14:27:15","2020-04-16T14:27:17","603.0","P"
"1823","13","2","Enter Username","2020-04-16T14:27:33","2020-04-16T14:27:35","2020-04-16T14:27:36","2020-04-16T14:27:39","579.0","P"
"1824","13","3","Enter Password","2020-04-16T14:28:02","2020-04-16T14:28:04","2020-04-16T14:28:07","2020-04-16T14:28:09","490.0","P"
"1825","14","1","Navigation To URL","2020-04-16T14:42:38","2020-04-16T14:42:42","2020-04-16T14:42:44","2020-04-16T14:42:48","603.0","P"
"1826","14","2","Enter Username","2020-04-16T14:43:16","2020-04-16T14:43:19","2020-04-16T14:43:21","2020-04-16T14:43:23","579.0","P"
"1827","14","3","Enter Password","2020-04-16T14:43:42","2020-04-16T14:43:46","2020-04-16T14:43:47","2020-04-16T14:43:49","490.0","P"
