"id","project_id","palette_id","palette_config","widget_sequence_id"
"34003","2","NULL","3698","217553"
"34004","2","NULL","3698","217554"
"34346","2","NULL","3698","217555"
"34347","2","NULL","3698","217556"
"34349","2","NULL","3698","217558"
"34352","2","NULL","3698","217552"
"34353","2","NULL","3698","217551"
"34422","2","NULL","3698","217582"
"34424","2","NULL","3698","217589"
"34429","2","NULL","3698","217583"
"34431","2","NULL","3695","217524"
"35706","2","NULL","3698","217594"
"35708","2","NULL","3698","217587"
"35710","2","NULL","3697","217590"
"35711","2","NULL","3698","217515"
"35714","2","NULL","3696","217514"
"35720","2","NULL","3697","217585"
"35721","2","NULL","3697","217588"
"35723","2","NULL","3695","217532"
"35724","2","NULL","3696","217533"
