id,project_id,color_type,colour,dataset_name,datasource_name,y_axis,chart_type,widget_id
219472,2,fixed,#000000,TierAvgResponseTime,leapmaster,0,1,212085
219473,2,palette,#509542,TierAvgResponseTime,leapmaster,0,3,212086
219474,2,threshold,NULL,TierAvgResponseTime,leapmaster,0,1,212086
219475,2,palette,#509542,SlowCallsTier,leapmaster,0,3,212087
219476,2,palette,#509542,TierNoOfExceptions,leapmaster,0,3,212088
219477,2,palette,#509542,TierNoofcallsPM,leapmaster,0,3,212089
219478,2,palette,#509542,Live_Tier_Average_Response_Time,leapmaster,NULL,NULL,212090
219479,2,palette,#509542,Live_Tier_Calls_per_Min,leapmaster,NULL,NULL,212091
219480,2,palette,#509542,Live_Tier_Number_of_Slow_Calls,leapmaster,NULL,NULL,212092
219481,2,palette,#509542,Live_Tier_HTTP_Error_Codes,leapmaster,NULL,NULL,212093
219482,2,palette,#509542,Live_Tier_Exceptions_Per_Min,leapmaster,NULL,NULL,212094
219483,2,dynamic,,LInkTable,leapmaster,NULL,12,212095
219484,2,dynamic,,ResponseTime,leapmaster,0,1,212096
219485,2,dynamic,,rootcauseentityDD,leapmaster,NULL,12,212097
219486,2,dynamic,,NumberOfSlowCalls,leapmaster,0,2,212098
219487,2,dynamic,,AverageResponseTime,leapmaster,0,2,212099
219488,2,dynamic,,CallsPerMinute,leapmaster,0,2,212100
219489,2,dynamic,,InfrastructureErrorsPerMinute,leapmaster,0,2,212101
219490,2,dynamic,,ExceptionsPerMinute,leapmaster,0,2,212102
219491,2,dynamic,,ExceptionsPerMinute,leapmaster,0,2,212103
219492,2,fixed,red,tierAvailability,leapmaster,NULL,NULL,212104
219493,2,fixed,red,tierAvailability,leapmaster,NULL,NULL,212105
219494,2,fixed,red,nodeAvailability,leapmaster,NULL,NULL,212106
219495,2,dynamic,NULL,AverageResponseTimeMetric,leapmaster,NULL,NULL,212107
219496,2,dynamic,,tierSlowCalls,leapmaster,0,6,212108
219497,2,palette,#000000,IssuesHourlyTrend,leapmaster,0,1,212109
219498,2,dynamic,,CriticalIssues,leapmaster,NULL,12,212110
219499,2,palette,#509542,ProblemCountRootCauseEntity,leapmaster,0,3,212111
219500,2,palette,,PieChartStatusLevel,leapmaster,0,6,212112
219501,2,dynamic,,CommonIssueClustering,leapmaster,NULL,12,212113
219502,2,dynamic,,Duplication,leapmaster,NULL,12,212114
219503,2,dynamic,,IssueDetails,leapmaster,NULL,12,212115
219504,2,dynamic,,APPDIncidentDetailsOnly,leapmaster,NULL,12,212116
219505,2,dynamic,,IncidentDetails,leapmaster,NULL,12,212117
219507,2,palette,#000000,CPUUsageHost,leapmaster,0,1,212119
219508,2,palette,NULL,MemoryUsageHost,leapmaster,0,1,212120
219509,2,dynamic,,FailedBookingHourlyTrend,leapmaster,0,1,212121
219510,2,dynamic,,FailedBookingHourlyTrend,leapmaster,0,1,212122
219511,2,dynamic,,Api,leapmaster,0,3,212123
219512,2,fixed,#c690df,Auth,leapmaster,0,1,212124
219513,2,fixed,#483fc6,Booking,leapmaster,0,1,212124
219514,2,fixed,#89e6b1,Caching,leapmaster,0,1,212124
219515,2,fixed,#d1d28e,Customer,leapmaster,0,1,212124
219516,2,dynamic,NULL,Approval,leapmaster,0,1,212124
219517,2,dynamic,NULL,Flight,leapmaster,0,1,212124
219518,2,dynamic,NULL,Fraud,leapmaster,0,1,212124
219519,2,dynamic,NULL,Kafka,leapmaster,0,1,212124
219520,2,dynamic,NULL,Offer,leapmaster,0,1,212124
219521,2,dynamic,NULL,Sap,leapmaster,0,1,212124
219522,2,dynamic,NULL,Search,leapmaster,0,1,212124
219523,2,dynamic,NULL,Ticket,leapmaster,0,1,212124
219524,2,dynamic,NULL,Web,leapmaster,0,1,212124
219525,2,dynamic,,ExceptionTrends,leapmaster,0,3,212125
219526,2,dynamic,,AlertDetails,leapmaster,NULL,12,212126
219527,2,palette,#000000,AlertTrendHourly,leapmaster,0,1,212127
219528,2,dynamic,,WarningAlerts,leapmaster,NULL,12,212128
219529,2,palette,,OpenCloseAlertsCount,leapmaster,0,6,212129
219530,2,dynamic,,DuplicationProbelms,leapmaster,NULL,12,212132
219531,2,dynamic,random,getConfigItemsFromIncidents,leapmaster,NULL,12,212133
219532,2,dynamic,,CommonIssueDetail,leapmaster,NULL,12,212134
219533,2,fixed,#8626c3,map_data1_AppD,leo1311,0,14,212135
219534,2,palette,#509542,Hourly_Trend_Calls_Per_Min,leapmaster,0,1,212136
219535,2,palette,#509542,Count_Login,leapmaster,NULL,NULL,212137
219536,2,palette,#509542,Count_Search_Flight,leapmaster,NULL,NULL,212138
219537,2,palette,#509542,Hourly_Trend_Calls_Per_Min_SearchFlights,leapmaster,0,1,212139
219538,2,palette,#509542,Count_Choose_Seat,leapmaster,NULL,NULL,212140
219539,2,palette,#509542,Hourly_Trend_Calls_Per_Min_ChooseSeat,leapmaster,0,1,212141
219540,2,palette,#509542,Count_Book_Flight,leapmaster,NULL,NULL,212142
219541,2,palette,#509542,Hourly_Trend_Calls_Per_Min_BookFlights,leapmaster,0,1,212143
219542,2,palette,#509542,Count_Checkout,leapmaster,NULL,NULL,212144
219543,2,palette,#509542,Hourly_Trend_Calls_Per_Min_CheckOut,leapmaster,0,1,212145
219544,2,palette,#509542,Ticket_Sold,leapmaster,NULL,NULL,212146
219545,2,dynamic,,Average_Ticket_Price,leapmaster,NULL,12,212147
219546,2,palette,#509542,Total_Application,leapmaster,NULL,NULL,212148
219547,2,palette,#509542,Live_Total_Tier,leapmaster,NULL,NULL,212149
219548,2,palette,#509542,Live_Active_Tier,leapmaster,NULL,NULL,212150
219549,2,palette,#509542,Live_Inactive_Tier,leapmaster,NULL,NULL,212151
219550,2,palette,#509542,Live_Total_Node,leapmaster,NULL,NULL,212152
219551,2,palette,#509542,Live_Active_Node,leapmaster,NULL,NULL,212153
219552,2,palette,#509542,Live_Inactive_Node,leapmaster,NULL,NULL,212154
219553,2,dynamic,,Live_Tiers_Status,leapmaster,NULL,12,212155
219554,2,dynamic,,Live_Nodes_Status,leapmaster,NULL,12,212156
219555,2,dynamic,,Applications_Name,leapmaster,NULL,12,212157
219556,2,palette,#000000,AppAvgResponseTime,leapmaster,0,3,212158
219557,2,threshold,NULL,AppAvgResponseTime,leapmaster,0,1,212158
219558,2,palette,#509542,AppNoOfSlowCalls,leapmaster,0,3,212159
219559,2,palette,#509542,NoOfExceptions,leapmaster,0,3,212160
219560,2,palette,#509542,NoOfCallsPerMinute,leapmaster,0,3,212161
219561,2,palette,#509542,Live_Average_Response_Time,leapmaster,NULL,NULL,212162
219562,2,palette,#509542,Live_Calls_Per_Minute,leapmaster,NULL,NULL,212163
219563,2,palette,#509542,Live_Number_of_Slow_Calls,leapmaster,NULL,NULL,212164
219564,2,palette,#509542,Live_HTTP_Error_Code_Per_Min,leapmaster,NULL,NULL,212165
219565,2,palette,#509542,Live_Exceptions_Per_Min,leapmaster,NULL,NULL,212166
219566,2,dynamic,,tierTotalCalls,leapmaster,0,10,212167
219567,2,dynamic,,tierSlowCalls,leapmaster,0,10,212168
219568,2,dynamic,,tierExceptions,leapmaster,0,6,212169
219569,2,palette,#509542,ProblemsCount,leapmaster,NULL,NULL,212170
219570,2,palette,#509542,APPDIncidentCount,leapmaster,NULL,NULL,212171
219571,2,palette,#509542,EventsCount,leapmaster,NULL,NULL,212172
219572,2,palette,#000000,IssuesHourlyTrend,leapmaster,0,1,212173
219573,2,palette,#00a08c,APPDTicketOpenClosedCount,leapmaster,0,10,212174
219574,2,palette,NULL,OpenCloseIssuesCount,leapmaster,0,10,212175
219575,2,palette,#000000,ProblemCountRootCauseEntity,leapmaster,0,3,212176
219576,2,palette,NULL,OpenCloseAlertsCount,leapmaster,0,10,212177
219577,2,palette,#000000,AlertTrendHourly,leapmaster,0,1,212178
219578,2,palette,#509542,AlertsRootCauseEntity,leapmaster,0,3,212179
219579,2,dynamic,,ApplicationStatus,leapmaster,NULL,12,212180
219580,2,dynamic,,TierStatus,leapmaster,NULL,12,212181
219581,2,dynamic,,NodeStatus,leapmaster,NULL,12,212182
219582,2,dynamic,NULL,ApplicationSummary,leapmaster,NULL,NULL,212183
219583,2,dynamic,#000000,ApplicationSummary,leapmaster,NULL,NULL,212184
219584,2,dynamic,#000000,TierSummary,leapmaster,NULL,NULL,212185
219585,2,dynamic,#000000,ApplicationSummary,leapmaster,NULL,NULL,212186
219586,2,dynamic,#000000,ApplicationSummary,leapmaster,NULL,NULL,212187
219587,2,dynamic,#000000,ApplicationSummary,leapmaster,NULL,NULL,212188
219588,2,dynamic,#000000,TierSummary,leapmaster,NULL,NULL,212189
219589,2,dynamic,#000000,NodeSummary,leapmaster,NULL,NULL,212190
219590,2,dynamic,random,Appd_getConfigItemsFromIncidents,leapmaster,NULL,NULL,212191
