"entity","entity_type","model_group","organization"
"Order","schema","Leap","leo1311"
"OrderVariantMapping","schema","Leap","leo1311"
"Variant","schema","Leap","leo1311"
"VariantProductMapping","schema","Leap","leo1311"
"Warehouse","schema","Leap","leo1311"
"Supplier","schema","Leap","leo1311"
"SupplierOriginMapping","schema","Leap","leo1311"
"OrderCarrierMapping","schema","Leap","leo1311"
"OrderContainerMapping","schema","Leap","leo1311"
"OrderSupplierMapping","schema","Leap","leo1311"
"OrderWarehouseMapping","schema","Leap","leo1311"
"OriginDestinationMapping","schema","Leap","leo1311"
"OriginPort","schema","Leap","leo1311"
"Department","schema","Leap","leo1311"
"DestinationPort","schema","Leap","leo1311"
"Container","schema","Leap","leo1311"
"ContainerCarrierMapping","schema","Leap","leo1311"
"Carrier","schema","Leap","leo1311"
"Product","schema","Leap","leo1311"
"ProductDepartmentMapping","schema","Leap","leo1311"
