name,tryoutlink,status,type,organization,scope,file,job_name,video_file
"LEOAMSKM80292","https://victlpth5-04:9031/","NULL","App","leo1311","chain","NULL","LEOITSMS42752","NULL"
#"LEOAMSTC42168","https://victlpth5-04:9334/","NULL","App","leo1311","embed","NULL","NULL","NULL"
"LEOHRSTN59898","https://victlpth5-04:7777","NULL","App","leo1311","chain","NULL","LEOHRSTN24375","NULL"
#"LEOAZR-T43692","https://victlpth5-04:8866","NULL","App","leo1311","pipeline","NULL","LEOAZRTG74666","NULL"
"LEOAZR-T32597","https://victlpth5-04:8871","NULL","App","leo1311","pipeline","NULL","LEOAZRTG36378","NULL"
"LEOAZR-T58079","https://victlpth5-04:8870/","NULL","App","leo1311","pipeline","NULL","LEOAZRTG82665","NULL"
"LEOMRKTN59200","https://victlpth5-04:9051/","NULL","App","leo1311","embed","NULL","NULL","NULL"
"LEOITSMT43555","https://victlpth5-04:2435/","NULL","App","leo1311","chain","NULL","LEOITSMT74412","NULL"
"LEOSMNTC49221","https://victlpth5-04:9179/","NULL","App","leo1311","embed","NULL","NULL","NULL"
"LEOGN-ZR81527","https://victlpth5-04:7866/","NULL","App","leo1311","internal","NULL","NULL","NULL"
"LEOGN-VR33970","https://victlpth5-04:8816/","NULL","App","leo1311","internal","NULL","NULL","NULL"
"LEOGN-VR30858","https://victlpth5-04:8319/","NULL","App","leo1311","internal","NULL","NULL","NULL"
"JCICHTBT63416","https://victlpth5-04:2426/","NULL","App","leo1311","chain","NULL","JCICHTBT27294","NULL"
"LEOCNFLN60833","https://victlpth5-04:2423/","NULL","App","leo1311","embed","NULL","LEOCHTBT89242","NULL"
"LEOHRCHT43838","https://victlpth5-04:2425/","NULL","App","leo1311","chain","NULL","LEOHRCHT47550","HRChatbot.mp4"
"LEOSMPLL19634","http://100.78.49.20:8080","NULL","App","leo1311","embed","NULL","NULL","NULL"
"LEOTST_G57191","http://100.78.49.20:8080","NULL","App","leo1311","embed","NULL","NULL","NULL"
"LEOSMPL_87385","http://100.78.49.20:8081","NULL","App","leo1311","external","NULL","NULL","NULL"
"LEORG_SC89080","http://100.78.49.20:8081/","NULL","App","leo1311","embed","NULL","NULL","NULL"
