fed_id,adapter_id,app_name,fed_name,fed_org,app_org,status,adapter_alias,created_by,created_on,is_deleted,app_modified_by,fed_modified_by,app_modified_date,fed_modified_date,sync_date,model_type,model_likes,model_metadata,raw_payload,artifacts,container,app_description,fed_description,version,app_status,model_deployment
0026e768220138d279808f6e,DEMACLDT88775,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Undeployed,AICloud,leapAccount01@infosys.com,7/28/2023 7:01,FALSE,NULL,jenkins,NULL,8/11/2023 6:42,21:05.2,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-08-11T12:04:10.501000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Undeployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Undeployed,NULL
0026e768220138d279808f6e,DEMTSTCL34267,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Undeployed,TestAicloud3,leapAccount01@infosys.com,7/28/2023 1:31,FALSE,NULL,jenkins,NULL,8/11/2023 6:42,21:05.4,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-08-11T12:04:10.501000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Undeployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Undeployed,NULL
0026e768220138d279808f6e,DEMTSTCL38714,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Undeployed,TestAicloud2,leapAccount01@infosys.com,7/28/2023 7:01,FALSE,NULL,jenkins,NULL,8/11/2023 6:42,21:05.2,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-08-11T12:04:10.501000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Undeployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Undeployed,NULL
0026e768220138d279808f6e,DEMTSTCL48959,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Undeployed,TestAicloud,leapAccount01@infosys.com,7/28/2023 7:01,FALSE,NULL,jenkins,NULL,8/11/2023 6:42,21:05.5,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-08-11T12:04:10.501000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Undeployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Undeployed,NULL
0026e768220138d279808f6e,LEDACLDT42908,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,AICLOUDTEST2,leapAccount01@infosys.com,7/28/2023 1:31,FALSE,NULL,jenkins,NULL,7/28/2023 1:54,00:17.8,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-07-28T07:10:55.830000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Deployed,NULL
0026e768220138d279808f6e,LEDACLDT50416,testmodel1250,testmodel1250,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,AICloudTEST,leapAccount01@infosys.com,7/28/2023 1:31,FALSE,NULL,jenkins,NULL,7/28/2023 1:54,00:17.6,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1250"",""createdOn"":""2023-07-28T06:55:10.378000"",""version"":1,""modifiedOn"":""2023-07-28T07:10:55.830000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1250"",""id"":""0026e768220138d279808f6e"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1250,testmodel1250,1,Deployed,NULL
011195c7db3a6cd3d7f53890,DEMACLDT88775,testmodel1240,testmodel1240,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,AICloud,leapAccount01@infosys.com,7/28/2023 7:00,FALSE,NULL,jenkins,NULL,7/28/2023 2:55,21:05.0,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1230"",""createdOn"":""2023-07-28T06:54:30.345000"",""version"":1,""modifiedOn"":""2023-07-28T08:21:25.220000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1240"",""id"":""011195c7db3a6cd3d7f53890"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1230,testmodel1230,1,Deployed,NULL
011195c7db3a6cd3d7f53890,DEMTSTCL34267,testmodel1240,testmodel1240,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,TestAicloud3,leapAccount01@infosys.com,7/28/2023 1:30,FALSE,NULL,jenkins,NULL,7/28/2023 2:55,21:05.1,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1230"",""createdOn"":""2023-07-28T06:54:30.345000"",""version"":1,""modifiedOn"":""2023-07-28T08:21:25.220000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1240"",""id"":""011195c7db3a6cd3d7f53890"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1230,testmodel1230,1,Deployed,NULL
011195c7db3a6cd3d7f53890,DEMTSTCL38714,testmodel1240,testmodel1240,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,TestAicloud2,leapAccount01@infosys.com,7/28/2023 7:00,FALSE,NULL,jenkins,NULL,7/28/2023 2:55,21:05.0,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1230"",""createdOn"":""2023-07-28T06:54:30.345000"",""version"":1,""modifiedOn"":""2023-07-28T08:21:25.220000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1240"",""id"":""011195c7db3a6cd3d7f53890"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1230,testmodel1230,1,Deployed,NULL
011195c7db3a6cd3d7f53890,DEMTSTCL48959,testmodel1240,testmodel1240,97dd455b57c64c6dba8bb5d0caa99dfd,leo1311,Deployed,TestAicloud,leapAccount01@infosys.com,7/28/2023 7:00,FALSE,NULL,jenkins,NULL,7/28/2023 2:55,21:05.3,AICLOUD,0,NULL,"{""container"":{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]},""metadata"":null,""updatedBy"":""jenkins"",""description"":""testmodel1230"",""createdOn"":""2023-07-28T06:54:30.345000"",""version"":1,""modifiedOn"":""2023-07-28T08:21:25.220000"",""isDeleted"":false,""createdBy"":""leapAccount01@infosys.com"",""name"":""testmodel1240"",""id"":""011195c7db3a6cd3d7f53890"",""projectId"":""97dd455b57c64c6dba8bb5d0caa99dfd"",""artifacts"":{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""},""status"":""Deployed""}","{""storageType"":""INFY_AICLD_NUTANIX"",""uri"":""s3://aicloudprd/triton_bert/models""}","{""args"":null,""imageUri"":""infyartifactory.jfrog.io/docker-local/haystack-remote/remoteexecution:v1"",""healthProbeUri"":""/"",""envVariables"":[{""name"":""env1"",""value"":""env1""}],""ports"":[{""name"":""http"",""value"":""3000""}],""command"":null,""labels"":[{""name"":""http"",""value"":""3000""}]}",testmodel1230,testmodel1230,1,Deployed,NULL
