"type","org","plugindetails","pluginname"
"DragAndDrop","Core","{""id"": ""1"", ""name"": ""Count Vectorizer"", ""alias"": ""Count Vectorizer"", ""formats"": {""inputCol"": ""text"", ""outputCol"": ""text"", ""vocabSize"": ""text""}, ""category"": ""FeatureExtractorConfig"", ""classname"": ""CountVectorizerFeatureExtractorConfig"", ""attributes"": {""inputCol"": """", ""outputCol"": """", ""vocabSize"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-1"
"DragAndDrop","Core","{""id"": ""2"", ""name"": ""TF"", ""alias"": ""TF"", ""formats"": {""inputCol"": ""text"", ""outputCol"": ""text""}, ""category"": ""FeatureExtractorConfig"", ""classname"": ""TfFeatureExtractorConfig"", ""attributes"": {""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-2"
"DragAndDrop","Core","{""id"": ""3"", ""name"": ""IDF"", ""alias"": ""IDF"", ""formats"": {""inputCol"": ""text"", ""outputCol"": ""text""}, ""category"": ""FeatureExtractorConfig"", ""classname"": ""IdfFeatureExtractorConfig"", ""attributes"": {""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-3"
"DragAndDrop","Core","{""id"": ""4"", ""name"": ""Python Script Transformer"", ""alias"": ""Python Script Transformer"", ""formats"": {""script"": ""textarea""}, ""category"": ""TransformerConfig"", ""classname"": ""PythonScriptTransformerConfig"", ""attributes"": {""script"": [""import logging\\r"", ""class CustomPythonClass():\\r"", "" def __main__(self, dataset):\\r"", "" \\r"", "" return dataset""]}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-4"
"DragAndDrop","Core","{""id"": ""5"", ""name"": ""Word Lemmetizer"", ""alias"": ""Word Lemmetizer"", ""formats"": {""tags"": ""textarea"", ""inputCol"": ""textarea"", ""outputCol"": ""textarea""}, ""category"": ""TransformerConfig"", ""classname"": ""WordLemmetizerTransformerConfig"", ""attributes"": {""tags"": """", ""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-5"
"DragAndDrop","Core","{""id"": ""6"", ""name"": ""Word Stemmer"", ""alias"": ""Word Stemmer"", ""formats"": {""inputCol"": ""textarea"", ""outputCol"": ""textarea""}, ""category"": ""TransformerConfig"", ""classname"": ""WordStemmerTransformerConfig"", ""attributes"": {""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-6"
"DragAndDrop","Core","{""id"": ""7"", ""name"": ""Naive Bayes"", ""alias"": ""Naive Bayes"", ""formats"": {""modelType"": ""text"", ""smoothing"": ""text""}, ""category"": ""TransformerConfig"", ""classname"": ""NaiveBayesTransformerConfig"", ""attributes"": {""modelType"": """", ""smoothing"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-7"
"DragAndDrop","Core","{""id"": ""8"", ""name"": ""Tokenizer"", ""alias"": ""Tokenizer"", ""formats"": {""inputCol"": ""text"", ""outputCol"": ""text""}, ""category"": ""TransformerConfig"", ""classname"": ""TokenizerTransformerConfig"", ""attributes"": {""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-8"
"DragAndDrop","Core","{""id"": ""9"", ""name"": ""Regex Tokenizer"", ""alias"": ""Regex Tokenizer"", ""formats"": {""pattern"": ""text"", ""inputCol"": ""text"", ""outputCol"": ""text""}, ""category"": ""TransformerConfig"", ""classname"": ""RegexTokenizerTransformerConfig"", ""attributes"": {""pattern"": """", ""inputCol"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-9"
"DragAndDrop","Core","{""id"": ""10"", ""name"": ""Vector Assembler"", ""alias"": ""Vector Assembler"", ""formats"": {""inputCols"": ""text"", ""outputCol"": ""text""}, ""category"": ""TransformerConfig"", ""classname"": ""VectorAssemblerTransformerConfig"", ""attributes"": {""inputCols"": """", ""outputCol"": """"}, ""inputEndpoints"": [""in""], ""parentCategory"": """", ""outputEndpoints"": [""out""]}","DragAndDrop-10"
