"id","category","description","name","remarks","tag1","tag2","tag3"
"AJIO65g3EeuNwFQVpSDzAg==","type","NULL","Type1","NULL","NULL","NULL","NULL"
"AJKVipg3EeuNwFQVpSDzAg==","type","NULL","Type2","NULL","NULL","NULL","NULL"
"AJMeEpg3EeuNwFQVpSDzAg==","source","NULL","ibmWorkScheduler","NULL","NULL","NULL","NULL"
"AJOmgpg3EeuNwFQVpSDzAg==","relation","NULL","belongsTo","NULL","NULL","NULL","NULL"
"AJRYapg3EeuNwFQVpSDzAg==","relation","NULL","precededBy","NULL","NULL","NULL","NULL"
"AJT2xpg3EeuNwFQVpSDzAg==","relation","NULL","succeededBy","NULL","NULL","NULL","NULL"
"AJV3LZg3EeuNwFQVpSDzAg==","failure","NULL","DB connection failure","NULL","NULL","NULL","NULL"
"AJXiy5g3EeuNwFQVpSDzAg==","group","NULL","GP1","NULL","NULL","NULL","NULL"
"AJZWWJg3EeuNwFQVpSDzAg==","group","NULL","GP2","NULL","NULL","NULL","NULL"
"AJa7UZg3EeuNwFQVpSDzAg==","dependency type","NULL","Job","NULL","NULL","NULL","NULL"
"AJcbz5g3EeuNwFQVpSDzAg==","dependency type","NULL","Group","NULL","NULL","NULL","NULL"
"AJd0iZg3EeuNwFQVpSDzAg==","source","NULL","Trivoli","NULL","NULL","NULL","NULL"
"AJfzvZg3EeuNwFQVpSDzAg==","graph format","NULL","hour","NULL","NULL","NULL","NULL"
"AJiNx5g3EeuNwFQVpSDzAg==","graph format","NULL","day","NULL","NULL","NULL","NULL"
"AJj5S5g3EeuNwFQVpSDzAg==","graph format","NULL","week","NULL","NULL","NULL","NULL"
"AJl+gpg3EeuNwFQVpSDzAg==","graph format","NULL","month","NULL","NULL","NULL","NULL"
"AJnsPJg3EeuNwFQVpSDzAg==","graph format","NULL","quarter","NULL","NULL","NULL","NULL"
"AJpkjJg3EeuNwFQVpSDzAg==","source","NULL","LoadTesting","NULL","NULL","NULL","NULL"
"AJq8x5g3EeuNwFQVpSDzAg==","source","NULL","MolinaAutoSys","NULL","NULL","NULL","NULL"
"AJsShpg3EeuNwFQVpSDzAg==","source","NULL","ValuePlus_SAP","NULL","NULL","NULL","NULL"
"AJtpEJg3EeuNwFQVpSDzAg==","source","NULL","LoanIQ","NULL","NULL","NULL","NULL"
"AJu4Spg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","second","NULL","NULL","NULL","NULL"
"AJwuvJg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","minute","NULL","NULL","NULL","NULL"
"AJyWmZg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","hour","NULL","NULL","NULL","NULL"
"AJ0AoJg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","day","NULL","NULL","NULL","NULL"
"AJ2gy5g3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","week","NULL","NULL","NULL","NULL"
"AJ4FlZg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","month","NULL","NULL","NULL","NULL"
"AJ6LXpg3EeuNwFQVpSDzAg==","predictiondurationunit","NULL","quarter","NULL","NULL","NULL","NULL"
"AJ8r5Zg3EeuNwFQVpSDzAg==","source","NULL","BJMSource","NULL","NULL","NULL","NULL"
