"id","project_id","ci_image","ci_image_name","ci_name","dcount","dtype","icon","order_value","ssp_color","url","views","ctype","dashboard","thershold_mapping"
"62563","2","NULL","NULL","CPU_Issue","NULL","list","NULL","0","NULL","NULL","NULL","8679","NULL","NULL"
"65749","2","NULL","NULL","DTIssue105","NULL","list","NULL","0","NULL","NULL","NULL","10054","NULL","NULL"
"65717","2","NULL","NULL","Booking","NULL","NULL","NULL","1","NULL","NULL","NULL","10058","NULL","NULL"
"65718","2","NULL","NULL","Invoicing","NULL","NULL","NULL","2","NULL","NULL","NULL","10058","NULL","NULL"
"65719","2","NULL","NULL","Payments","NULL","NULL","NULL","3","NULL","NULL","NULL","10058","NULL","NULL"
"65720","2","NULL","NULL","Corporate Blocking","NULL","NULL","NULL","4","NULL","NULL","NULL","10058","NULL","NULL"
"65712","2","NULL","NULL","E-Commerce","NULL","NULL","NULL","1","NULL","NULL","NULL","10059","NULL","NULL"
"65713","2","NULL","NULL","CRM","NULL","NULL","NULL","2","NULL","NULL","NULL","10059","NULL","NULL"
"65714","2","NULL","NULL","Collections","NULL","NULL","NULL","1","NULL","NULL","NULL","10060","NULL","NULL"
"65715","2","NULL","NULL","Invoicing","NULL","NULL","NULL","2","NULL","NULL","NULL","10060","NULL","NULL"
"65716","2","NULL","NULL","Ticketing","NULL","NULL","NULL","3","NULL","NULL","NULL","10060","NULL","NULL"
"65710","2","NULL","NULL","Web Server","NULL","NULL","NULL","2","NULL","NULL","NULL","10061","NULL","NULL"
"65711","2","NULL","NULL","App Server","NULL","NULL","NULL","1","NULL","NULL","NULL","10061","NULL","NULL"
"66492","2","NULL","NULL","Middleware & Database Server","NULL","NULL","NULL","3","NULL","NULL","NULL","10061","NULL","NULL"
"65708","2","NULL","NULL","Akash Server Cluster","NULL","NULL","NULL","1","NULL","NULL","NULL","10062","NULL","NULL"
"65709","2","NULL","NULL","Akash DB Cluster","NULL","NULL","NULL","2","NULL","NULL","NULL","10062","NULL","NULL"
"66493","2","NULL","NULL","Akash Storage","NULL","NULL","NULL","3","NULL","NULL","NULL","10062","NULL","NULL"
"66494","2","NULL","NULL","Akash Network","NULL","NULL","NULL","4","NULL","NULL","NULL","10062","NULL","NULL"
"66513","2","NULL","NULL","INC0034212","NULL","NULL","NULL","4","NULL","NULL","NULL","10141","NULL","NULL"
"66514","2","NULL","NULL","P-2111409","NULL","NULL","NULL","4","NULL","NULL","NULL","10142","NULL","NULL"
