"id","project_id","palette_id","palette_config","widget_sequence_id"
"34722","2","NULL","3733","219473"
"34723","2","NULL","3733","219475"
"34724","2","NULL","3733","219476"
"34726","2","NULL","3733","219478"
"34727","2","NULL","3733","219479"
"34728","2","NULL","3733","219480"
"34729","2","NULL","3733","219481"
"34731","2","NULL","3733","219497"
"34732","2","NULL","3733","219499"
"34734","2","NULL","3733","219507"
"34735","2","NULL","3733","219508"
"34736","2","NULL","3733","219527"
"34738","2","NULL","3733","219534"
"34739","2","NULL","3733","219535"
"34740","2","NULL","3733","219536"
"34741","2","NULL","3733","219537"
"34742","2","NULL","3733","219538"
"34743","2","NULL","3733","219539"
"34744","2","NULL","3733","219540"
"34745","2","NULL","3733","219541"
"34746","2","NULL","3733","219542"
"34747","2","NULL","3733","219543"
"34749","2","NULL","3733","219546"
"34752","2","NULL","3733","219549"
"34755","2","NULL","3733","219552"
"34756","2","NULL","3733","219556"
"34757","2","NULL","3733","219558"
"34758","2","NULL","3733","219559"
"34759","2","NULL","3733","219560"
"34760","2","NULL","3733","219561"
"34761","2","NULL","3733","219562"
"34762","2","NULL","3733","219563"
"34763","2","NULL","3733","219564"
"34768","2","NULL","3733","219572"
"34771","2","NULL","3733","219575"
"34773","2","NULL","3733","219577"
"34774","2","NULL","3733","219578"
"34782","2","NULL","3733","219544"
"34784","2","NULL","3733","219571"
"34785","2","NULL","3733","219547"
"34787","2","NULL","3734","219529"
"34788","2","NULL","3733","219548"
"34789","2","NULL","3734","219500"
"34790","2","NULL","3733","219550"
"34791","2","NULL","3733","219551"
"34792","2","NULL","3734","219576"
"34794","2","NULL","3736","219574"
"34795","2","NULL","3733","219565"
"35695","2","NULL","3733","219569"
"35696","2","NULL","3735","219573"
"35697","2","NULL","3733","219570"
"35704","2","NULL","3733","219477"
"35705","2","NULL","3733","219482"
