"entity","entity_type","model_group","organization"
"Job","schema","Leap","leo1311"
"JobInstance","schema","Leap","leo1311"
"Group","schema","Leap","leo1311"
"Business_Process","schema","Leap","leo1311"
" Application_and_Middleware","schema","Leap","leo1311"
"CIMapping","schema","Leap","leo1311"
"Infrastructure","schema","Leap","leo1311"
"Batch","schema","Leap","leo1311"
"Application_Data","schema","Leap","leo1311"
"Application_Issue","schema","Leap","leo1311"
"BP_L1","schema","Leap","leo1311"
"BP_SP","schema","Leap","leo1311"
"BP_SSP","schema","Leap","leo1311"
