"name","schemaA","schemaB","schema_relation","relationship_template","organization","lastmodifiedby","alias","lastmodifieddate"
"OrderVariantMapping","Order","OrderVariantMapping","{""pCol"":[""OrderNumber""],""cCol"":[""OrderNumber""]}","NULL","leo1311","admin","OrderMapping","2022-07-13T05:36:13.236"
"MappingOrderVariant","OrderVariantMapping","Variant","{""pCol"":[""VariantId""],""cCol"":[""VariantId""]}","NULL","leo1311","admin","MappingProduct","2022-07-13T05:36:48.904"
"OrderSupplierMapping","Order","OrderSupplierMapping","{""pCol"":[""OrderNumber""],""cCol"":[""OrderNumber""]}","NULL","leo1311","admin","MappingSupplier","2022-07-13T11:21:36.681"
"mappingOrderSupplier","OrderSupplierMapping","Supplier","{""pCol"":[""SupplierID""],""cCol"":[""SupplierID""]}","NULL","leo1311","admin","mappingOrderSupplier","2022-07-13T11:21:47.722"
"OrderWarehouseMapping","Order","OrderWarehouseMapping","{""pCol"":[""OrderNumber""],""cCol"":[""OrderNumber""]}","NULL","leo1311","admin","OrderWarehouseMapping","2022-07-13T04:25:49.516"
"MappingOrderWarehouse","OrderWarehouseMapping","Warehouse","{""pCol"":[""WH_Address""],""cCol"":[""WH_Address""]}","NULL","leo1311","admin","MappingOrderWarehouse","2022-07-13T04:26:19.746"
"ProductDepartmentMapping","Product","ProductDepartmentMapping","{""pCol"":[""ProductID""],""cCol"":[""ProductID""]}","NULL","leo1311","admin","ProductDepartmentMapping","2022-07-13T04:43:46.659"
"MappingProductDepartment","ProductDepartmentMapping","Department","{""pCol"":[""department_name""],""cCol"":[""department_name""]}","NULL","leo1311","admin","MappingProductDepartment","2022-07-13T04:44:57.649"
"OrderContainerMapping","Order","OrderContainerMapping","{""pCol"":[""OrderNumber""],""cCol"":[""OrderNumber""]}","NULL","leo1311","admin","OrderContainerMapping","2022-07-13T05:03:03.457"
"MappingOrderContainer","OrderContainerMapping","Container","{""pCol"":[""ContainerId""],""cCol"":[""ContainerId""]}","NULL","leo1311","admin","MappingOrderContainer","2022-07-13T05:03:38.682"
"VariantProductMapping","Variant","VariantProductMapping","{""pCol"":[""VariantId""],""cCol"":[""VariantId""]}","NULL","leo1311","admin","VariantProductMapping","2022-07-13T05:47:30.025"
"MappingVariantProduct","VariantProductMapping","Product","{""pCol"":[""ProductID""],""cCol"":[""ProductID""]}","NULL","leo1311","admin","MappingVariantProduct","2022-07-13T05:48:18.665"
"OrderCarrierMapping","Order","OrderCarrierMapping","{""pCol"":[""OrderNumber""],""cCol"":[""OrderNumber""]}","NULL","leo1311","admin","OrderCarrierMapping","2022-07-13T06:00:32.254"
"MappingOrderCarrier","OrderCarrierMapping","Carrier","{""pCol"":[""CarrierName""],""cCol"":[""CarrierName""]}","NULL","leo1311","admin","MappingOrderCarrier","2022-07-14T06:06:33.177"
"ContainerCarrierMapping","Container","ContainerCarrierMapping","{""pCol"":[""ContainerId""],""cCol"":[""ContainerId""]}","NULL","leo1311","admin","ContainerCarrierMapping","2022-07-13T06:05:51.697"
"MappingContainerCarrier","ContainerCarrierMapping","Carrier","{""pCol"":[""CarrierBillOfLading""],""cCol"":[""CarrierBillOfLading""]}","NULL","leo1311","admin","MappingContainerCarrier","2022-07-13T06:06:34.325"
"SupplierOriginMapping","Supplier","SupplierOriginMapping","{""pCol"":[""SupplierID""],""cCol"":[""SupplierID""]}","NULL","leo1311","admin","SupplierOriginMapping","2022-07-13T06:39:04.076"
"MappingSupplierOrigin","SupplierOriginMapping","OriginPort","{""pCol"":[""OriginPort""],""cCol"":[""OriginPort""]}","NULL","leo1311","admin","MappingSupplierOrigin","2022-07-13T06:39:35.113"
"OriginDestinationMapping","OriginPort","OriginDestinationMapping","{""pCol"":[""OriginPort""],""cCol"":[""OriginPort""]}","NULL","leo1311","admin","OriginDestinationMapping","2022-07-13T06:53:07.277"
"MappingOriginDestination","OriginDestinationMapping","DestinationPort","{""pCol"":[""ArrivalPort""],""cCol"":[""ArrivalPort""]}","NULL","leo1311","admin","MappingOriginDestination","2022-07-13T06:53:36.752"

