module,permission
cip,agentJobs-console
cip,agentJobs-corelid
cip,agentJobs-get-ByNamestrAndOrg
cip,agentJobs-jobsLen
cip,agentJobs-stopJob
cip,agentJobs-streamingLen
cip,agents-add
cip,agents-all
cip,agents-all-len
cip,agents-allPipelineNames
cip,agents-allPipelines
cip,agents-allPipelinesByOrg
cip,agents-delete
cip,agents-get-ById
cip,agents-get-ByNamestrAndOrg
cip,agents-update
cip,allArtefact-ByOrgId
cip,artefact-ByidAndOrgid
cip,artefactListSearch
cip,assessment-all
cip,assessment-all-ByProjectid
cip,assessment-crt-all-ById
cip,assessment-soluAsses-all-By-Id
cip,assessment-SoluAssess
cip,basket-delete-by-Id
cip,Basket-get
cip,basket-get-by-Id
cip,Basket-post
cip,basket-User
cip,catrgoryByDisscusionId
cip,chain-delete
cip,chain-get-ByOrg
cip,chainjob-console
cip,chainjob-corelid
cip,chainjob-fetch
cip,chainjob-jobsLen
cip,chainjob-run-tree
cip,chain-jobsLen
cip,chainjob-stopJob
cip,chainjob-update
cip,chain-name
cip,chain-save
cip,chain-update
cip,chain-update-tree
cip,cientDetails-byentity
cip,client-get
cip,client-save
cip,codebuddy-v1-base
cip,codebuddy-v1-clone_detection
cip,codebuddy-v1-detect_defect
cip,codebuddy-v1-generate
cip,codebuddy-v1-providers
cip,codebuddy-v1-refine
cip,codebuddy-v1-summarize
cip,codebuddy-v1-translate
cip,codebuddy-v1-unit-test
cip,comment-reaction-comment
cip,comment-reaction-delete
cip,comment-reaction-get
cip,comment-reaction-getById
cip,comment-reaction-post
cip,configuration-configureOrg
cip,configuration-downloadOrgBanner
cip,configuration-org
cip,configuration-updateOrgBanner
cip,copyDatasefromOrgAndToOrg
cip,copytemplate-FromTargetToSource
cip,dataset-archivaljob-run
cip,Dataset-AttachmentFile
cip,Dataset-byDatasourceAndOrg
cip,Dataset-datasetCopySourceToTarget
cip,Dataset-datasetFromByNameAndOrg
cip,Dataset-datasource-Paginated-ByOrg
cip,Dataset-Delete-ByNameAndTableAndOrg
cip,Dataset-Delete-ByNamestrAndOrg
cip,Dataset-DeleteEntry
cip,Dataset-directViewData-ByNameAndOrg
cip,Dataset-downloadCsvData
cip,DatasetDset-ByNameAndOrg
cip,DatasetDsetnames-ByOrg
cip,DatasetExp-ByOrg
cip,Dataset-extractSchema-ByNameAndOrg
cip,Dataset-ExtractTableSchema-ByDatasetnameAndOrg
cip,Dataset-Files-ById
cip,Dataset-getAuditDataByid-ByOrgAndNameAndID
cip,Dataset-get-ByNamestrAndOrg
cip,Dataset-getCount
cip,Dataset-getDashBoardById
cip,Dataset-getData
cip,Dataset-getDataAsJsonByNamestrAndOrg
cip,Dataset-getData-ByNamestrAndOrg
cip,Dataset-getDataFromDatasets
cip,Dataset-getdataset
cip,Dataset-getDatasetAttachments
cip,Dataset-getDatasetDataCount
cip,Dataset-getDatasetList
cip,Dataset-getExtras
cip,Dataset-getPaginatedByNamestrAndOrg
cip,Dataset-getTickets
cip,Dataset-getViews
cip,Dataset-IsTablePresent
cip,Dataset-IsVisualizationSupported
cip,Dataset-Len-byDatasourceAndOrg
cip,Dataset-lenByOrg
cip,Dataset-Load-Dataset
cip,Dataset-Load-Transform
cip,Dataset-request
cip,datasets-add
cip,Datasets-AllbyGroupAndOrg
cip,Datasets-ALL-ByOrg
cip,Datasets-AllLenByGroupAndOrg
cip,Datasets-AllPaginatedBygroupAndOrg
cip,Datasets-AllTypeByTypeAndOrg
cip,Dataset-save-Archival-config
cip,Dataset-saveByIdOrName
cip,Dataset-saveChunks
cip,Dataset-saveEntry
cip,Dataset-saveViews
cip,Datasets-byDatasourceAndOrg
cip,Datasets-ByNameStrAndOrg
cip,Datasets-checkIfSupportedByNamestrAndOrg
cip,Dataset-SchemaByOrg
cip,Datasets-datasetFromByNameAndOrg
cip,Datasets-datasource-Paginated-ByOrg
cip,Datasets-downloadCsvData
cip,Datasets-Dset-ByOrg
cip,Datasets-Dsetnames-ByOrg
cip,Dataset-SearchByNameAndOrg
cip,Dataset-SearchByOrg
cip,Dataset-searchData
cip,Dataset-searchDataCount
cip,Dataset-Search-LenByNameAndOrg
cip,Dataset-setJsonHeader
cip,Datasets-Exp
cip,Datasets-extractSchema
cip,Datasets-ExtractTableSchema
cip,Datasets-Files-ById
cip,Datasets-getAuditDataByid-ByOrgAndNameAndID
cip,Datasets-get-ByNamestrAndOrg
cip,Datasets-getCount
cip,Datasets-getDashBoardById
cip,Datasets-getData
cip,Datasets-getDataAsJson-ByNamestrAndOrg
cip,Datasets-getData-ByNamestrAndOrg
cip,Datasets-getDataFromDatasets
cip,Datasets-getdataset
cip,Datasets-getDatasetAttachments
cip,Datasets-getDatasetDataCount
cip,Datasets-getDatasetList
cip,Datasets-getExtras
cip,Datasets-getPaginatedByNamestrAndOrg
cip,Datasets-getTickets
cip,Datasets-getViews
cip,Datasets-IsTablePresent
cip,Datasets-IsVisualizationSupported
cip,Datasets-Len-byDatasourceAndOrg
cip,Datasets-lenByOrg
cip,Datasets-SchemaByOrg
cip,Datasets-SearchByNameAndOrg
cip,Datasets-SearchByOrg
cip,Datasets-searchData
cip,Datasets-searchDataCount
cip,Datasets-Search-LenByNameAndOrg
cip,Datasets-types
cip,Datasets-Uploadedfiles
cip,Datasets-ViewData
cip,Dataset-TagDetails
cip,Dataset-test
cip,Dataset-types
cip,Dataset-Update
cip,Dataset-Upload
cip,Dataset-Upload-ByFileIDAndOrg
cip,Datasources-add
cip,Datasources-all-ByGroup
cip,Datasources-ALL-Len
cip,DatasourcesByGroup
cip,Datasources-ByNamestrAndOrg
cip,Datasources-delete
cip,Datasources-getAdapters
cip,Datasources-get-adapterTypes
cip,Datasources-getAll
cip,Datasources-get-ByNamestrAndOrg
cip,Datasources-getDocs
cip,Datasources-getinterfacetype
cip,Datasources-isVaultEnabled
cip,Datasources-names
cip,Datasources-save-ByIdOrName
cip,Datasources-search-ByName
cip,Datasources-syncDataset
cip,Datasources-test
cip,Datasources-type
cip,Datasources-type-ByNameAndOrg
cip,Datasources-type-ByType
cip,Datasources-type-Count-ByType
cip,Datasources-type-paginatedByType
cip,Datasources-types
cip,Datasources-types-ByNameAndOrg
cip,Datasources-type-searchByNameAndType
cip,Datasources-type-search-CountByNameAndType
cip,Datasources-type-search-count-ByNameAndType
cip,discussion-category-Byid
cip,discussion-category-deletebyId
cip,discussion-category-get
cip,discussioncategory-mapping
cip,discussion-comment
cip,discussion-comment-delete-CommentId
cip,discussion-comments-ById
cip,discussion-comments-discussion
cip,discussion-comments-get
cip,discussion-comments-page
cip,discussion-comments-post
cip,discussion-comments-replies
cip,discussion-delete-By-userId
cip,discussion-drafts
cip,discussion-get
cip,discussion-page
cip,discussion-post
cip,discussion-put
cip,discussion-reaction-ById
cip,discussion-reaction-discussion
cip,discussion-reaction-get
cip,discussion-reaction-page
cip,discussion-reactions-delete-byid
cip,discussion-reactions-post
cip,discussion-reactions-put
cip,discussions-get-byid
cip,discussion-shares-delete
cip,discussion-shares-get-byId
cip,discussion-shares-page
cip,discussion-shares-put
cip,discussion-sharess-get
cip,discussion-sharess-post
cip,discussion-subscription
cip,discussion-tag
cip,discussion-tags
cip,discussion-tags-delete-Byid
cip,discussion-tags-discussion-ById
cip,discussion-tags-get
cip,discussion-tagslist
cip,discussion-tags-page
cip,discussion-tags-post
cip,Endpoints-add
cip,Endpoints-ById
cip,Endpoints-delete
cip,Endpoints-edit
cip,Endpoints-run
cip,Entities-add
cip,Entities-AllByentityTypeAndGroup
cip,Entities-AllByType
cip,Entities-delete
cip,event-add
cip,event-all-search
cip,event-apiClasses
cip,event-delete-ById
cip,event-delete-name
cip,event-getall
cip,event-getall-len
cip,event-getById
cip,event-get-triggerByName
cip,event-name-ByNameAndOrg
cip,event-post-triggerByName
cip,event-test
cip,exp-dataset-all
cip,exp-dataset-approveRejectDataset
cip,exp-dataset-createDatasetApproval
cip,exp-dataset-requestDatasets
cip,File-Create
cip,File-Create-Agents
cip,File-Create-Drag
cip,File-Create-Script
cip,File-Download-Agents
cip,File-Download-ByCnameAndOrg
cip,File-Download-Drag-ByCnameAndOrg
cip,File-Download-LogChain
cip,File-Download-LogPipeline
cip,File-DownloadNative-ByCnameAndOrg
cip,File-Download-Script-ByCnameAndOrg
cip,File-Pipeline-drag-upload
cip,File-Pipeline-native-upload
cip,File-Pipeline-script-upload
cip,File-ReadAgents-ByCnameAndOrg
cip,File-ReadBaseAgents
cip,File-Read-ByCnameAndOrg
cip,File-ReadConfig-ByAgentType
cip,File-ReadDrag-ByCnameAndOrg
cip,File-ReadSampleAgents
cip,File-ReadScript-ByCnameAndOrg
cip,FileReadxml-ByAgenttype
cip,FileRemoval
cip,File-saveChunks
cip,Fileserver-deleteTemp
cip,Fileserver-Downloadfile
cip,Fileserver-DownloadfilebyFileidAndOrg
cip,Fileserver-upload
cip,Fileserver-uploadTemp
cip,Files-Pipeline-upload
cip,file-upload
cip,file-writeConfig
cip,file-writeXml
cip,folder-delete
cip,generate-FileID
cip,generate-FormTemplate
cip,getArtefactByIds
cip,getArtefactList-ByOrgId
cip,groups-add-namestr
cip,groups-all
cip,groups-all-ByEntitytypeAndEntity
cip,groups-all-len-ByOrg
cip,groups-delete-ByNamestrAndOrg
cip,groups-featured
cip,groups-get-ByNamestrAndOrg
cip,groups-names
cip,groups-paginated-all
cip,groups-pipeline
cip,groups-search-ByEntitytypeAndEntity
cip,groups-searchByType
cip,groups-search-len-ByEntitytypeAndEntityAndOrg
cip,groups-view
cip,importPipelines
cip,instances-add
cip,instances-count-byName
cip,instances-delete
cip,instances-getByNameAndOrg
cip,instances-searchByAlias
cip,internal-job-datackeanup
cip,internaljob-DatasetByNameAndOrg
cip,internaljob-DatasetLen-ByNameAndOrg
cip,internalJob-getALL
cip,internalJob-getConsoleByJobid
cip,internaljob-Jobname-ByNameAndOrg
cip,internaljob-jobnameLen-ByNameAndOrg
cip,internaljob-Macrobase
cip,internaljob-MacrobaseLen
cip,jobs-byNameStrAndOrg
cip,jobs-Common-ByOrg
cip,jobs-Common-jobLen
cip,jobs-Console-ByJobID
cip,jobs-Corelid-ByCorelid
cip,jobs-Hiddenlogs
cip,jobs-Hide
cip,jobs-image
cip,jobs-job-Bytypes
cip,jobs-JobsLen-byOrg
cip,jobs-runtime
cip,jobs-spark
cip,jobs-stopJob
cip,jobs-StreamingLen
cip,Macrobase-analyze
cip,Macrobase-analyze-result
cip,Macrobase-rows-ByNameAndOrg
cip,Macrobase-rows-fmt
cip,Macrobase-rows-multiple
cip,Macrobase-schema
cip,Mashups-add
cip,Mashups-All
cip,Mashups-All-ByOrg
cip,mashups-ByNamestrAndOrg
cip,Metricjobs-run
cip,Modeljobs-All
cip,modelserver-all
cip,modelservice-createEndPoint
cip,modelservice-createEndPointConfig
cip,modelservice-createModelDeployment
cip,modelservice-deleteEndPoint
cip,modelservice-deleteEndPointConfig
cip,modelservice-deleteRegisteredModel
cip,modelservice-getDeploymentStatus
cip,modelservice-getEndpoint
cip,modelservice-getLatestModelVersionModel
cip,modelservice-getRegisteredModel
cip,modelservice-listEndpointConfigs
cip,modelservice-listEndpoints
cip,modelservice-listRegisteredModels
cip,modelservice-registerModel
cip,modelservice-renameRegisteredModel
cip,modelservice-types
cip,modelservice-updateRegisteredModel
cip,noOfComments
cip,noOfDislikes
cip,noOfLikes
cip,pipeline-get-ByOrgAndCname
cip,pipeline-getPipelines
cip,pipelinemodels-add
cip,pipelinemodels-all-ByModelnameAndOrg
cip,pipelinemodels-allByorg
cip,pipelinemodels-allLenByOrg
cip,pipelinemodels-Allmodels
cip,pipelinemodels-ById
cip,pipelinemodels-deploy
cip,pipelinemodels-deploy-status
cip,pipelinemodels-edit
cip,pipelinemodels-executionscript
cip,pipelinemodels-generate-fileid
cip,pipelinemodels-isKubeflowActive
cip,pipelinemodels-isLocalActive
cip,pipelinemodels-loadscript
cip,Pipelinemodels-run
cip,Pipelinemodels-run-server
cip,Pipelinemodels-save-model
cip,pipelinemodels-update-local-percent
cip,pipelinemodels-update-percent
cip,Pipelinemodels-upload-ByFileidAndReplaceAnd Org
cip,Pipelinemodels-upload-ByFolderAndFileidAndReplaceAnd Org
cip,pipeline-runAgent
cip,pipeline-run-ByCnameAndOrg
cip,pipeline-run-ByJobtypeAndCnameAndOrgAndRuntime
cip,pipelines-deleteById
cip,plugin-add
cip,plugin-addNewNode
cip,plugin-all
cip,plugin-allPlugins
cip,plugin-delete
cip,pluginscript-add
cip,pluginscript-all
cip,pluginscript-all-ByPlugintype
cip,pluginscript-updatescript
cip,plugin-update
cip,plugin-updateconfig
cip,process-config-getNetworkGraphData
cip,project-activeProjects
cip,project-all
cip,project-all-ByOrgid
cip,project-allIndParticipants
cip,project-allTeamparticipants
cip,project-ById
cip,project-checkProjectDeletable
cip,project-configureExperiment
cip,project-createProject-ByOrg
cip,project-dataset-ById
cip,project-deleteProject
cip,project-editProject-byorg
cip,project-evaluatorProjects
cip,project-evaluators
cip,project-experimentConfiguration
cip,project-experimentsPaginated
cip,project-experimentsPaginatedCount
cip,project-ExperimentTypes
cip,project-featureProjects
cip,projectImage-all
cip,projectImage-byId
cip,projectImage-downloadImg
cip,projectImage-getImgForProj
cip,projectImage-project
cip,project-individualParticipants
cip,project-joinApprove
cip,project-joinedTeams
cip,project-joinPrivateProject
cip,project-joinProjectAsTeam
cip,project-joinProjectIndividual
cip,project-onkeyup
cip,project-ownerProject-byid
cip,project-ownerProjects-byuserId
cip,project-privateIndividualParticipants
cip,project-privateTeamParticipants
cip,project-projectDetails-byid
cip,project-projectstatus
cip,project-requestProjectView
cip,project-teamParticipants
cip,project-teamProjects
cip,project-userViewProjectStatus
cip,project-viewApprove
cip,project-viewStatus
cip,project-viewStatusAll
cip,Proxycontroller-delete
cip,Proxycontroller-get
cip,Proxycontroller-getdbdata
cip,Proxycontroller-post
cip,Proxycontroller-postdbdata
cip,relationship
cip,relationship-add
cip,relationship-delete
cip,relationship-id
cip,relationship-update
cip,Reschedule-schedule
cip,saveArtefactTags
cip,schedule-cronScheduleJob
cip,schedule-quartz
cip,schedule-retryJob
cip,schedule-scheduleJob
cip,schedule-scheduleJob-all
cip,schedule-scheduleJob-delete
cip,schedule-scheduleJob-name
cip,schedule-scheduleJob-pause
cip,schedule-scheduleJob-pauseAll
cip,schedule-updateJob
cip,SchemaRegistry-add
cip,SchemaRegistry-add-schemaForm
cip,schemaRegistry-alias
cip,schemaRegistry-allLen
cip,schemaRegistry-createName
cip,schemaRegistry-delete
cip,schemaRegistry-deleteFormTemplate
cip,schemaRegistry-groupings
cip,schemaRegistry-schemaForms
cip,schemaRegistry-schemaFormTemeplate
cip,schemaRegistry-schemas
cip,schemaRegistry-schemas-All
cip,schemaRegistry-schemas-All-ByGroup
cip,schemaRegistry-schemas-ByNamestrAndOrg
cip,schemaRegistry-search
cip,search-Datasources-ByName
cip,service-v1-pipeline-get
cip,service-v1-pipeline-getPipelines
cip,service-v1-pipeline-runAgent
cip,service-v1-pipeline-run-ByCnameAndOrg
cip,service-v1-pipeline-run-ByJobtypeAndCnameAndOrgAndRuntime
cip,solution-all
cip,solution-byId
cip,solution-deleteByid
cip,solution-file-delete-Byid
cip,solution-getFilesAndAttachments-by-solutionFileId
cip,solution-individualSolutions-by-projectId
cip,solution-infygithub
cip,solution-project
cip,solution-project-all
cip,solution-saveSolutionFIle
cip,solution-solutionDetails
cip,solution-submitSolution
cip,solution-submitSolution-byOrg
cip,solution-team
cip,solution-teamSolutions
cip,solution-Updatesolution
cip,solution-update-Solutiondetails
cip,specTemplateNames-list
cip,spectemplates-getAllSpecTemplates
cip,spectemplates-getByTemplatename
cip,Sql-insert
cip,Sql-update
cip,stream-ByfileidandChunkandOrg
cip,stream-ByfileidandOrg
cip,streamingServices-add
cip,streamingServices-all
cip,streamingServices-all-ByGroup
cip,streamingServices-all-len
cip,streamingServices-allPipeline
cip,streamingServices-allPipelineNames
cip,streamingServices-allPipelinesByOrg
cip,streamingServices-allPipelinesByType
cip,streamingServices-allPipelinesByType-ByGroup
cip,streamingServices-Byid
cip,streamingServices-ByNamestrAndOrg
cip,streamingServices-delete
cip,streamingServices-generateScript
cip,StreamingServices-pipelineCopy
cip,StreamingServices-saveJson
cip,StreamingServices-update
cip,subscription-details-get
cip,tags-create
cip,tags-delete
cip,tags-fetch
cip,tags-fetchAll
cip,tags-post
cip,tags-searchByType
cip,tags-update
cip,team-allTeams-ByOrgid
cip,team-allTeams-ByOrgidandUserId
cip,team-allTeamsPagination
cip,team-checkTeamDeletable
cip,team-createNewTeam
cip,team-deleteTeam
cip,team-getAll
cip,team-getDistinctMembers
cip,team-getMembers
cip,team-joinTeam
cip,team-teamDetails-ById
cip,team-teamMembers-ById
cip,team-teamReq-byTeamIdandUserId
cip,team-teamsCount-byOrgId
cip,team-teamstatus
cip,team-teamstatus-by-user-andApproveridteamandOrg
cip,team-updateTeam
cip,team-users-byOrg
cip,team-users-onkeyup
cip,testDatasources
cip,thumbnail-byOrg
cip,totalChunks-byFileidAndOrg
cip,transformLoad
cip,triggerInternalJobs
cip,updateArtefact
cip,updateArtefact-byOrgAndOrgid
cip,user-subscription-delete-ById
cip,user-subscription-get
cip,user-subscription-get-ById
cip,user-subscription-get-ByUseridAnd
cip,user-subscription-post
cip,workbench-types-all
cip,workflows-add
cip,workflows-addspec
cip,workflows-delete
cip,workflows-get
cip,workflows-id
cip,workflows-specid
cip,workflows-spec-id
cip,workflows-specname
cip,workflows-spec-name
cip,workflows-specs
cip,workflows-update
cip,workflows-updatespec
cip,your-discussion-ByuseridAndOrgidAndsortid
dbs,account-create
dbs,account-delete
dbs,account-edit
dbs,account-view
dbs,all-mapping-delete
dbs,chartss-create
dbs,chartss-delete
dbs,chartss-edit
dbs,chartss-view
dbs,dashboard-configurations-create
dbs,dashboard-configurations-delete
dbs,dashboard-configurations-page-view
dbs,dashboard-mapping-create
dbs,dashboard-mapping-delete
dbs,dash-palette-configs-create
dbs,dash-palette-configs-delete
dbs,dash-palette-configs-edit
dbs,dash-palette-configs-view
dbs,dash-palette-create
dbs,dash-palette-delete
dbs,dash-palette-edit
dbs,dash-palettes-view
dbs,dash-palette-widget-sequence-delete
dbs,dash-palette-widget-sequences-create
dbs,dash-palette-widget-sequences-edit
dbs,dash-palette-widget-sequences-view
dbs,dash-sequence-widget-delete
dbs,dash-sequence-widgets-create
dbs,dash-sequence-widgets-edit
dbs,dash-sequence-widgets-view
dbs,dash-threshold-config-delete
dbs,dash-threshold-configs-create
dbs,dash-threshold-configs-edit
