"id","chart_display_name","metadata_id","metadata_json",chart_id
"1","Line","1","NULL","1"
"2","Spline","1","NULL","2"
"3","Column","1","NULL","3"
"4","Area","1","NULL","13"
"5","Bar","1","NULL","19"
"6","Grouped Column","2","NULL","5"
"7","Stacked Column","2","NULL","7"
"8","Stacked Bar","2","NULL","22"
"9","Pie","3","NULL","6"
"10","Donut","3","NULL","10"
"11","Funnel","3","NULL","23"
"12","Tree Map","4","NULL","9"
"13","Heat Map","4","NULL","16"
"14","Gauge","5","NULL","15"
"15","Speedometer","5","NULL","17"
"16","Horizontal Gauge","5","NULL","18"
