id,dimension_id,level,level_text,score_min,score_max
510,206,1,Point,0,1
511,206,2,Platform,1.01,2
512,206,3,Cognitive,2.01,3
513,206,4,Autonomous,3.01,5
514,207,1,Point,0,1
515,214,1,Point,0,1
516,208,1,Point,0,1
517,213,1,Point,0,1
518,212,1,Point,0,1
519,211,1,Point,0,1
520,210,1,Point,0,1
521,209,1,Point,0,1
522,215,1,Point,0,1
524,215,2,Platform,1.01,2
525,207,2,Platform,1.01,2
526,208,2,Platform,1.01,2
527,209,2,Platform,1.01,2
528,210,2,Platform,1.01,2
529,211,2,Platform,1.01,2
530,212,2,Platform,1.01,2
531,213,2,Platform,1.01,2
532,214,2,Platform,1.01,2
533,216,1,Point,0,1
534,216,2,Platform,1.01,2
536,216,3,Cognitive,2.01,3
537,213,3,Cognitive,2.01,3
538,212,3,Cognitive,2.01,3
539,209,3,Cognitive,2.01,3
540,207,3,Cognitive,2.01,3
541,210,3,Cognitive,2.01,3
542,215,3,Cognitive,2.01,3
543,214,3,Cognitive,2.01,3
544,211,3,Cognitive,2.01,3
545,208,3,Cognitive,2.01,3
546,216,4,Autonomous,3.01,5
547,215,4,Autonomous,3.01,5
548,211,4,Autonomous,3.01,5
549,207,4,Autonomous,3.01,5
550,212,4,Autonomous,3.01,5
551,210,4,Autonomous,3.01,5
552,214,4,Autonomous,3.01,5
553,209,4,Autonomous,3.01,5
554,213,4,Autonomous,3.01,5
555,208,4,Autonomous,3.01,5
1455,3281,1,Minimum,0,1.65
1456,3281,2,Limited,1.66,2.75
1457,3281,3,High,2.76,3.85
1458,3281,4,Unacceptable,3.86,5
1459,3282,1,Minimum,0,1.65
1460,3282,2,Limited,1.66,2.75
1461,3282,3,High,2.76,3.85
1462,3282,4,Unacceptable,3.86,5
1463,3283,1,Minimum,0,1.65
1464,3283,2,Limited,1.66,2.75
1465,3283,3,High,2.76,3.85
1466,3283,4,Unacceptable,3.86,5
1467,3284,1,Minimum,0,1.65
1468,3284,2,Limited,1.66,2.75
1469,3284,3,High,2.76,3.85
1470,3284,4,Unacceptable,3.86,5
1471,3285,1,Minimum,0,1.65
1472,3285,2,Limited,1.66,2.75
1473,3285,3,High,2.76,3.85
1474,3285,4,Unacceptable,3.86,5
1475,3286,1,Minimum,0,1.65
1476,3286,2,Limited,1.66,2.75
1477,3286,3,High,2.76,3.85
1478,3286,4,Unacceptable,3.86,5
1479,3287,1,Minimum,0,1.65
1480,3287,2,Limited,1.66,2.75
1481,3287,3,High,2.76,3.85
1482,3287,4,Unacceptable,3.86,5
1483,3288,1,Minimum,0,1.65
1484,3288,2,Limited,1.66,2.75
1485,3288,3,High,2.76,3.85
1486,3288,4,Unacceptable,3.86,5
1487,3289,1,Minimum,0,1.65
1488,3289,2,Limited,1.66,2.75
1489,3289,3,High,2.76,3.85
1490,3289,4,Unacceptable,3.86,5
1495,3291,1,Minimum,0,1.65
1496,3291,2,Limited,1.66,2.75
1497,3291,3,High,2.76,3.85
1498,3291,4,Unacceptable,3.86,5
1499,3292,1,Minimum,0,1.65
1500,3292,2,Limited,1.66,2.75
1501,3292,3,High,2.76,3.85
1502,3292,4,Unacceptable,3.86,5
1503,3293,1,Minimum,0,1.65
1504,3293,2,Limited,1.66,2.75
1505,3293,3,High,2.76,3.85
1506,3293,4,Unacceptable,3.86,5
1507,3294,1,Minimum,0,1.65
1508,3294,2,Limited,1.66,2.75
1509,3294,3,High,2.76,3.85
1510,3294,4,Unacceptable,3.86,5
1515,3296,1,Minimum,0,1.65
1516,3296,2,Limited,1.66,2.75
1517,3296,3,High,2.76,3.85
1518,3296,4,Unacceptable,3.86,5
1519,3297,1,Minimum,0,1.65
1520,3297,2,Limited,1.66,2.75
1521,3297,3,High,2.76,3.85
1522,3297,4,Unacceptable,3.86,5
1523,3298,1,Minimum,0,1.65
1524,3298,2,Limited,1.66,2.75
1525,3298,3,High,2.76,3.85
1526,3298,4,Unacceptable,3.86,5
1527,3299,1,Minimum,0,1.65
1528,3299,2,Limited,1.66,2.75
1529,3299,3,High,2.76,3.85
1530,3299,4,Unacceptable,3.86,5
1531,3300,1,Minimum,0,1.65
1532,3300,2,Limited,1.66,2.75
1533,3300,3,High,2.76,3.85
1534,3300,4,Unacceptable,3.86,5
1539,3317,0,Initial,0,1
1541,3318,0,Initial,0,1
1542,3319,0,Initial,0,1
1543,3320,0,Initial,0,1
1544,3321,0,Initial,0,1
1545,3322,0,Initial,0,1
1547,3324,0,Initial,0,1
1548,3325,0,Initial,0,1
