"id","name","parent_id","parent_name","last_updated_by","last_updated_date","dimension_id","metric_id","target_level","duration","source","description"
"1355","Make sure the DDoS protection is in place from telco/service providers and local appliance also.","NULL","NULL","NULL","2023-02-10","207","684","L1","90","SME","NULL"
"1356","Make sure the DDoS protection is in place from telco/service providers and local appliance also.","NULL","NULL","NULL","2023-02-10","207","684","L3","90","SME","NULL"
"1357","No Recommendation","NULL","NULL","NULL","2023-02-10","207","684","L4","90","SME","NULL"
"1358","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Volumetric DDoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","684","L1","90","SME","NULL"
"1359","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","685","L1","90","SME","NULL"
"1360","Explore the opportunities to have lateral attack protection in place.","NULL","NULL","NULL","2023-02-10","207","685","L3","90","SME","NULL"
"1361","No Recommendation","NULL","NULL","NULL","2023-02-10","207","685","L4","90","SME","NULL"
"1362","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Lateral attack protection  is not applicable.","NULL","NULL","NULL","2023-02-10","207","685","L1","90","SME","NULL"
"1363","Make sure the DDoS protection is in place from telco/service providers and local appliance also.","NULL","NULL","NULL","2023-02-10","207","686","L1","90","SME","NULL"
"1364","Make sure the DDoS protection is in place from telco/service providers and local appliance also.","NULL","NULL","NULL","2023-02-10","207","686","L3","90","SME","NULL"
"1365","No Recommendation","NULL","NULL","NULL","2023-02-10","207","686","L4","90","SME","NULL"
"1366","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Volumetric DDoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","686","L1","90","SME","NULL"
"1367","Cyber ResilienceBronzeRecom","NULL","NULL","NULL","2023-02-10","207","687","L1","90","SME","NULL"
"1368","Cyber ResilienceBronzeRecom","NULL","NULL","NULL","2023-02-10","207","687","L3","90","SME","NULL"
"1369","No Recommendation","NULL","NULL","NULL","2023-02-10","207","687","L4","90","SME","NULL"
"1370","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Protocol/Application based DoS attack resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","687","L1","90","SME","NULL"
"1371","Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","688","L1","90","SME","NULL"
"1372","Explore an option to automate the ceritificate renewal","NULL","NULL","NULL","2023-02-10","207","688","L3","90","SME","NULL"
"1373","No Recommendation","NULL","NULL","NULL","2023-02-10","207","688","L4","90","SME","NULL"
"1374","Check if supporting details given in the comments why the capability Design & Build\\Cyber Resilience\\Certificate resilience  is not applicable.","NULL","NULL","NULL","2023-02-10","207","688","L1","90","SME","NULL"
"1375","Make sure the DDoS protection is in place from service providers or from a local appliance.","NULL","NULL","NULL","2023-02-10","207","689","L1","90","SME","NULL"
"1376","Make sure the DDoS protection is in place from service providers or from a local appliance.","NULL","NULL","NULL","2023-02-10","207","689","L3","90","SME","NULL"
"1377","No Recommendation","NULL","NULL","NULL","2023-02-10","207","689","L4","90","SME","NULL"
