"id","metric_id","metric_name","value_type","start_value","end_value","score","weightage","question_option_id"
"1558","1053","% of Applications and teams following defined processes and tools","NULL","0.0","9.9","0.5","NULL","NULL"
"1559","1053","% of Applications and teams following defined processes and tools","NULL","10.0","20.0","1.5","NULL","NULL"
"1560","1053","% of Applications and teams following defined processes and tools","NULL","20.1","30.0","2.5","NULL","NULL"
"1561","1053","% of Applications and teams following defined processes and tools","NULL","30.1","40.0","3.5","NULL","NULL"
"1562","1053","% of Applications and teams following defined processes and tools","NULL","40.1","NULL","4.5","NULL","NULL"
"1563","1069","average year on year ticket reduction through different intervention plans in last 3 years","NULL","0.0","5.0","0.5","NULL","NULL"
"1564","1069","average year on year ticket reduction through different intervention plans in last 3 years","NULL","5.1","10.0","1.5","NULL","NULL"
"1565","1069","average year on year ticket reduction through different intervention plans in last 3 years","NULL","10.1","15.0","2.5","NULL","NULL"
"1566","1069","average year on year ticket reduction through different intervention plans in last 3 years","NULL","15.1","20.0","3.5","NULL","NULL"
"1567","1069","average year on year ticket reduction through different intervention plans in last 3 years","NULL","20.1","NULL","4.5","NULL","NULL"
"1568","1071","% of Applications and teams following defined tools","NULL","0.0","10.0","0.5","NULL","NULL"
"1569","1071","% of Applications and teams following defined tools","NULL","10.1","20.0","1.5","NULL","NULL"
"1570","1071","% of Applications and teams following defined tools","NULL","20.1","40.0","2.5","NULL","NULL"
"1571","1071","% of Applications and teams following defined tools","NULL","40.1","60.0","3.5","NULL","NULL"
"1572","1071","% of Applications and teams following defined tools","NULL","60.1","NULL","4.5","NULL","NULL"
"1573","1026","% of apps havings APM configured for monitoring","NULL","0.0","10.0","1.5","NULL","NULL"
"1574","1026","% of apps havings APM configured for monitoring","NULL","10.01","30.0","2.5","NULL","NULL"
"1575","1026","% of apps havings APM configured for monitoring","NULL","30.01","60.0","3.5","NULL","NULL"
"1576","1026","% of apps havings APM configured for monitoring","NULL","60.01","NULL","4.5","NULL","NULL"
"1577","1033","ratio of benefits realized to the benefits planned","NULL","0.0","50.0","1.66","NULL","NULL"
"1578","1033","ratio of benefits realized to the benefits planned","NULL","50.01","75.0","2.49","NULL","NULL"
"1579","1033","ratio of benefits realized to the benefits planned","NULL","75.01","90.0","3.32","NULL","NULL"
"1580","1033","ratio of benefits realized to the benefits planned","NULL","90.01","NULL","4.15","NULL","NULL"
"1869","1217","% of tickets are handled through standard operating procedures","NULL","0.0","20.0","1.0","NULL","NULL"
"1870","1217","% of tickets are handled through standard operating procedures","NULL","20.01","40.0","2.0","NULL","NULL"
"1871","1217","% of tickets are handled through standard operating procedures","NULL","40.01","60.0","3.0","NULL","NULL"
"1872","1217","% of tickets are handled through standard operating procedures","NULL","60.01","80.0","4.0","NULL","NULL"
"1873","1217","% of tickets are handled through standard operating procedures","NULL","80.01","NULL","5.0","NULL","NULL"
"1990","1507","Female management headcount in percentage","NULL","0.0","11.0","1.0","NULL","NULL"
"1991","1508","Time to hire external workforce in days","NULL","0.0","10.0","1.0","NULL","NULL"
"1992","1509","New hire retention rate in percentage in a year","NULL","0.0","75.0","1.0","NULL","NULL"
"1993","1510","External workforce in percentage","NULL","0.0","3.0","1.0","NULL","NULL"
"1994","1511","External workforce trained on compliance and security in percentage","NULL","0.0","60.0","1.0","NULL","NULL"
"1995","1512","HR FTEs per 100 employees","NULL","0.0","1.22","1.0","NULL","NULL"
"1996","1513","Cost per hire in dollars","NULL","0.0","3089.0","1.0","NULL","NULL"
"1997","1514","Time to hire in days","NULL","0.0","22.0","1.0","NULL","NULL"
"1998","1515","Bad hires as a percentage of total hires","NULL","0.0","3.0","1.0","NULL","NULL"
"1999","1516","Employee referral rate in percentage","NULL","0.0","2.0","1.0","NULL","NULL"
"2000","1517","Average time to draft and review JD in hours","NULL","0.0","4.0","1.0","NULL","NULL"
"2001","1518","Average time for JD alignment and approval","NULL","0.0","10.0","1.0","NULL","NULL"
"2002","1519","Average time to screen 10 profiles for a role in days","NULL","0.0","2.0","1.0","NULL","NULL"
"2003","1520","Cost to source 100 profiles for a role in dollars","NULL","0.0","3000.0","1.0","NULL","NULL"
"2004","1521","Interview conversion rate of screened candidates in percentage","NULL","0.0","20.0","1.0","NULL","NULL"
"2005","1522","HR FTEs to source & screen 10 profiles","NULL","0.0","0.5","1.0","NULL","NULL"
"2006","1523","Average time taken to schedule the first round of interviews in days","NULL","0.0","3.0","1.0","NULL","NULL"
"2007","1524","Average time taken to schedule subsequent round of interviews in days","NULL","0.0","2.0","1.0","NULL","NULL"
"2008","1525","Average time taken to interview a candidate and provide feedback in hours","NULL","0.0","2.0","1.0","NULL","NULL"
"2009","1526","Percentage of candidates clearing round 1","NULL","0.0","25.0","1.0","NULL","NULL"
"2010","1527","Percentage of candidates clearing subsequent rounds","NULL","0.0","35.0","1.0","NULL","NULL"
"2011","1528","Average time to complete a background check in days","NULL","0.0","3.0","1.0","NULL","NULL"
"2012","1529","Average time to roll out the offer in days","NULL","0.0","2.0","1.0","NULL","NULL"
