id,option_text,question_id,score,impact
3194,Not Met,777,1,"No DDoS protection implemented from multiple telcos/service providers and local appliance.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3195,Partial Met,777,3,"No DDoS protection implemented from multiple telcos/service providers and local appliance.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3196,Fully Met,777,5,No impact as system is matured.
3197,Not Applicable,777,0,No impact as capability is not applicable.
3198,Not Met,778,1,"No Lateral attack protection in place for inbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3199,Partial Met,778,3,"No Lateral attack protection in place for inbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3200,Fully Met,778,5,No impact as system is matured.
3201,Not Applicable,778,0,No impact as capability is not applicable.
3202,Not Met,779,1,"No DDoS protection implemented from both telco/service provider and local appliance.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3203,Partial Met,779,3,"No DDoS protection implemented from both telco/service provider and local appliance.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3204,Fully Met,779,5,No impact as system is matured.
3205,Not Applicable,779,0,No impact as capability is not applicable.
3206,Not Met,780,1,To be Updated
3207,Partial Met,780,3,To be Updated
3208,Fully Met,780,5,No impact as system is matured.
3209,Not Applicable,780,0,No impact as capability is not applicable.
3210,Not Met,781,1,"Certificate process is not fully automated.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal, if any manual steps present."
3211,Partial Met,781,3,"Certificate process is not fully automated.\
Risk of service not working or behaving as expected as there is possibility of missing steps during the certificate renewal, if any manual steps present."
3212,Fully Met,781,5,No impact as system is matured.
3213,Not Applicable,781,0,No impact as capability is not applicable.
3214,Not Met,782,1,"No DDoS protection implemented.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3215,Partial Met,782,3,"No DDoS protection implemented.\
If a DDoS attack happens, and the load is increased, the system will be degraded as the resources are utilized at maximum."
3216,Fully Met,782,5,No impact as system is matured.
3217,Not Applicable,782,0,No impact as capability is not applicable.
3218,Not Met,783,1,"No Lateral attack protection in place either at device or service level both for inbound and outbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3219,Partial Met,783,3,"No Lateral attack protection in place either at device or service level both for inbound and outbound communication.\
This attack compromises a trusted user to get access into the network and uses it to attack other trusted users.\
This compromises on cyber resiliency for the systems."
3220,Fully Met,783,5,No impact as system is matured.
3221,Not Applicable,783,0,No impact as capability is not applicable.
3222,Not Met,784,1,"The service is not capable enough of absorbing 10X capacity.\
If a DoS attack happens, and the load is increased beyond 10X, the system will be degraded as the resources are utilized at maximum."
3223,Partial Met,784,3,"The service is not capable enough of absorbing 10X capacity.\
If a DoS attack happens, and the load is increased beyond 10X, the system will be degraded as the resources are utilized at maximum."
