id,questionnaire_id,dimension_id,metric_id,ignore_zero_on_score_calc,calculation_method,threshold_maturity,na_score,multiplier
111,133,206,NULL,0,AVERAGE,NULL,NULL,NULL
112,133,207,NULL,0,AVERAGE,NULL,NULL,NULL
113,133,208,NULL,0,AVERAGE,NULL,NULL,NULL
114,133,209,NULL,0,AVERAGE,NULL,NULL,NULL
115,133,210,NULL,0,AVERAGE,NULL,NULL,NULL
116,133,211,NULL,0,AVERAGE,NULL,NULL,NULL
117,133,212,NULL,0,AVERAGE,NULL,NULL,NULL
118,133,213,NULL,0,AVERAGE,NULL,NULL,NULL
119,133,214,NULL,0,AVERAGE,NULL,NULL,NULL
120,133,215,NULL,0,AVERAGE,NULL,NULL,NULL
121,133,216,NULL,0,AVERAGE,NULL,NULL,NULL
250,143,330,NULL,0,AVERAGE,NULL,NULL,NULL
251,143,329,NULL,0,AVERAGE,NULL,NULL,NULL
252,143,328,NULL,0,AVERAGE,NULL,NULL,NULL
253,143,331,NULL,0,AVERAGE,NULL,NULL,NULL
254,143,332,NULL,0,AVERAGE,NULL,NULL,NULL
255,143,333,NULL,0,AVERAGE,NULL,NULL,NULL
256,143,334,NULL,0,AVERAGE,NULL,NULL,NULL
257,143,335,NULL,0,AVERAGE,NULL,NULL,NULL
258,143,336,NULL,0,AVERAGE,NULL,NULL,NULL
259,143,337,NULL,0,AVERAGE,NULL,NULL,NULL
260,143,338,NULL,0,AVERAGE,NULL,NULL,NULL
261,143,339,NULL,0,AVERAGE,NULL,NULL,NULL
262,143,340,NULL,0,AVERAGE,NULL,NULL,NULL
263,143,341,NULL,0,AVERAGE,NULL,NULL,NULL
264,143,342,NULL,0,AVERAGE,NULL,NULL,NULL
265,143,343,NULL,0,AVERAGE,NULL,NULL,NULL
266,143,344,NULL,0,AVERAGE,NULL,NULL,NULL
267,143,345,NULL,0,AVERAGE,NULL,NULL,NULL
268,143,346,NULL,0,AVERAGE,NULL,NULL,NULL
269,143,347,NULL,0,AVERAGE,NULL,NULL,NULL
270,143,348,NULL,0,AVERAGE,NULL,NULL,NULL
271,143,349,NULL,0,AVERAGE,NULL,NULL,NULL
272,143,350,NULL,0,AVERAGE,NULL,NULL,NULL
273,143,351,NULL,0,AVERAGE,NULL,NULL,NULL
274,143,352,NULL,0,AVERAGE,NULL,NULL,NULL
275,143,353,NULL,0,AVERAGE,NULL,NULL,NULL
276,143,354,NULL,0,AVERAGE,NULL,NULL,NULL
277,143,355,NULL,0,AVERAGE,NULL,NULL,NULL
278,143,356,NULL,0,AVERAGE,NULL,NULL,NULL
282,143,NULL,886,0,AVERAGE,NULL,NULL,NULL
283,143,NULL,887,0,AVERAGE,NULL,NULL,NULL
284,143,NULL,888,0,AVERAGE,NULL,NULL,NULL
285,143,NULL,889,0,AVERAGE,NULL,NULL,NULL
286,143,NULL,896,0,AVERAGE,NULL,NULL,NULL
287,143,NULL,890,0,AVERAGE,NULL,NULL,NULL
288,143,NULL,891,0,AVERAGE,NULL,NULL,NULL
289,143,NULL,892,0,AVERAGE,NULL,NULL,NULL
290,143,NULL,893,0,AVERAGE,NULL,NULL,NULL
291,143,NULL,894,0,AVERAGE,NULL,NULL,NULL
292,143,NULL,895,0,AVERAGE,NULL,NULL,NULL
293,143,NULL,897,0,AVERAGE,NULL,NULL,NULL
294,143,NULL,898,0,AVERAGE,NULL,NULL,NULL
295,143,NULL,899,0,AVERAGE,NULL,NULL,NULL
296,143,NULL,900,0,AVERAGE,NULL,NULL,NULL
297,143,NULL,901,0,AVERAGE,NULL,NULL,NULL
298,143,NULL,902,0,AVERAGE,NULL,NULL,NULL
299,143,NULL,903,0,AVERAGE,NULL,NULL,NULL
300,143,NULL,904,0,AVERAGE,NULL,NULL,NULL
301,143,NULL,908,0,AVERAGE,NULL,NULL,NULL
302,143,NULL,909,0,AVERAGE,NULL,NULL,NULL
303,143,NULL,906,0,AVERAGE,NULL,NULL,NULL
304,143,NULL,907,0,AVERAGE,NULL,NULL,NULL
448,143,NULL,905,0,AVERAGE,NULL,NULL,NULL
449,144,3281,NULL,0,AVERAGE,NULL,NULL,NULL
450,144,3282,NULL,0,AVERAGE,NULL,NULL,NULL
451,144,3283,NULL,0,AVERAGE,NULL,NULL,NULL
452,144,3284,NULL,0,AVERAGE,NULL,NULL,NULL
453,144,3285,NULL,0,AVERAGE,NULL,NULL,NULL
454,144,3286,NULL,0,AVERAGE,NULL,NULL,NULL
455,144,3287,NULL,0,AVERAGE,NULL,NULL,NULL
456,144,3288,NULL,0,AVERAGE,NULL,NULL,NULL
457,144,3289,NULL,0,AVERAGE,NULL,NULL,NULL
459,144,3291,NULL,0,AVERAGE,NULL,NULL,NULL
460,144,3292,NULL,0,AVERAGE,NULL,NULL,NULL
461,144,3293,NULL,0,AVERAGE,NULL,NULL,NULL
462,144,3294,NULL,0,AVERAGE,NULL,NULL,NULL
464,144,3296,NULL,0,AVERAGE,NULL,NULL,NULL
465,144,3297,NULL,0,AVERAGE,NULL,NULL,NULL
466,144,3298,NULL,0,AVERAGE,NULL,NULL,NULL
467,144,3299,NULL,0,AVERAGE,NULL,NULL,NULL
468,144,3300,NULL,0,AVERAGE,NULL,NULL,NULL
470,150,3317,NULL,1,AVERAGE,NULL,NULL,NULL
471,150,3318,NULL,1,AVERAGE,NULL,NULL,NULL
472,150,3319,NULL,1,AVERAGE,NULL,NULL,NULL
473,150,3320,NULL,1,AVERAGE,NULL,NULL,NULL
474,150,3321,NULL,1,AVERAGE,NULL,NULL,NULL
475,150,3322,NULL,1,AVERAGE,NULL,NULL,NULL
476,150,3323,NULL,1,AVERAGE,NULL,NULL,NULL
477,150,3324,NULL,1,AVERAGE,NULL,NULL,NULL
501,150,3432,NULL,1,AVERAGE,NULL,NULL,NULL
478,150,3325,NULL,1,AVERAGE,NULL,NULL,NULL
479,150,3326,NULL,1,AVERAGE,NULL,NULL,NULL
480,150,3327,NULL,1,AVERAGE,NULL,NULL,NULL
481,150,3328,NULL,1,AVERAGE,NULL,NULL,NULL
482,150,3329,NULL,1,AVERAGE,NULL,NULL,NULL
483,150,3330,NULL,1,AVERAGE,NULL,NULL,NULL
484,150,3331,NULL,1,AVERAGE,NULL,NULL,NULL
485,150,3332,NULL,1,AVERAGE,NULL,NULL,NULL
486,150,3333,NULL,1,AVERAGE,NULL,NULL,NULL
487,150,3334,NULL,1,AVERAGE,NULL,NULL,NULL
488,150,3335,NULL,1,AVERAGE,NULL,NULL,NULL
489,150,3336,NULL,1,AVERAGE,NULL,NULL,NULL
490,150,3337,NULL,1,AVERAGE,NULL,NULL,NULL
491,150,3338,NULL,1,AVERAGE,NULL,NULL,NULL
