"id","name","type","subtype","last_updated_date","last_updated_by"
"1","","Tech-enabled Transformation","ERP Transformation","NULL","NULL"
"2","","Tech-enabled Transformation","CRM Transformation","NULL","NULL"
"3","","Tech-enabled Transformation","Cloud First Transformation","NULL","NULL"
"4","","Tech-enabled Transformation","Digital & AI Transformation","NULL","NULL"
"5","","Enterprise-wide Transformation","Business & Performance Transformation","NULL","NULL"
"6","","Enterprise-wide Transformation","Growth Strategy","NULL","NULL"
"7","","Enterprise-wide Transformation","Business Turnaround & Restructuring","NULL","NULL"
"8","","Strategic Transformation","Mergers, Acquisitons & Divestitures","NULL","NULL"
"9","","Strategic Transformation","Long-term value creation","NULL","NULL"
"10","","Finance Transformation
","NULL","NULL","NULL"
