"id","module","permission"
"3","usm","edit"
"4","usm","delete"
"5","usm","create"
"6","usm","view"
"7","dbs","edit"
"8","dbs","delete"
"9","dbs","create"
"10","dbs","view"
"11","cip","agent-edit"
"12","cip","dsr-edit"
"13","cip","dataset-edit"
"14","cip","pipeline-edit"
"15","cip","pipeline-run"
"16","cip","schema-edit"
"17","cip","job-edit"
"18","cip","job-run"
"19","cip","event-edit"
"20","cip","event-run"
"21","sbx","ds-approver"
"22","sbx","exp-creator"
"23","sbx","admin"
"24","cip","model-edit"
"25","icm","cluster-create-edit"
"26","icm","problemtype-create-edit"
"27","icm","sop-create-edit"
"28","whiteListed-url","whiteListed-url"
"29","usm","usm-get-api-usm-user-user"
"30","usm","usm-put-api-usm-user-user"
"31","usm","usm-post-api-usm-user-user"
"32","usm","usm-get-api-usm-role-role"
"33","usm","usm-put-api-usm-role-role"
"34","usm","usm-post-api-usm-role-role"
"35","usm","usm-get-api-usm-role-permissionss"
"36","usm","usm-put-api-usm-role-permissionss"
"37","usm","usm-post-api-usm-role-permissionss"
"38","usm","usm-get-api-usm-portfolios"
"39","usm","usm-put-api-usm-portfolios"
"40","usm","usm-post-api-usm-portfolios"
"41","usm","usm-get-api-usm-permissionss"
"42","usm","usm-put-api-usm-permissionss"
"43","usm","usm-post-api-usm-permissionss"
"44","usm","usm-put-api-usm-permission-api"
"45","usm","usm-put-api-usm-notificationss"
"46","usm","usm-post-api-usm-notificationss"
"47","usm","usm-get-api-usm-modules"
"48","usm","usm-put-api-usm-modules"
"49","usm","usm-post-api-usm-modules"
"50","usm","usm-get-api-usm-module-organisations"
"51","usm","usm-put-api-usm-module-organisations"
"52","usm","usm-post-api-usm-module-organisations"
"53","usm","usm-get-api-userss"
"54","usm","usm-put-api-userss"
"55","usm","usm-post-api-userss"
"56","usm","usm-put-api-userss-updatePassword"
"57","usm","usm-put-api-userss-resetPassword"
"58","usm","usm-get-api-userApiPermissions"
"59","usm","usm-put-api-userApiPermissions"
"60","usm","usm-post-api-userApiPermissions"
"61","usm","usm-get-api-user-units"
"62","usm","usm-put-api-user-units"
"63","usm","usm-post-api-user-units"
"64","usm","usm-get-api-user-project-roles"
"65","usm","usm-put-api-user-project-roles"
"66","usm","usm-post-api-user-project-roles"
"67","usm","usm-put-api-update-dashboard-mapping"
"68","svy","svy-get-api-svy-sub-dimensions"
"69","svy","svy-put-api-svy-sub-dimensions"
"70","svy","svy-post-api-svy-sub-dimensions"
"71","svy","svy-get-api-svy-regions"
"72","svy","svy-put-api-svy-regions"
"73","svy","svy-post-api-svy-regions"
"74","svy","svy-get-api-svy-questions"
"75","svy","svy-put-api-svy-questions"
"76","svy","svy-post-api-svy-questions"
"77","svy","svy-get-api-svy-questionnaires"
"78","svy","svy-put-api-svy-questionnaires"
"79","svy","svy-post-api-svy-questionnaires"
"80","svy","svy-get-api-svy-questionnaire-instances"
"81","svy","svy-put-api-svy-questionnaire-instances"
"82","svy","svy-post-api-svy-questionnaire-instances"
"83","svy","svy-get-api-svy-question-options"
"84","svy","svy-put-api-svy-question-options"
"85","svy","svy-post-api-svy-question-options"
"86","svy","svy-get-api-svy-lk-question-types"
"87","svy","svy-put-api-svy-lk-question-types"
"88","svy","svy-post-api-svy-lk-question-types"
"89","svy","svy-get-api-svy-industrys"
"90","svy","svy-put-api-svy-industrys"
"91","svy","svy-post-api-svy-industrys"
"92","svy","svy-get-api-svy-dimensions"
"93","svy","svy-put-api-svy-dimensions"
"94","svy","svy-post-api-svy-dimensions"
"95","svy","svy-get-api-svy-client-detailss"
"96","svy","svy-put-api-svy-client-detailss"
"97","svy","svy-post-api-svy-client-detailss"
"98","svy","svy-get-api-svy-answers"
"99","svy","svy-put-api-svy-answers"
"100","svy","svy-post-api-svy-answers"
"101","svy","svy-get-api-svy-answer-options"
"102","svy","svy-put-api-svy-answer-options"
"103","svy","svy-post-api-svy-answer-options"
"104","usm","usm-get-api-roles"
"105","usm","usm-put-api-roles"
"106","usm","usm-post-api-roles"
"107","usm","usm-get-api-projects"
"108","usm","usm-put-api-projects"
"109","usm","usm-post-api-projects"
"110","usm","usm-get-api-organisations"
"111","usm","usm-put-api-organisations"
"112","usm","usm-post-api-organisations"
"113","usm","usm-get-api-org-units"
"114","usm","usm-put-api-org-units"
"115","usm","usm-post-api-org-units"
"116","cip","cip-put-api-macrobase-schema"
"117","icm","icm-get-api-icm_sops_alias"
"118","icm","icm-put-api-icm_sops_alias"
"119","icm","icm-post-api-icm_sops_alias"
"120","icm","icm-get-api-icm_sops"
"121","icm","icm-put-api-icm_sops"
"122","icm","icm-post-api-icm_sops"
"123","icm","icm-put-api-icm_sops-update"
"124","icm","icm-get-api-icm_problem_types"
"125","icm","icm-put-api-icm_problem_types"
"126","icm","icm-post-api-icm_problem_types"
"127","icm","icm-get-api-icm_clusters"
"128","icm","icm-put-api-icm_clusters"
"129","icm","icm-post-api-icm_clusters"
"130","icm","icm-get-api-icmRca"
"131","icm","icm-put-api-icmRca"
"132","icm","icm-post-api-icmRca"
"133","grh","grh-put-api-grh-new-query-"
"134","grh","grh-post-api-grh-new-query-"
"135","exp","exp-put-api-exp-updateArtefact"
"136","exp","exp-get-api-exp-discussions"
"137","exp","exp-put-api-exp-discussions"
"138","exp","exp-post-api-exp-discussions"
"139","exp","exp-get-api-exp-discussion-tags"
"140","exp","exp-put-api-exp-discussion-tags"
"141","exp","exp-post-api-exp-discussion-tags"
"142","exp","exp-get-api-exp-discussion-reactions"
"143","exp","exp-put-api-exp-discussion-reactions"
"144","exp","exp-post-api-exp-discussion-reactions"
"145","exp","exp-get-api-exp-discussion-comments"
"146","exp","exp-put-api-exp-discussion-comments"
"147","exp","exp-post-api-exp-discussion-comments"
"148","exp","exp-get-api-discussion-sharess"
"149","exp","exp-put-api-discussion-sharess"
"150","exp","exp-post-api-discussion-sharess"
"151","dbs","dbs-get-api-dashboard-configurations"
"152","dbs","dbs-put-api-dashboard-configurations"
"153","dbs","dbs-post-api-dashboard-configurations"
"154","cfm","cfm-put-api-configuration-items"
"155","cfm","cfm-post-api-configuration-items"
"156","cfm","cfm-put-api-configuration-item-types"
"157","cfm","cfm-post-api-configuration-item-types"
"158","bcc","bcc-get-api-bcc-svgs"
"159","bcc","bcc-put-api-bcc-svgs"
"160","bcc","bcc-post-api-bcc-svgs"
"161","bcc","bcc-get-api-bcc-svg-elementss"
"162","bcc","bcc-put-api-bcc-svg-elementss"
"163","bcc","bcc-post-api-bcc-svg-elementss"
"164","bcc","bcc-get-api-bcc-svg-dashboard-mappings"
"165","bcc","bcc-put-api-bcc-svg-dashboard-mappings"
"166","bcc","bcc-post-api-bcc-svg-dashboard-mappings"
"167","bcc","bcc-get-api-bcc-svg-ci-mappings"
"168","bcc","bcc-put-api-bcc-svg-ci-mappings"
"169","bcc","bcc-post-api-bcc-svg-ci-mappings"
"170","bcc","bcc-get-api-bcc-metrics-masters"
"171","bcc","bcc-put-api-bcc-metrics-masters"
"172","bcc","bcc-post-api-bcc-metrics-masters"
"173","bjm","bjm-put-api-batch-client-job"
"174","bjm","bjm-post-api-batch-client-job"
"175","bjm","bjm-put-api-batch-client-jobInstanceGroup"
"176","bjm","bjm-put-api-batch-client-job-instance"
"177","bjm","bjm-post-api-batch-client-job-instance"
"178","bjm","bjm-put-api-batch-client-ji-jig-mapping"
"179","bjm","bjm-post-api-batch-client-ji-jig-mapping"
"180","bjm","bjm-put-api-batch-client-ji-ji-mapping"
"181","bjm","bjm-post-api-batch-client-ji-ji-mapping"
"182","sre","sre-get-api-app-txn-availability"
"183","sre","sre-put-api-app-txn-availability"
"184","sre","sre-post-api-app-txn-availability"
"185","usm","usm-put-api-UserProcessMappingByidAndactiveStatus"
"186","common","common-post-api-validate-v2-stream"
"187","common","common-post-api-validate-v2-multipartfile"
"188","common","common-post-api-validate-v2-file"
"189","common","common-post-api-validate-stream"
"190","common","common-post-api-validate-multipartfile"
"191","common","common-post-api-validate-file"
"192","usm","usm-post-api-usm-user-user-list"
"193","usm","usm-post-api-usm-role-role-list"
"194","usm","usm-post-api-usm-role-permissionss-list"
"195","usm","usm-get-api-usm-permission-api"
"196","usm","usm-post-api-usm-permission-api"
"197","usm","usm-post-api-usm-module-organisations-list"
"198","usm","usm-post-api-user-project-roles-user"
"199","usm","usm-post-api-user-project-roles-list"
"200","cip","cip-post-api-transformLoad"
"201","cip","cip-post-api-testDatasources"
"202","svy","svy-post-api-svy-save-query"
"203","svy","svy-post-api-svy-continue-survey"
"204","svy","svy-post-api-submit-answers"
"205","cip","cip-post-api-streamingServices-pipelinesCopyBytargetAndsource"
"206","cip","cip-post-api-sql-updateBytableAndprimarycolumn"
"207","cip","cip-post-api-sql-insertBytable"
"208","usm","usm-post-api-search-usm-portfolios-page"
"209","usm","usm-post-api-search-users-page"
"210","usm","usm-post-api-search-user-project-roles-page"
"211","usm","usm-post-api-search-projects-page"
"212","cip","cip-post-api-schemaRegistry-addBynameStrAndorg"
"213","cip","cip-post-api-schemaRegistry-add-schemaForm"
"214","svy","svy-post-api-save-answers"
"215","cip","cip-post-api-reschedule-schedule"
"216","usm","usm-post-api-registerUser"
"217","dbs","dbs-get-api-proxyBydtypeAnddsrcaliasAnddsetaliasAndorg"
"218","dbs","dbs-post-api-proxyBydtypeAnddsrcaliasAnddsetaliasAndorg"
"219","cip","cip-post-api-pipelinemodels-uploadByfolderAndfileidAndreplaceAndorg"
"220","cip","cip-post-api-pipelinemodels-uploadByfileidAndreplaceAndorg"
"221","cip","cip-post-api-pipelinemodels-save-model"
"222","cip","cip-post-api-pipelinemodels-runBymodelnameAndorg"
"223","cip","cip-post-api-pipelinemodels-run-serverByfileid"
"224","cip","cip-post-api-modeljobs-all"
"225","cip","cip-post-api-metricsjobs-run"
"226","cip","cip-post-api-mashups-add"
"227","cip","cip-post-api-macrobase-rowsBynameAndorg"
"228","cip","cip-post-api-macrobase-rows-multipleBynameAndorg"
"229","cip","cip-post-api-macrobase-rows-fmt"
"230","cip","cip-post-api-macrobase-analyzeBynameAndorg"
"231","cip","cip-post-api-importPipelinesByorg"
"232","icm","icm-post-api-icm_sops-create"
"233","grh","grh-post-api-grh-new-schema-page"
"234","grh","grh-post-api-grh-new-schema-neo4jByprojectIdAndprojectName"
"235","grh","grh-post-api-grh-new-rule-page"
"236","grh","grh-post-api-grh-new-rule-multi-"
"237","grh","grh-post-api-grh-new-rule-"
"238","grh","grh-post-api-grh-new-query-page"
"239","grh","grh-post-api-grh-new-query-fetch-executeByprojectName"
"240","grh","grh-post-api-grh-new-query-executeByprojectNameAndprojectIdAnduserIdAndqueryName"
"241","grh","grh-post-api-grh-new-node-viewnodeproperty-page"
"242","grh","grh-post-api-grh-new-node-removeByprojectIdAnduserId"
