"id","project_id","description","name","permission","project_admin","role_admin"
"1","NULL","Portfolio Manager","IT Portfolio Manager","true","NULL","NULL"
"6","NULL","Admin","Admin","false","NULL","NULL"
"11","NULL","BCC Admin","BCC Admin","true","NULL","NULL"
"86","NULL","Bot Admin","Bot Admin","true","NULL","NULL"
"87","NULL","Bot Developer","Bot Developer","true","NULL","NULL"
"119","NULL","Sandbox User","SBX","true","NULL","NULL"
"120","NULL","Sandbox Dataset Approver","SBX Dataset Approver","true","NULL","NULL"
"121","NULL","Sandbox Experiment Creator","SBX Experiment Creator","true","NULL","NULL"
"122","NULL","Sandbox Admin","SBX Admin","true","NULL","NULL"
"124","NULL","Content Mining","Content Mining","true","NULL","NULL"
"125","NULL","Data Scientist","Data Scientist","true","NULL","NULL"
"126","NULL","Annotation User","Annotation User","false","NULL","NULL"
"127","NULL","Tenant Management User","Tenant Management User","false","NULL","NULL"
"130","NULL","System Admin","System Admin","true","NULL","NULL"
"131","NULL","Team Member","Team Member","true","NULL","NULL"
