"id","permission","role"
"36","6","6"
"37","5","6"
"38","3","6"
"39","4","6"
"40","7","126"
"41","9","126"
"43","8","126"
"51","14","126"
"52","13","126"
"53","12","126"
"54","15","126"
"63","16","6"
"64","15","6"
"65","14","6"
"66","24","6"
"67","18","6"
"68","17","6"
"69","20","6"
"70","19","6"
"71","12","6"
"72","13","6"
"73","11","6"
"74","10","6"
"75","7","6"
"76","8","6"
"77","9","6"
"98","10","4"
"99","7","4"
"100","8","4"
"101","9","4"
"119","16","126"
"123","18","126"
"144","19","126"
"145","20","126"
"146","11","126"
"147","27","126"
"148","26","126"
"149","25","126"

