"id","project_id","description","name","permission","project_admin","role_admin"
"1","NULL","Portfolio Manager","IT Portfolio Manager","true","NULL","NULL"
"2","NULL","Process Lead","Process Lead","true","NULL","NULL"
"3","NULL","Support Engineer","Support Engineer","false","NULL","NULL"
"6","NULL","Admin","Admin","false","NULL","NULL"
"8","NULL","client","Client Manager","false","NULL","NULL"
"11","NULL","BCC Admin","BCC Admin","true","NULL","NULL"
"12","NULL","SRE Performance Manager","SRE Admin","true","NULL","NULL"
"17","NULL","Batch Job Manager","Batch Job Manager","true","NULL","NULL"
"20","NULL","NextGenBigData Admin","NextGenBigData Admin","false","NULL","NULL"
"27","NULL","Sysco role","SE Role","false","NULL","NULL"
"43","NULL","Automation Engineer","Automation Engineer","true","NULL","NULL"
"72","NULL","Support Manager","Support Manager","false","NULL","NULL"
"73","NULL","A portfolio owner having ownership and oversight of multiple business segments/domains","Business Operations Head","false","NULL","NULL"
"74","NULL","A domain/business segment owner responsible for managing End to End business metrics for all sub-segments within the domain","Business Operations Lead","false","NULL","NULL"
"76","NULL","Domain managers on the IT side having ownership of individual domains","IT Domain Lead","false","NULL","NULL"
"77","NULL","IT personnel responsible for looking in-depth into the issues, determining root cause and resolving the issues","IT Analyst","false","NULL","NULL"
"78","NULL","DevOpsTeamAdmin","DevOpsTeamAdmin","false","NULL","NULL"
"79","NULL","Solution Manager","Solution Manager","false","NULL","NULL"
"81","NULL","Automation Manager","Automation Manager","false","NULL","NULL"
"82","NULL","DevOps team member with readonly access to specific dashboards","DevOps Team Member","false","NULL","NULL"
"83","NULL","IT operation Head","IT Operations Head","false","NULL","NULL"
"85","NULL","IT Operations Lead","IT Operations Lead","false","NULL","NULL"
"86","NULL","Bot Admin","Bot Admin","true","NULL","NULL"
"87","NULL","Bot Developer","Bot Developer","true","NULL","NULL"
"119","NULL","Sandbox User","SBX","true","NULL","NULL"
"120","NULL","Sandbox Dataset Approver","SBX Dataset Approver","true","NULL","NULL"
"121","NULL","Sandbox Experiment Creator","SBX Experiment Creator","true","NULL","NULL"
"122","NULL","Sandbox Admin","SBX Admin","true","NULL","NULL"
"88","NULL","Test Engineer","Test Engineer","true","NULL","NULL"
"123","NULL","IT Portfolio Client","IT Portfolio Client","true","NULL","NULL"
"124","NULL","ICMS Team Lead","ICMS Team Lead","true","NULL","NULL"
"125","NULL","ICMS Agent","ICMS Agent","false","NULL","NULL"
"127","NULL","Event Manager","Event Manager","true","NULL","NULL"
