"id","slno","question_id","question","usm_project_id","answer","score","questionnaire_instance_id","last_updated_date","last_updated_by","metric_dimension_id"
"1","1","3246","Are requirements for the enterprise applications clearly documented, well-defined, and understood by the development team?","2","Strongly Agree","5.00","236","2023-09-28","admin","1795"
"2","2","3247","Is there a formal process in place for gathering, analyzing, and managing requirements throughout the development lifecycle?","2","Yes","5.00","236","2023-09-28","admin","1796"
"3","3","3248","Are requirements regularly reviewed and validated with stakeholders to ensure they align with business needs and goals?","2","Reviewed twice in a week","4.00","236","2023-09-28","admin","1797"
"4","4","3249","Is there a systematic approach to designing the architecture and components of the enterprise applications?","2","Excellent","5.00","236","2023-09-28","admin","1798"
"5","5","3250","Are design principles and best practices followed to ensure scalability, maintainability, and reusability of the software?","2","Very Efficient","5.00","236","2023-09-28","admin","1799"
"6","6","3251","Is there a review process in place to evaluate the design decisions and ensure they meet the requirements and align with architectural standards?","2","Reviewed once in a week","3.00","236","2023-09-28","admin","1800"
"7","7","3252","How many lines of code (LOC) on average are authored by each developer per day/week/month?","2","Number of instructions that the code compiles to.","1.00","236","2023-09-28","admin","1801"
"8","8","3253","Is there a coding standard or guidelines in place to maintain consistency and readability of the code?","2","Good","4.00","236","2023-09-28","admin","1802"
"9","9","3254","Are coding best practices followed to ensure code quality, modularity, and maintainability?","2","Strongly Agree","5.00","236","2023-09-28","admin","1803"
"10","10","3255","Is there a comprehensive testing strategy and plan for the enterprise applications?","2","Very Efficient","5.00","236","2023-09-28","admin","1804"
"11","11","3256","Are different types of testing, including unit testing, integration testing, and system testing, conducted during the development process?","2","Only System testing","4.00","236","2023-09-28","admin","1805"
"12","12","3257","Is there a process to track and manage defects found during testing and ensure they are addressed promptly?","2","Efficient","4.00","236","2023-09-28","admin","1806"
"13","13","3258","Is there a defined process for deploying enterprise applications to production environments?","2","Properly defined","4.00","236","2023-09-28","admin","1807"
"14","14","3259","Are monitoring and alerting mechanisms in place to proactively identify and address operational issues in the enterprise applications?","2","Efficient","4.00","236","2023-09-28","admin","1808"
"15","15","3260","Is there a well-defined incident management process to handle and resolve incidents related to the enterprise applications?","2","Efficient","4.00","236","2023-09-28","admin","1809"
"16","1","1286","What % applications use ScrumBan / Kanban for Application Management?","2","0","NULL","229","2023-09-28","admin","770"
"17","2","1287","What % applications use full stack DevOps for Application Management?","2","100","NULL","229","2023-09-28","admin","770"
"18","3","1289","How many applications are in the production environment as of this month?","2","100","NULL","229","2023-09-28","admin","772"
"19","5","1299","What is the average number of incidents  per month based on the last 6 months data?","2","0","NULL","229","2023-09-28","admin","773"
"20","6","1300","What is the average number of service requests  per month, based on the last 6 months data?","2","0","NULL","229","2023-09-28","admin","773"
"21","4","1290","What is the average monthly ticket volume for application management (exclude Infra support tickets) based on the last 6 months data?","2","100","NULL","229","2023-09-28","admin","773"
"22","7","1301","What is the average number of problems tickets  per month, based on the last 6 months data?","2","100","NULL","229","2023-09-28","admin","782"
"23","8","1304","What is the average number of critical and high priority (P1 and P2) tickets per month, based on the last 6 months data?","2","100","NULL","229","2023-09-28","admin","785"
"24","9","1305","What is the average number of FTEs working on Application management based on the last 6 months data?","2","100","NULL","229","2023-09-28","admin","786"
"25","10","1285","What is the operating model structure that closely match from the options","2","0.0","1.00","229","2023-09-28","admin","769"
"26","11","1288","Your support process closely match with which of the options provided?","2","50.0","2.80","229","2023-09-28","admin","771"
"27","12","1308","How do you describe the maturity of Knowledge Management (KM) processes at your organization?","2","0.0","3.00","229","2023-09-28","admin","789"
"28","15","1302","What % of tickets are handled through standard operating procedures and / or run books?","2","40%- 60%","3.00","229","2023-09-28","admin","783"
