"id","metric_id","initiative_id","milestone_id","org_id","usm_project_id","value_lever_id","project_sponsor","business_champion","tech_champion","owner","start_date","end_date","status","priority","target_score","irr","payback_period","npv","roi","name","actual_start_date","actual_end_date","questionnaire_instance_id","tool_id"
"1","3740","4","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-09-30","2023-11-13","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","238","NULL"
"2","3739","5","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-08-15","2023-10-23","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","238","NULL"
"3","3740","6","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-05-15","2023-10-23","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-05-24","NULL","238","NULL"
"4","1561","9","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-09-26","2023-11-29","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-09-28","2023-11-24","236","NULL"
"5","1561","10","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-08-08","2023-11-05","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","NULL","NULL","236","NULL"
"6","1561","11","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-08-14","2023-11-12","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-08-17","NULL","236","NULL"
"7","1537","1","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-09-19","2023-12-18","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-09-25","2023-12-15","235","NULL"
"8","1538","2","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-10-02","2023-12-31","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","NULL","NULL","235","NULL"
"9","1537","16","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-10-02","2023-12-31","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-10-04","NULL","235","NULL"
"13","1059","24","NULL","1","2","44","NULL","NULL","NULL","NULL","2023-09-19","2023-10-24","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve change management using automation and standardization of processes","2023-09-22","2023-10-20","231","NULL"
"14","1057","25","NULL","1","2","44","NULL","NULL","NULL","NULL","2023-08-15","2023-10-17","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve change management using automation and standardization of processes","NULL","NULL","231","NULL"
"15","1055","26","NULL","1","2","44","NULL","NULL","NULL","NULL","2023-09-19","2023-10-24","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve change management using automation and standardization of processes","2023-09-26","NULL","231","NULL"
"16","709","3","NULL","1","2","122","NULL","NULL","NULL","NULL","2023-09-04","2024-01-16","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve performance, security, availability","2023-09-08","2024-01-05","228","NULL"
"17","3747","29","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-10-31","2023-11-29","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","NULL","NULL","238","NULL"
"18","3743","30","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-11-26","2023-11-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-11-30","NULL","238","NULL"
"19","3746","31","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-11-04","2023-11-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-11-09","NULL","238","NULL"
"20","3750","32","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-10-31","2023-11-29","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-11-02","2023-11-28","238","NULL"
"21","3742","33","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-10-31","2023-11-29","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-11-09","2023-11-29","238","NULL"
"22","3742","34","NULL","1","2","58","NULL","NULL","NULL","NULL","2023-10-31","2023-11-29","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Optimize Processes, applications, services","2023-11-07","2023-11-21","238","NULL"
"23","1567","35","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-20","2024-02-18","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","NULL","NULL","236","NULL"
"24","1567","36","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","NULL","NULL","236","NULL"
"25","1567","37","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-21","2024-02-19","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","NULL","NULL","236","NULL"
"26","1567","38","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-19","2024-02-17","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-30","NULL","236","NULL"
"27","1557","39","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-19","2024-02-17","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-22","NULL","236","NULL"
"28","1557","40","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-15","2024-02-02","236","NULL"
"29","1555","41","NULL","1","2","59","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Increase the usage of AI/ML and automation","2023-11-22","2024-02-08","236","NULL"
"30","1542","44","NULL","1","2","127","NULL","NULL","NULL","NULL","2023-11-14","2024-02-12","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Reduce cycle time","NULL","NULL","235","NULL"
"31","1538","17","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-11-06","2024-02-04","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","NULL","NULL","235","NULL"
"32","1539","18","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-11-14","2024-02-12","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","NULL","NULL","235","NULL"
"33","1538","42","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-11-15","NULL","235","NULL"
"34","1541","43","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-10-31","2024-01-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-11-06","NULL","235","NULL"
"35","1541","45","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-10-31","2024-01-29","In Progress","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-11-02","NULL","235","NULL"
"36","1511","46","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-11-28","2024-02-26","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-12-01","2024-02-21","235","NULL"
"37","1543","47","NULL","1","2","129","NULL","NULL","NULL","NULL","2023-11-13","2024-02-11","Completed","NULL","NULL","NULL","NULL","NULL","NULL","Improve productivity","2023-11-15","2024-02-05","235","NULL"
"38","1043","59","NULL","1","2","65","NULL","NULL","NULL","NULL","2023-11-14","2023-12-06","Pending","NULL","NULL","NULL","NULL","NULL","NULL","Increase usage of Self service and chatbots","NULL","NULL","231","NULL"
