"id","questionaire_id","usm_project_id","questionnaire_status","project_name","quarter","year","user_id","use_case","last_updated_date","approval_date","approved_rejected","approval_remarks"
"225","133","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"226","143","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"227","144","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"228","133","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"229","143","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"230","144","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"231","150","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"232","150","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"233","167","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"234","168","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"235","167","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"236","168","2","Saved","leo1311","1","2023","NULL","NULL","2023-11-28","NULL","NULL","NULL"
"237","175","1","Started","Core","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"238","175","2","Submitted","leo1311","1","2023","NULL","NULL","NULL","NULL","NULL","NULL"
"239","143","2","Saved","leo1311","3","2023","NULL","NULL","2023-11-28","NULL","NULL","NULL"
"240","144","2","Submitted","leo1311","3","2023","6","NULL","2023-11-28","NULL","NULL","NULL"
"241","133","2","Submitted","leo1311","3","2023","6","NULL","2023-11-28","NULL","NULL","NULL"
"242","150","2","Saved","leo1311","3","2023","NULL","NULL","2023-11-28","NULL","NULL","NULL"
"243","167","2","Submitted","leo1311","3","2023","6","NULL","2023-11-28","NULL","NULL","NULL"
"244","168","2","Submitted","leo1311","3","2023","6","NULL","2023-11-28","NULL","NULL","NULL"
"245","175","2","Submitted","leo1311","3","2023","6","NULL","2023-11-28","NULL","NULL","NULL"
