id,usm_project_id,level,level_text,score_min,score_max,questionnaire_id
1,1,1,Minimun,0,1.65,144
2,1,2,Limited,1.66,2.75,144
3,1,3,High,2.76,3.85,144
4,1,4,Unacceptable,3.86,5,144
5,1,1,Initial,0,2.49,150
6,1,2,Managed,2.5,3.49,150
7,1,3,Defined,3.5,4.49,150
8,1,4,Transformed,4.5,4.99,150
9,1,5,Best in class,5,5,150
10,1,0,Initial,0,1,143
11,1,1,Point,1.01,2,143
12,1,2,Platform,2.01,3,143
13,1,3,Cognitive,3.01,4,143
14,1,4,Autonomous,4.01,4.8,143
15,1,5,Business-Centric,4.81,5,143
"109","2","1","Standardized","0","1","150"
"110","2","2","Optimized","1.01","2","150"
"111","2","3","Automated","2.01","3","150"
"112","2","4","Cognitive","3.01","4","150"
"113","2","5","Business-Centric","4.01","5","150"
"465","2","1","Point","0.0","1.25","168"
"466","2","2","Platform","1.26","2.5","168"
"467","2","3","Cognitive","2.51","3.25","168"
"468","2","4","Autonomous","3.26","5.0","168"
461,2,1,Watcher,1.0,1.5,167
462,2,2,Explorer,1.51,2.5,167
463,2,3,Performer,2.51,3.5,167
464,2,4,Visionary,3.51,4.0,167
"16",2,"1","Point","0.0","1.0","133"
"17",2,"2","Platform","1.01","2.0","133"
"18",2,"3","Cognitive","2.01","3.0","133"
"19",2,"4","Autonomous","3.01","4.0","133"
"20",2,"5","Business-Centric","4.01","5.0","133"
"456","1","1","Point","0.0","1.0","133"
"457","1","2","Platform","1.01","2.0","133"
"458","1","3","Cognitive","2.01","3.0","133"
"459","1","4","Autonomous","3.01","4.0","133"
"460","1","5","Business-Centric","4.01","5.0","133"
"512",2,"1","Watcher","0.0","1.0","175"
"513",2,"2","Explorer","1.0","2.0","175"
"514",2,"3","Performer","2.0","3.5","175"
"515",2,"4","Visionary","3.51","5.0","175"
