"id","metric_id","business_impact","priority","baseline_value","baseline_date","transformation_scope_id","transformation_scope_name","dimension_id","questionnaire_instance_id","project_id","geo_id","geo_name","country_id","country_name","region_id","region_name","last_updated_date","last_updated_by"
"1","1555","NULL","NULL","5.0","2023-09-28","NULL","NULL","3733","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","1556","NULL","NULL","5.0","2023-09-28","NULL","NULL","3733","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","1557","NULL","NULL","4.0","2023-09-28","NULL","NULL","3733","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","1558","NULL","NULL","5.0","2023-09-28","NULL","NULL","3734","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","1559","NULL","NULL","5.0","2023-09-28","NULL","NULL","3734","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","1560","NULL","NULL","3.0","2023-09-28","NULL","NULL","3734","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","1561","NULL","NULL","1.0","2023-09-28","NULL","NULL","3735","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","1562","NULL","NULL","4.0","2023-09-28","NULL","NULL","3735","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","1563","NULL","NULL","5.0","2023-09-28","NULL","NULL","3735","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10","1564","NULL","NULL","5.0","2023-09-28","NULL","NULL","3736","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11","1565","NULL","NULL","4.0","2023-09-28","NULL","NULL","3736","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","1566","NULL","NULL","4.0","2023-09-28","NULL","NULL","3736","236","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
