"name","schemaA","schemaB","schema_relation","relationship_template","organization","lastmodifiedby","alias","lastmodifieddate"
"ChildConfigItem","ConfigItemRelation","ConfigItem","{""pCol"":[""ChildId""],""cCol"":[""cmdb_ci_sys_id""]}","NULL","leo1311","admin","ChildConfigItem","2023-08-28T11:42:29.732"
"ParentConfigItem","ConfigItem","ConfigItemRelation","{""pCol"":[""cmdb_ci_sys_id""],""cCol"":[""ParentId""]}","NULL","leo1311","admin","ParentConfigItem","2023-08-28T11:44:50.498"
"Destinationwarehousemapping","DestinationPort","Destinationwarehousemapping","{""pCol"":[""ArrivalPort""],""cCol"":[""ArrivalPort""]}","NULL","leo1311","admin","Destinationwarehousemapping","2023-08-28T11:44:50.498"
"MappingDestinationwarehouse","Destinationwarehousemapping","Warehouse","{""pCol"":[""WH_Address""],""cCol"":[""WH_Address""]}","NULL","leo1311","admin","MappingDestinationwarehouse","2023-08-28T11:44:50.498"
"Origincarriermapping","OriginPort","Origincarriermapping","{""pCol"":[""OriginPort""],""cCol"":[""OriginPort""]}","NULL","leo1311","admin","Origincarriermapping","2023-08-28T11:44:50.498"
"MappingOrigincarrier","Origincarriermapping","Carrier","{""pCol"":[""CarrierName""],""cCol"":[""CarrierName""]}","NULL","leo1311","admin","MappingOrigincarrier","2023-08-28T11:44:50.498"
"JobtoinstanceMapping","Job","jobtoinstancemapping","{""pCol"":[""uniqueId""],""cCol"":[""jobId""]}","NULL","leo1311","admin","JobtoinstanceMapping","2024-08-16T10:23:05.474"
"Jobinstancemappingtojobinstance","jobtoinstancemapping","JobInstance","{""pCol"":[""jobInstanceId""],""cCol"":[""uniqueId""]}","NULL","leo1311","admin","Jobinstancemappingtojobinstance","2024-08-16T10:23:33.295"
"grouptogroupjobinstancemapping","Group","instancetoGroupMapping","{""pCol"":[""uniqueId""],""cCol"":[""groupId""]}","NULL","leo1311","admin","grouptogroupjobinstancemapping","2024-08-16T10:23:49.897"
"groupjobinstancemappingtojobinstance","instancetoGroupMapping","JobInstance","{""pCol"":[""jobInstanceId""],""cCol"":[""uniqueId""]}","NULL","leo1311","admin","groupjobinstancemappingtojobinstance","2024-08-16T10:24:12.094"
