"id","selector_param","workflow_state","workflow_status","time","workflow_type_id","workflow_id","event_id","event_type_id","event_status"
"1243669","Req-01","START","START","2024-10-01T06:29:08","42","315883","1244225","186","COMPLETE"
"1243670","Req-01","START","INPROGRESS","2024-10-01T06:29:13","42","315883","1244226","187","COMPLETE"
"1243671","Req-01","START","INPROGRESS","2024-10-01T06:29:18","42","315883","1244227","188","COMPLETE"
"1243672","Req-01","START","INPROGRESS","2024-10-01T06:29:21","42","315883","1244228","189","COMPLETE"
"1243673","Req-01","START","INPROGRESS","2024-10-01T06:29:28","42","315883","1244229","190","COMPLETE"
"1243674","Req-01","COMPLETE","COMPLETE","2024-10-01T06:29:35","42","315883","1244230","191","SUCCESS"
"1243675","Req-02","START","START","2024-10-01T06:30:44","42","315884","1244231","186","COMPLETE"
"1243676","Req-02","START","INPROGRESS","2024-10-01T06:30:48","42","315884","1244232","187","COMPLETE"
"1243677","Req-02","START","INPROGRESS","2024-10-01T06:30:55","42","315884","1244233","188","COMPLETE"
"1243678","Req-02","START","INPROGRESS","2024-10-01T06:31:01","42","315884","1244234","189","COMPLETE"
"1243679","Req-02","START","INPROGRESS","2024-10-01T06:31:08","42","315884","1244235","190","COMPLETE"
"1243680","Req-02","COMPLETE","COMPLETE","2024-10-01T06:31:15","42","315884","1244236","191","SUCCESS"
"1243681","Req-03","START","START","2024-10-01T06:31:54","42","315885","1244237","186","COMPLETE"
"1243682","Req-03","START","INPROGRESS","2024-10-01T06:31:57","42","315885","1244238","187","COMPLETE"
"1243683","Req-03","START","INPROGRESS","2024-10-01T06:32:05","42","315885","1244239","188","COMPLETE"
"1243684","Req-03","START","INPROGRESS","2024-10-01T06:32:10","42","315885","1244240","189","COMPLETE"
"1243685","Req-03","START","INPROGRESS","2024-10-01T06:32:16","42","315885","1244241","190","COMPLETE"
"1243686","Req-03","COMPLETE","COMPLETE","2024-10-01T06:32:21","42","315885","1244242","191","SUCCESS"
"1243733","req-103","START","START","2024-10-01T07:34:06","42","315893","1244289","186","COMPLETE"
