metric_id,value_lever_id
684,116
685,59
686,62
687,52
688,48
689,67
690,122
691,67
692,60
693,58
694,116
695,59
696,62
697,52
698,48
699,67
700,122
701,67
702,60
703,58
704,116
705,59
706,62
707,52
708,48
709,67
710,122
711,67
712,60
713,58
714,116
715,59
716,62
717,52
718,48
719,67
720,122
721,67
722,60
723,58
724,116
725,59
726,62
727,52
728,48
729,67
730,122
731,116
732,59
733,62
734,52
735,48
736,67
737,122
738,67
739,60
740,58
741,116
742,59
743,62
744,52
745,48
746,67
747,122
748,67
749,60
750,58
751,116
752,59
753,62
754,52
755,48
756,67
757,122
758,67
759,60
760,58
886,62
887,60
888,59
889,59
890,59
891,63
892,67
893,48
894,31
895,31
896,65
897,63
898,NULL
899,65
900,59
901,61
902,59
903,58
904,62
905,61
906,59
907,58
908,61
909,59
1010,60
1011,60
1012,60
1013,22
1014,22
1015,22
1016,67
1017,67
1018,67
1019,62
1020,62
1021,62
1023,62
1024,22
1025,22
1026,67
1027,59
1028,60
1029,60
1030,60
1031,60
1032,19
1033,62
1034,62
1035,62
1036,58
1037,62
1038,66
1039,60
1040,59
1041,65
1042,59
1043,65
1044,65
1045,59
1046,59
1047,59
1048,65
1049,65
1050,59
1051,59
1052,65
1053,65
1054,44
1055,44
1056,44
1057,44
1058,44
1059,44
1060,44
1061,44
1062,44
1063,44
1064,44
1065,44
1066,44
1067,59
1068,59
1069,31
1070,31
1071,62
1155,63
1217,59
1218,65
1264,54
1265,54
1266,54
1267,54
1268,54
1269,54
1270,54
1272,53
1273,53
1274,53
1275,53
1276,53
1277,53
1278,53
1279,53
1280,52
1281,52
1282,52
1283,52
1284,53
1285,53
1286,53
1287,53
1288,52
1289,52
1290,52
1291,52
1292,55
1293,55
1294,55
1295,55
1296,55
1297,55
1298,55
1299,55
1300,55
1301,55
1302,47
1303,47
1304,47
1305,47
1306,12
1307,12
1308,12
1309,12
1310,12
1311,12
1312,12
1313,12
1314,12
1316,12
1317,12
1318,12
1319,12
1321,12
1322,12
1323,12
1324,12
1326,12
1327,12
1328,12
1329,12
1330,52
1331,52
1332,52
1333,52
1334,52
1335,52
1336,52
1337,52
1338,53
1339,53
1340,53
1341,53
1342,54
1343,54
1344,54
1345,54
1346,53
1347,53
1348,53
1349,53
1350,52
1351,52
1352,52
1353,52
1354,54
1355,54
1356,54
1357,54
1358,54
1362,54
1363,54
1364,54
1365,54
1366,53
1367,53
1368,53
1369,53
1370,53
1372,53
1373,53
1374,52
1375,52
1376,52
1377,52
1507,127
1508,127
1509,128
1510,130
1511,129
1512,129
1513,131
1514,127
1515,132
1516,128
1517,129
1518,129
1519,129
1520,129
1521,129
1522,129
1523,127
1524,127
1525,127
1526,127
1527,127
1528,127
1529,127
1530,127
1531,127
1532,127
1533,129
1534,131
1535,129
1536,129
1537,129
1538,129
1539,129
1540,129
1541,129
1542,127
1543,129
1544,129
1545,129
1546,129
1547,130
1548,129
1549,127
1550,129
1551,129
1552,127
1553,129
1554,130
1555,59
1556,59
1557,59
1558,59
1559,59
1560,59
1561,59
1562,59
1563,59
1564,59
1565,59
1566,59
1567,59
1568,59
1569,59
2631,137
2632,137
2633,137
2634,137
2635,137
2636,137
2637,137
2639,53
2640,53
2641,53
2642,53
2643,53
2644,53
2645,53
2646,53
2647,52
2648,52
2649,52
2650,52
2651,53
2652,53
2653,53
2654,53
2655,52
2656,52
2657,52
2658,52
2659,55
2660,55
2661,55
2662,55
2663,55
2664,55
2665,55
2666,55
2667,55
2668,55
2669,55
2670,55
2671,55
2672,47
2673,47
2674,47
2675,47
2676,12
2677,12
2678,12
2679,12
2680,12
2681,12
2682,12
2683,12
2684,12
2686,12
2687,12
2688,12
2689,12
2691,12
2692,12
2693,12
2694,12
2696,12
2697,12
2698,12
2699,12
2700,52
2701,52
2702,52
2703,52
2704,52
2705,52
2706,52
2707,52
2708,53
2709,53
2710,53
2711,53
2712,137
2713,137
2714,137
2715,137
2720,52
2721,52
2722,52
2723,52
2724,137
2725,137
2726,137
2727,137
2728,137
2732,137
2733,137
2734,137
2735,137
2736,53
2737,53
2738,53
2739,53
2740,53
2741,53
2742,53
2743,53
2744,52
2745,52
2746,52
2747,52
3736,58
3737,58
3738,58
3739,58
3740,58
3741,58
3742,58
3743,58
3744,58
3745,58
3746,58
3747,58
3748,58
3749,58
3750,58
3751,58
3753,58
3754,58
3755,58
3756,13
3757,13
3758,13
3759,13
3760,13
3761,13
3762,13
3763,13
