"id","project_id","color_type","colour","dataset_name","datasource_name","y_axis","chart_type","widget_id","isThreshold","referenceConfigurations"
"221501",2,"dynamic","","LEOSTSWS88626","LEOLPDML59680","0","10","213878",NULL,NULL
"221502",2,"dynamic","","LEOPRTYW85111","LEOLPDML59680","0","10","213879",NULL,NULL
"221503","2","dynamic","","LEOUSRWS28116","LEOLPDML59680","0","2","213880",NULL,NULL
"221504",2,"dynamic","","LEOUSRWS28116","LEOLPDML59680","0","2","213881",NULL,NULL
"221505",2,"dynamic","","LEOSRCWS85889","LEOLPDML59680","0","3","213882",NULL,NULL
"221506",2,"dynamic","","LEOCTGRY90218","LEOLPDML59680","0","10","213883",NULL,NULL
"221507",2,"dynamic","","LEOSBCTG76097","LEOLPDML59680","0","10","213884",NULL,NULL
"221508",2,"dynamic","","LEOPRCSW81479","LEOLPDML59680","0","10","213885",NULL,NULL
"221509","2","dynamic","","LEOUSRWS28116","LEOLPDML59680","0","2","213886",NULL,NULL
"221510","2","dynamic","","LEOPRCSW81479","LEOLPDML59680","0","10","213887",NULL,NULL
"221085",2,"dynamic","","LEODLYCS35387","LEOLPDML59680",NULL,"1","213563",NULL,NULL
"221086",2,"dynamic","","LEODLYCS35387","LEOLPDML59680","0","2","213564",NULL,NULL
"221087",2,"dynamic","","LEODLYCM55490","LEOLPDML59680","0","2","213565",NULL,NULL
"221088",2,"dynamic","","LEOSTSFC12308","LEOLPDML59680","0","19","213566",NULL,NULL
"221089",2,"dynamic","","LEOCSBYG52637","LEOLPDML59680","0","19","213567",NULL,NULL
