"id","ci_id","ci_name","display_name","ci_type","apm_type","ci_status","os_type","cpu_cores","ip_address","application_type","service_type","technology_type","ci_host_group","ci_last_updated","project_id"
"1","5811","AD-Air-Leap","NULL","Application","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"2","214839","api-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"3","214857","approval-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"4","214835","auth-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"5","214836","booking-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"6","214834","caching-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"7","214840","customer-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"8","214838","flight-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"9","214843","fraud-check","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"10","215100","kafka","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"11","214837","offer-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"12","214864","sap-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"13","214856","search-api","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"14","214863","ticket-services","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"15","214833","web-api","NULL","Service","AppD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2"
"16","6885769","web-api--2","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","web-api","NULL","214833","NULL","2"
"17","6885423","caching-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","caching-services","NULL","214834","NULL","2"
"18","6885424","kafka--2","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","kafka","NULL","215100","NULL","2"
"19","7888439","auth-services--2","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","auth-services","NULL","214835","NULL","2"
"20","6987206","booking-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","booking-services","NULL","214836","NULL","2"
"21","6885776","offer-services--2","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","offer-services","NULL","214837","NULL","2"
"22","6885425","flight-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","flight-services","NULL","214838","NULL","2"
"23","3503676","api-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","api-services","NULL","214839","NULL","2"
"24","6885781","customer-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","customer-services","NULL","214840","NULL","2"
"25","6885768","fraud-check--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","fraud-check","NULL","214843","NULL","2"
"26","6885774","search-api--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","search-api","NULL","214856","NULL","2"
"27","6885783","approval-services--2","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","approval-services","NULL","214857","NULL","2"
"28","6987245","ticket-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","ticket-services","NULL","214863","NULL","2"
"29","3503675","sap-services--1","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","sap-services","NULL","214864","NULL","2"
"30","6885770","web-api--4","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","web-api","NULL","214833","NULL","2"
"31","3503677","api-services--4","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","api-services","NULL","214839","NULL","2"
"32","3503677","api-services--6","NULL","Host","AppD","NULL","NULL","NULL","NULL","NULL","api-services","NULL","214839","NULL","2"
"59","NULL","HOST-278AD07CBB0A4DAE","essedum1312-latest-test1-5f454d8d4f-zbgxk","Host","DT","Available","LINUX","32","10.42.3.123","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"60","NULL","HOST-34017CC3A309A09D","essedum1312-latest-test1-64947dd874-jfczx","Host","DT","Available","LINUX","32","10.42.3.99","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"61","93430","HOST-3C12499C638B290B","LEAP QA 4202","Host","DT","Available","WINDOWS","16","10.217.10.236","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"62","NULL","HOST-3D320C9E82092AE1","essedum1312-latest-test1-5cfbc8cf44-l726k","Host","DT","Available","LINUX","32","10.42.3.129","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"63","NULL","HOST-4A5CCB7A6A2BC66B","essedum1312-latest-test1-77479bd95c-sfrxt","Host","DT","Available","LINUX","32","10.42.3.130","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"64","NULL","HOST-54DB624ACAD16F10","essedum1312-latest-test1-c69d4cb96-vtgb4","Host","DT","Available","LINUX","32","10.42.3.91","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"65","93431","HOST-5BF348A8D09E2757","Akash VM VICTLPTST-16","Host","DT","Available","WINDOWS","2","10.183.192.239","NULL","NULL","NULL","Others","2022-04-01T10:59:12","2"
"66","NULL","HOST-79F748D480A3B74D","essedum1312-latest-test1-6bd9f7c446-gngl9","Host","DT","Available","LINUX","32","10.42.3.80","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"67","NULL","HOST-9D77A1C576F23855","essedum1312-latest-test1-fdc56666-psmh6","Host","DT","Available","LINUX","32","10.42.3.115","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"68","NULL","HOST-A5EEDD0D2CDE0A32","essedum1312-latest-test1-65558ff648-j2nwg","Host","DT","Available","LINUX","32","10.42.3.121","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"69","NULL","HOST-D737747B6CFC61BE","essedum1312-latest-test1-fdc56666-w6mh7","Host","DT","Available","LINUX","32","10.42.3.114","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"70","93433","HOST-E157615BDEE56704","LEAP - Load Test Env","Host","DT","Available","WINDOWS","16","10.85.12.130","NULL","NULL","NULL","HOST_GROUP-9B76D0189F7B3CB4","2022-03-31T10:59:12","2"
"71","NULL","HOST-E2FBDD4BB96190AF","essedum1312-latest-test1-7ddfc875b8-4mph2","Host","DT","Available","LINUX","32","10.42.3.124","NULL","NULL","NULL","Others","2022-03-31T10:59:12","2"
"72","93435","HOST-EDD5A35540A197F2","CHNHCILEAPDB02.ad.infosys.com(LEAP3)","Host","DT","Available","WINDOWS","16","10.85.12.134","NULL","NULL","NULL","HOST_GROUP-121EB93646D90354","2022-03-31T10:59:12","2"
"73","NULL","HOST-EF1D61CE5E3A662A","essedum1312-latest-test1-6477dbf6cd-gqcx7","Host","DT","Available","LINUX","32","10.42.3.125","NULL","NULL","NULL","HOST_GROUP-453200F3FE7D2670","2022-03-31T10:59:12","2"
"74","NULL","SERVICE-001120FD6F188A93","ICIPDatasourceController","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","HOST_GROUP-453200F3FE7D2670","2022-03-31T10:59:45","2"
"75","NULL","SERVICE-02510E1875E27D56","DSTResource","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","HOST_GROUP-121EB93646D90354","2022-03-31T10:59:45","2"
"76","NULL","SERVICE-04E3C541522C31FF","BccConfigurationItemResource","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","Others","2022-03-31T10:59:45","2"
"77","93436","SERVICE-0C1F151F616ED8D4","ICIPGroupsController","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","Others","2022-03-31T10:59:45","2"
"78","NULL","SERVICE-0E3153847C8B11D0","ICIPPipelineController","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","Others","2022-03-31T10:59:45","2"
"79","93437","SERVICE-0F425E727616D60A","ThemeResource","Service","DT","Available","NULL","NULL","NULL","NULL","WEB_SERVICE","Java","Others","2022-03-31T10:59:45","2"
"80","NULL","SERVICE-105AF7A7FA4560BA","NextgenLifeInsurance","Service","DT","Available","NULL","NULL","NULL","NULL","DATABASE_SERVICE","MySQL","Others","2022-03-31T10:59:45","2"
