"uid","project_id","job_name","order_id","failure_threshold","color_class","caption","description","time_zone","predicted_duration","predicted_duration_unit","avg_start_time","source_job_id","source_job_name","tag3","job_extra1","job_extra2","job_extra3","job_extra4","job_extra5","job_extra6","job_extra7","job_extra8","job_extra9","job_extra10","source_name"
"678abcde-898a-4cd9-8aae-99a1943b2ebf","2","JbY1","NULL","NULL","NULL","JbY1","JbY1 description","+05:30","61","Minute","NULL","JbY1Id","JbY1_JbY1Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"678abcde-898a-4cd9-8aae-99a1943b2ecf","2","JbY2","NULL","NULL","NULL","JbY2","JbY2 description","+05:30","63","Minute","NULL","JbY2Id","JbY2_JbY2Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"dddd728e-fd2c-4a1c-8a10-ffd84ed1603c","2","JbY3","NULL","NULL","NULL","JbY3","JbY3 description","+05:30","62","Minute","NULL","JbY3Id","JbY3_JbY3Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"dddd728e-fd2c-4a1c-8a10-ffd84ed1603d","2","JbY4","NULL","NULL","NULL","JbY4","JbY4 description","+05:30","59","Minute","NULL","JbY4Id","JbY4_JbY4Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"dddd728e-fd2c-4a1c-8a10-ffd84ed1603e","2","JobX1","NULL","NULL","NULL","JobX1","JobX1 description","+05:30","60","Minute","NULL","JobX1Id","JobX1_JobX1Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"234c2416-e7f2-47bf-afdc-03645b3a98ab","2","JobX2","NULL","NULL","NULL","JobX2","JobX2 description","+05:30","64","Minute","NULL","JobX2Id","JobX2_JobX2Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"234c6416-e7f2-47bf-afdc-03645b3a98ac","2","JobX3","NULL","NULL","NULL","JobX3","JobX3 description","+05:30","60","Minute","NULL","JobX3Id","JobX3_JobX3Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"234c2416-e7f2-47bf-afdc-03645b3a98ad","2","JobX4","NULL","NULL","NULL","JobX4","JobX4 description","+05:30","62","Minute","NULL","JobX4Id","JobX4_JobX4Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"234c2416-e7f2-47bf-afdc-03645b3a98ae","2","JobX5","NULL","NULL","NULL","JobX5","JobX5 description","+05:30","63","Minute","NULL","JobX5Id","JobX5_JobX5Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
"234c2416-e7f2-47bf-afdc-03645b3a98af","2","JobX6","NULL","NULL","NULL","JobX6","JobX6 description","+05:30","61","Minute","NULL","JobX6Id","JobX6_JobX6Id","NULL","JE1","JE2","JE3","JE4","JE5","JE6","JE7","JE8","JE9","JE10","ibmWorkscheduler"
