ConfigId,AppName,ConfigName,ConfigVal,ProjectId,IsEncrypt,InstanceName,ConfigDescription
1,API,Frequency,5,NULL,FALSE,NULL,
2,API,useSQL,FALSE,NULL,FALSE,NULL,
3,API,CollectionPrefix,cap,NULL,FALSE,NULL,
4,API,UseUsmTables,TRUE,NULL,FALSE,NULL,
5,API,TakeScreenShots,"RESOLVER,Standard",NULL,FALSE,NULL,
6,API,TriggeredFromIAMP,TRUE,NULL,FALSE,NULL,
7,API,IncidentChartDefaultSetLast_N_Days,30,NULL,FALSE,NULL,
8,API,HeatMapDataNdays,30,NULL,FALSE,NULL,
9,API,ScriptFolderPath,\\placeholder,NULL,FALSE,NULL,
10,API,DownloadFilePath,\\placeholder,NULL,FALSE,NULL,
11,API,RelevantDownloadUrl,http://victadpst-07:3800/videoanomaly/,NULL,FALSE,NULL,
12,API,LogFolderPath,,NULL,FALSE,NULL,
13,API,LogToFile,FALSE,NULL,FALSE,NULL,
14,API,VAStatusTimer,3,NULL,FALSE,NULL,
15,API,BlockedCategoryRetryCount,3,NULL,FALSE,NULL,
16,API,IsAssetStoreIntegrated,FALSE,NULL,FALSE,NULL,
17,API,HashiCorpBaseUrl,http://localhost:8200/,NULL,FALSE,NULL,
18,API,GamificationIntegration:IsIntegrated,FALSE,NULL,FALSE,NULL,
19,API,GamificationIntegration:ApplicationId,53183,NULL,FALSE,NULL,
20,API,GamificationIntegration:TokenNo,2EU3Z576AA,NULL,FALSE,NULL,
21,API,GamificationIntegration:API,http://localhost,NULL,FALSE,NULL,
22,API,GamificationIntegration:CreatedActivityId,73766,NULL,FALSE,NULL,
23,API,GamificationIntegration:ResolvedActivityId,73767,NULL,FALSE,NULL,
24,API,GamificationIntegration:ReopenedActivityId,73768,NULL,FALSE,NULL,
25,API,GamificationIntegration:AutoRegisterUser,TRUE,NULL,FALSE,NULL,
26,API,GamificationIntegration:AutoRegisterPortfolio,leo1311,NULL,FALSE,NULL,
27,API,GamificationIntegration:AutoRegisterRole,User,NULL,FALSE,NULL,
28,API,GamificationIntegration:AutoRegisterUserPassword,ZTLiPW70rwTT/6VoFmw0zg==,NULL,FALSE,NULL,
29,API,SendEmailNotification:SmtpServer,172.21.5.10,NULL,FALSE,NULL,
30,API,SendEmailNotification:SmtpPort,25,NULL,FALSE,NULL,
31,API,SendEmailNotification:FromEmailId,rahul.singhal01@lfn.com,NULL,FALSE,NULL,
32,API,SendEmailNotification:EncryptedPsw,CE94Uypj+7U0dRvmPx7Tnw==,NULL,FALSE,NULL,
33,API,SendEmailNotification:Subject, ,NULL,FALSE,NULL,
34,API,SendEmailNotification:Body, ,NULL,FALSE,NULL,
35,API,RewriteUrl,apicapi?query,NULL,FALSE,NULL,
36,API,LoggingType,ERROR,NULL,FALSE,NULL,
37,API,ConsecutiveTransactions,2,NULL,FALSE,NULL,
38,API,SchedulerConfig,TRUE,NULL,FALSE,NULL,
39,API,IsIAMPIntegrated,TRUE,NULL,FALSE,NULL,
40,API,WorkflowBinarySettings:OldVersionsToKeep,3,NULL,FALSE,NULL,
41,API,WorkflowBinarySettings:BackupBeforeDelete,TRUE,NULL,FALSE,NULL,
42,API,WorkflowBinarySettings:BackupPath,\\placeholder,NULL,FALSE,NULL,
43,Generic,WebAPI,http://localhost,NULL,FALSE,NULL,
44,Generic,ConnString,442C2Ih43hJzgFHe32H3S+ZcLyOlEam8UwXTStPlriD/d+eRGWis+L60+5KHl4fC3mM0HEbsU+laKOXO19tKSrFFQ3PInOb2y0QGkp8NO3P0io+4O6NPTSE+hAkLeRQt5dksDV4lAN8crqcm4RrAiN8KcwHBjIesbx25DGXVxk5Sf+O1mF1i/gp5FR4pWGx12aY/2XCh/CNi+MJBmIif8g==,NULL,FALSE,NULL,
45,Generic,UseSQLServer,FALSE,NULL,FALSE,NULL,
46,Generic,EnableAllLogs,TRUE,NULL,FALSE,NULL,
47,Generic,IECPUrl,http://localhost/,NULL,FALSE,NULL,
48,Generic,TesseractWebAPIURL,http://localhost/,NULL,FALSE,NULL,
49,Generic,EnableConsoleLogs,TRUE,NULL,FALSE,NULL,
51,Generic,CollectionPrefix,cap,NULL,FALSE,NULL,
52,capagent,ProbeMonitoring,FALSE,NULL,FALSE,NULL,Boolean value to check if probe monitoring is enabled. Set to true when running SRE probes and set it to false when running ECR or standard workflows. If set to true workflows will not run on schedules added from CAP page.
53,capagent,ScreenshotValidity,30,NULL,FALSE,NULL,Validity of screenshots in days.
55,capagent,FileLog,TRUE,NULL,FALSE,NULL,"If set to true, Logs of that Bot/Virtual Agent will be logged in a file."
57,capagent,SleepTime,5000,NULL,FALSE,NULL,Sleep Time in mili seconds
58,capagent,BotScreenShotMode,File,NULL,FALSE,NULL,"	Type in which agent screenshot is saved. If set to �api�, screenshots will be saved in the DB via ICAP API."
59,capagent,BotScreenShotThresholdDays,7,NULL,FALSE,NULL,Bot screen shot validity for past number of days that will be kept.
61,capworkflowexecution,WFCancelCheckTimeInSeconds,7,NULL,FALSE,NULL,
62,capworkflowexecution,PassWFRunExeID,TRUE,NULL,FALSE,NULL,
