"Workflow_Output_ID","Workflow_Run_Execution_ID","Rec_Act_Ind","Last_Updated_Dts","Rec_Created_Dts","Node_ID","Activity_Name","Activity_Status","Activity_Variables","Activity_Sequence_Number","Activity_Instance_ID","Activity_ID","Activity_Parent_ID","Activity_Message","Executing_Agent_ID","Time_Taken","Agent_Node_Mapping_ID"
"1","232","true","2021-05-25T20:45:14","2021-05-25T20:45:08","3","DynamicActivity","Success","","1","1","0","0","","NULL","NULL","8"
"2","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","If","Success","","17","17","0","15","","NULL","NULL","8"
"3","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Assign","Success","","16","16","0","15","","NULL","NULL","8"
"4","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Sequence","Success","","15","15","0","14","","NULL","NULL","8"
"5","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","If","Success","","14","14","0","12","","NULL","NULL","8"
"6","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Assign","Success","","13","13","0","12","","NULL","NULL","8"
"7","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Sequence","Success","","12","12","0","11","","NULL","NULL","8"
"8","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","If","Success","","11","11","0","10","","NULL","NULL","8"
"9","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Assign","Success","","18","18","0","17","","NULL","NULL","8"
"10","232","true","2021-05-25T20:45:14","2021-05-25T20:45:12","3","Extract ticket from SNOW","Success","","10","10","0","2","","NULL","NULL","8"
"11","232","true","2021-05-25T20:45:14","2021-05-25T20:45:10","3","Assign","Success","","8","8","0","2","","NULL","NULL","8"
"12","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","Assign","Success","","7","7","0","2","","NULL","NULL","8"
"13","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","Assign","Success","","6","6","0","2","","NULL","NULL","8"
"14","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","Assign","Success","","5","5","0","2","","NULL","NULL","8"
"15","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","ReadContentsFromTextFile","Success","","4","4","0","3","","NULL","NULL","8"
"16","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","TryCatch","Success","","3","3","0","2","","NULL","NULL","8"
"17","232","true","2021-05-25T20:45:14","2021-05-25T20:45:09","3","Flowchart","Success","Name: fetched_result Value: , Name: requests Value: , Name: ticketsFound Value: False, Name: Tickets Value: [], Name: outyeah Value: , Name: objectFromAPI Value: , Name: inputJson Value: , Name: facade Value: , Name: outmsg Value: , Name: output Value: , Name: x Value: , Name: datestr Value: , Name: date1 Value: 1/1/0001 12:00:00 AM, Name: variable1 Value: , Name: timestr Value: , Name: variable2 Value: , Name: currDateTime Value: 1/1/0001 12:00:00 AM, Name: lastFetchTimeStr Value: , Name: lastF","2","2","0","1","","NULL","NULL","8"
