"Agent_Node_ID","Agent_ID","Node_ID","Rel_Act_Ind","Last_Updated_Dts","Mapping_Name","Agent_Status","Agent_Base_Directory","Agent_Binary_Download_Status"
"1","1","2","true","2020-04-16T01:18:48","Acme_Map","Running","D:\\ICAP For Demo\\Sql6020VA\\VirtualAgent_vict11_8081",""
"2","1","3","true","2021-05-20T00:10:31","Extractor","Running","C:\\ICAP\\ICAPTestBots\\Extractor","ADDED"
"3","1","3","true","2021-05-20T00:10:31","Classifier","Running","C:\\ICAP\\ICAPTestBots\\Classifier","ADDED"
"4","1","3","true","2021-05-20T00:10:31","Resolver","Running","C:\\ICAP\\ICAPTestBots\\Resolver","ADDED"
"5","4","4","true","2021-05-26T01:56:16","Extractor","Initiated","E:\\ICAPvicsecst07\\Extractor",""
"6","5","4","true","2021-05-26T01:56:17","Classifier","Initiated","E:\\ICAPvicsecst07\\Extractor",""
"7","3","4","true","2021-05-26T01:56:17","Resolver","Initiated","E:\\ICAPvicsecst07\\Extractor",""
"8","1","4","true","2021-06-08T17:10:10","Extractor","Idle","C:\\ICAP\\ICAPTestBots\\Extractor","ADDED"
"9","1","4","true","2021-06-08T17:10:05","Classifier","Idle","C:\\ICAP\\ICAPTestBots\\Classifier","ADDED"
"10","1","4","true","2021-06-08T17:10:04","ProcessInvoiceResolver","Idle","C:\\ICAP\\ICAPTestBots\\Resolver","ADDED"
"11","1","5","true","2021-06-08T17:04:27","Extractor","Initiated","C:\\ICAP\\ICAPTestBots\\Extractor",""
"12","1","5","true","2021-06-08T17:04:27","Classifier","Initiated","C:\\ICAP\\ICAPTestBots\\Classifier",""
"13","1","5","true","2021-06-08T17:04:27","Resolver","Initiated","C:\\ICAP\\ICAPTestBots\\Resolver",""
"14","6","5","true","2021-06-08T17:05:56","Testbot1311","Initiated","E:\\Leap1311\\CommonVA",""
"15","6","5","true","2021-06-08T17:04:27","Classifier_ITAF","Initiated","E:\\Leap1311\\ECR\\Classifier","ADDED"
"16","6","5","true","2021-06-08T17:04:27","Resolver_ITAF","Initiated","E:\\Leap1311\\ECR\\Resolver","ADDED"
"17","6","5","true","2021-06-08T17:05:56","Extractor_ITAF","Initiated","E:\\Leap1311\\ECR\\Extractor","ADDED"
"18","1","6","true","2023-11-15T14:04:26","DTExtractor","Initiated","C:\Leap2_3000\ECR\Extractor\VirtualAgent","ADDED"
"19","1","6","true","2023-11-15T14:14:23","DTClassifier","Initiated","C:\Leap2_3000\ECR\Classifier\VirtualAgent","ADDED"
"20","1","6","true","2023-11-15T14:24:27","DTResolver","Initiated","C:\Leap2_3000\ECR\Resolver\VirtualAgent","ADDED"
