"application_id","application_name","application_grp_id","description","last_updated","project_id"
"1","Internal Reader 1","1","Transition WB","2019-10-14T14:13:28","2"
"3","Internal Reader 3","1","Internal reader","2019-10-14T19:26:50","2"
"4","External Reader 3","1","External Reader","2019-10-15T10:18:37","2"
"5","RTA Performance","2","Rta performance","2019-11-01T10:19:29","2"
"6","RTA-Edit 1 POA","2","RTA edit","2019-12-01T10:20:28","2"
"7","RTA ArtWork Project","2","RTA ArtWork","2019-10-18T10:21:56","2"
"8","Customizations Performance","1","Customizations","2019-10-16T12:44:55","2"
"9","RTA-Edit 10 POA","2","RTA-Edit 10 POA","2019-10-16T12:45:45","2"
"10","Enguinity Micro Delays - Perfromance","3","Enguinity Micro Delays - Perfromance","2019-10-16T12:46:29","2"
"11","Enguinity 55Beauty - Performance","3","Enguinity 55Beauty - Performance","2019-10-16T12:47:38","2"
"12","Engunity 95Beauty - Performance","3","Engunity 95Beauty - Performance","2019-10-16T12:48:31","2"
"13","Enguinity 55Perfume - Performance","3","Enguinity 55Perfume - Performance","2019-10-16T12:49:16","2"
"14","Engunity 95Perfume - Performance","3","Engunity 95Perfume - Performance","2019-10-16T12:50:06","2"
"15","Archer Performance","4","Archer Performance","2019-10-16T12:50:36","2"
"16","GAIMS performance","5","GAIMS performance","2019-10-16T12:51:05","2"
"17","Virtual Teaming - Performance","6","Virtual Teaming - Performance","2019-10-16T12:51:32","2"
"18","CATIA - Performance","7","CATIA - Performance","2019-10-16T12:52:03","2"
"19","SLM - Performance","8","SLM - Performance","2019-10-16T12:52:26","2"
"20","ELN Windows Client - Performance","9","ELN Windows Client - Performance","2019-10-16T12:53:15","2"
"21","ELN Web Client - Performance","9","ELN Web Client - Performance","2019-12-26T10:14:02","2"
