"id","background_colour","ctype","order_value","dashboard_id","project_id"
"1","NULL","BP_L1","0","NULL","2"
"2","NULL","BP_SP","0","NULL","2"
"3","NULL","BP_SSP","0","NULL","2"
"4","NULL","Application Issue","0","22","2"
"5","NULL","Infrastructure Issue","0","22","2"
"6","NULL","Business Process","1","22","2"
"7","NULL","Application & Middleware","2","22","2"
"8","NULL","Data","3","22","2"
"9","NULL","Batch","4","22","2"
"10","NULL","Infrastructure","5","22","2"
"11","NULL","BD_L1","0","NULL","2"
"10143","NULL","Alerts","0","NULL","2"
"10144","NULL","Incidents","0","NULL","2"
"10148","NULL","Application Issue","0","NULL","2"
"10149","NULL","Infra Structure Issues","0","NULL","2"
"10150","NULL","Equipment Issues","0","NULL","2"
"10151","NULL","Navigation","0","NULL","2"
"10152","NULL","Issues","0","NULL","2"
