"id","project_id","palette_id","palette_config","widget_sequence_id"
"5","2","NULL","1","13"
"9","2","NULL","2","14"
"11","2","NULL","2","16"
"19","2","NULL","2","15"
"22","2","NULL","1","2"
"24","2","NULL","1","52"
"26","2","NULL","1","54"
"27","2","NULL","1","55"
"28","2","NULL","1","56"
"31","2","NULL","1","60"
"32","2","NULL","1","61"
"33","2","NULL","1","59"
"34","2","NULL","1","65"
"35","2","NULL","1","66"
"36","2","NULL","1","67"
"37","2","NULL","1","68"
"40","2","NULL","1","70"
"41","2","NULL","2","11"
"42","2","NULL","1","71"
"44","2","NULL","1","72"
"45","2","NULL","2","12"
"46","2","NULL","2","23"
"47","2","NULL","1","74"
"48","2","NULL","1","75"
"52","2","NULL","2","79"
"53","2","NULL","2","78"
"54","2","NULL","2","80"
"55","2","NULL","2","81"
"59","2","NULL","2","87"
"60","2","NULL","2","88"
"62","2","NULL","2","89"
"64","2","NULL","2","90"
"65","2","NULL","2","91"
"68","2","NULL","2","94"
"69","2","NULL","2","92"
"70","2","NULL","2","93"
"71","2","NULL","1","95"
"74","2","NULL","2","99"
"75","2","NULL","2","102"
"76","2","NULL","2","103"
"78","2","NULL","2","105"
"79","2","NULL","2","107"
"80","2","NULL","2","109"
"81","2","NULL","2","110"
"83","2","NULL","2","111"
"84","2","NULL","2","112"
"87","2","NULL","2","117"
"90","2","NULL","2","122"
"92","2","NULL","2","126"
"94","2","NULL","2","129"
"95","2","NULL","2","131"
"96","2","NULL","2","132"
"97","2","NULL","2","142"
"99","2","NULL","2","144"
"100","2","NULL","2","145"
"101","2","NULL","2","146"
"103","2","NULL","2","147"
"104","2","NULL","2","152"
"105","2","NULL","2","153"
"106","2","NULL","1","167"
"107","2","NULL","2","170"
"108","2","NULL","2","172"
"155","2","NULL","2","357"
"159","2","NULL","2","359"
"160","2","NULL","2","362"
"161","2","NULL","2","367"
"162","2","NULL","2","352"
"163","2","NULL","2","354"
"166","2","NULL","2","482"
"167","2","NULL","2","489"
"168","2","NULL","2","481"
"169","2","NULL","2","480"
"170","2","NULL","2","364"
"171","2","NULL","2","368"
"172","2","NULL","2","369"
"173","2","NULL","2","491"
"174","2","NULL","2","372"
"175","2","NULL","2","373"
"177","2","NULL","2","382"
"178","2","NULL","2","386"
"179","2","NULL","2","383"
"180","2","NULL","2","384"
"181","2","NULL","2","387"
"182","2","NULL","2","406"
"183","2","NULL","2","408"
"184","2","NULL","2","307"
"185","2","NULL","2","310"
"186","2","NULL","2","323"
"187","2","NULL","2","325"
"188","2","NULL","2","327"
"189","2","NULL","2","328"
"190","2","NULL","2","330"
"191","2","NULL","2","381"
"192","2","NULL","2","385"
"193","2","NULL","2","463"
"194","2","NULL","2","430"
"195","2","NULL","2","436"
"196","2","NULL","2","437"
"197","2","NULL","2","438"
"198","2","NULL","2","426"
"199","2","NULL","2","427"
"200","2","NULL","2","35"
"201","2","NULL","2","39"

"202","2","NULL","2","1028"
"203","2","NULL","2","1030"
"204","2","NULL","2","1032"
"205","2","NULL","2","1034"
"206","2","NULL","2","1036"

"207","2","NULL","2","1052"
"208","2","NULL","2","1058"
"209","2","NULL","2","1051"
"210","2","NULL","2","1065"
"211","2","NULL","2","1066"
"212","2","NULL","2","1067"
"213","2","NULL","2","1068"
"214","2","NULL","2","1069"
"215","2","NULL","2","1070"
"216","2","NULL","2","1071"
"217","2","NULL","2","1072"
"218","2","NULL","2","1073"
"219","2","NULL","2","1074"
"220","2","NULL","2","1075"
"221","2","NULL","2","1076"
"222","2","NULL","2","1077"
"223","2","NULL","2","1078"
"224","2","NULL","2","1079"
"225","2","NULL","2","1080"
"226","2","NULL","2","1081"
"227","2","NULL","2","1082"
"228","2","NULL","2","1083"
"229","2","NULL","2","1089"
"230","2","NULL","2","1090"
