"application_id","availability_date","location_id","probe_id","application_grp_id","application_grp_name","application_name","last_updated","location_name","perc_availability","probe_name","success_runs","total_runs"
"1","2023-07-08","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","100.0","probe-1","2","2"
"1","2023-07-17","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","58.62","probe-1","17","29"
"1","2023-07-21","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","65.0","probe-1","13","20"
"1","2023-07-22","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","100.0","probe-1","4","4"
"1","2023-07-23","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","100.0","probe-1","1","1"
"1","2023-07-26","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","0.0","probe-1","0","1"
"1","2023-07-28","1","1","1","Reader Performance","Internal Reader 1.0","2021-05-28T09:51:01.000222","USA","100.0","probe-1","3","3"
"3","2023-07-10","1","1","1","Reader Performance","Internal Reader 3.0","2021-05-28T09:51:01.000222","USA","50.0","probe-1","1","2"
"3","2023-07-16","2","1","1","Reader Performance","Internal Reader 3.0","2021-05-28T09:51:01.000222","Singapore","100.0","probe-1","1","1"
"3","2023-07-16","2","10","1","Reader Performance","Internal Reader 3.0","2021-05-28T09:51:01.000222","Singapore","50.0","probe-2","1","2"
"4","2023-07-10","1","11","1","Reader Performance","External Reader 3.0","2021-05-28T09:51:01.000222","USA","100.0","probe-3","2","2"
"5","2023-07-11","1","12","2","Real Time ArtWork","RTA Performance","2021-05-28T09:51:01.000222","USA","100.0","probe-4","1","1"
"6","2023-07-11","2","12","2","Real Time ArtWork","RTA-Edit 1 POA","2021-05-28T09:51:01.000222","Singapore","50.0","probe-4","1","2"
"6","2023-07-28","2","1","2","Real Time ArtWork","RTA-Edit 1 POA","2021-05-28T09:51:01.000222","Singapore","100.0","probe-1","1","1"
"7","2023-07-22","2","10","2","Real Time ArtWork","RTA ArtWork Project","2021-05-28T09:51:01.000222","Singapore","100.0","probe-2","1","1"
"8","2023-07-22","2","11","1","Reader Performance","Customizations Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-3","1","1"
"9","2023-07-22","1","12","2","Real Time ArtWork","RTA-Edit 10 POA","2021-05-28T09:51:01.000222","USA","100.0","probe-4","1","1"
"10","2023-07-22","2","1","3","Enginuity","Enguinity Micro Delays - Perfromance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-1","1","1"
"11","2023-07-22","2","10","3","Enginuity","Enguinity 55Beauty - Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-2","1","1"
"12","2023-07-22","1","11","3","Enginuity","Engunity 95Beauty - Performance","2021-05-28T09:51:01.000222","USA","100.0","probe-3","1","1"
"13","2023-07-22","2","12","3","Enginuity","Enguinity 55Perfume - Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-4","1","1"
"14","2023-07-22","2","1","3","Enginuity","Engunity 95Perfume - Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-1","1","1"
"15","2023-07-22","2","10","4","Archer","Archer Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-2","1","1"
"16","2023-07-22","2","11","5","GAIMS","GAIMS performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-3","1","1"
"17","2023-07-22","1","12","6","Virtual Teaming","Virtual Teaming - Performance","NULL","USA","100.0","probe-4","1","1"
"18","2023-07-22","2","1","7","CATIA","CATIA - Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-1","1","1"
"19","2023-07-22","1","10","8","SLM","SLM - Performance","2021-05-28T09:51:01.000222","USA","100.0","probe-2","1","1"
"20","2023-07-22","1","11","9","ELN","ELN Windows Client - Performance","2021-05-28T09:51:01.000222","USA","100.0","probe-3","1","1"
"21","2022-07-02","2","12","9","ELN","ELN Web Client - Performance","2021-05-28T09:51:01.000222","Singapore","100.0","probe-4","1","1"
