"entity","entity_type","model_group","organization"
"Roster Keywords","schema","Essedum","leo1311"
"Roster Ticket Weightage","schema","Essedum","leo1311"
"Roster Tickets","schema","Essedum","leo1311"
"Shift Details","schema","Essedum","leo1311"

"LEORSTRS30124","pipeline","Essedum","leo1311"
"LEORSTRS62652","pipeline","Essedum","leo1311"
"LEORSTRS86577","pipeline","Essedum","leo1311"
"LEOASGND51842","dataset","Essedum","leo1311"
"LEOWGHTG31564","dataset","Essedum","leo1311"
"LEOCLSFD44591","dataset","Essedum","leo1311"
"LEONWDMP53855","dataset","Essedum","leo1311"
"LEORSTRD52374","dataset","Essedum","leo1311"
"LEOUNSGN96999","dataset","Essedum","leo1311"
"LEOTCKTS56442","pipeline","Essedum","leo1311"
