"id","border_true","boxcolor_true","default_border","default_fill_color","default_font","default_visibility","element_id","fill_color_true","font_true","runtime_border","runtime_boxcolor","runtime_fill_color","runtime_font","runtime_text","runtime_visibility","visibility_true","project_id","svg_id"
"1","NULL","NULL","NULL","NULL","NULL","NULL","shape1002-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"2","NULL","NULL","NULL","NULL","NULL","NULL","shape1001-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"3","NULL","NULL","NULL","NULL","NULL","NULL","group1004-6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"4","NULL","NULL","NULL","NULL","NULL","NULL","group1005-10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"5","NULL","NULL","NULL","NULL","NULL","NULL","group1059-14","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"6","NULL","NULL","NULL","NULL","NULL","NULL","shape1060-18","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"7","NULL","NULL","NULL","NULL","NULL","NULL","group1063-21","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"8","NULL","NULL","NULL","NULL","NULL","NULL","shape1064-25","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"9","NULL","NULL","NULL","NULL","NULL","NULL","group1067-28","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"10","NULL","NULL","NULL","NULL","NULL","NULL","shape1068-32","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"11","NULL","NULL","NULL","NULL","NULL","NULL","group1071-35","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"12","NULL","NULL","NULL","NULL","NULL","NULL","shape1072-39","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"13","NULL","NULL","NULL","NULL","NULL","NULL","group1075-42","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"14","NULL","NULL","NULL","NULL","NULL","NULL","shape1076-46","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"15","NULL","NULL","NULL","NULL","NULL","NULL","group1079-49","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"16","NULL","NULL","NULL","NULL","NULL","NULL","shape1080-53","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"17","NULL","NULL","NULL","NULL","NULL","NULL","group1083-56","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"18","NULL","NULL","NULL","NULL","NULL","NULL","shape1084-61","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"19","NULL","NULL","NULL","NULL","NULL","NULL","group1087-64","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"20","NULL","NULL","NULL","NULL","NULL","NULL","shape1088-68","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"21","NULL","NULL","NULL","NULL","NULL","NULL","group1091-71","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"22","NULL","NULL","NULL","NULL","NULL","NULL","shape1092-75","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"23","NULL","NULL","NULL","NULL","NULL","NULL","group1095-78","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"24","NULL","NULL","NULL","NULL","NULL","NULL","shape1096-82","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"25","NULL","NULL","NULL","NULL","NULL","NULL","group1099-85","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"26","NULL","NULL","NULL","NULL","NULL","NULL","shape1100-89","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"27","NULL","NULL","NULL","NULL","NULL","NULL","group1103-92","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"28","NULL","NULL","NULL","NULL","NULL","NULL","shape1104-96","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"29","NULL","NULL","NULL","NULL","NULL","NULL","group1107-99","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"30","NULL","NULL","NULL","NULL","NULL","NULL","shape1108-103","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"31","NULL","NULL","NULL","NULL","NULL","NULL","group1187-106","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"32","NULL","NULL","NULL","NULL","NULL","NULL","shape1188-110","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"33","NULL","NULL","NULL","NULL","NULL","NULL","group1191-113","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
"34","NULL","NULL","NULL","NULL","NULL","NULL","shape1192-117","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1"
