"id","project_id","ci_item1_name","ci_item2_name","relation_type","ci_item1","ci_item2"
"1","2","Disruption","Buy","NULL","6","2"
"2","2","Disruption","Make","NULL","6","3"
"3","2","Disruption","Move","NULL","6","4"
"4","2","Disruption","Plan","NULL","6","1"
"5","2","Disruption","Sell","NULL","6","5"
"6","2","Plan","Pricing Scheduling","NULL","1","7"
"7","2","Plan","Brand Management","NULL","1","8"
"8","2","Plan","Marketing Planning","NULL","1","9"
"9","2","Plan","Promotion","NULL","1","10"
"10","2","Plan","Distribution Planning","NULL","1","12"
"11","2","Plan","Category Supply Planning","NULL","1","11"
"12","2","Buy","Sourcing","NULL","2","13"
"13","2","Buy","Vendor Management","NULL","2","14"
"14","2","Buy","Raw Material Management","NULL","2","15"
"15","2","Buy","Finance Management","NULL","2","16"
"16","2","Make","Quality Assurance","NULL","3","17"
"17","2","Make","Quality Execution","NULL","3","18"
"18","2","Make","Production Planning","NULL","3","20"
"19","2","Make","Receiving Material","NULL","3","21"
"20","2","Make","Equipment Alignment","NULL","3","19"
"21","2","Move","Shipping","NULL","4","22"
"22","2","Move","Inventory Management","NULL","4","23"
"23","2","Move","Order Acquisition","NULL","4","29"
"24","2","Move","Order Scheduling","NULL","4","24"
"25","2","Move","Pick Pack","NULL","4","25"
"26","2","Sell","Marketing Management","NULL","5","26"
"27","2","Sell","Sales Order Management","NULL","5","27"
"28","2","Sell","Invoice Match","NULL","5","28"
"29","2","Brand Management","Authorization","NULL","8","30"
"30","2","Brand Management","Cheetahmail","NULL","8","31"
"31","2","Finance Management","Authorization","NULL","16","30"
"32","2","Move","DLX WM","NULL","36","43"
"33","2","DLX WM","Orders","NULL","43","56"
"34","2","Orders","Pick Wave Generation","NULL","56","63"
"35","2","Pick Wave Generation","DB Servers","NULL","63","66"
"36","2","DB Servers","Authorization","NULL","66","30"
"37","2","DB Servers","Cheetahmail","NULL","66","31"
