"id","project_id","actual_value","column_name","column_to_value","column_value","default_value","display_value","selection_type","show_value","context","dashboard","widget"
"1","2","NULL","server","server","filterServer","NULL","NULL","1","false","NULL","25","NULL"
"12","2","NULL","Desk","deskName","ClaimDeskFilter","NULL","NULL","0","false","NULL","54","NULL"
"13","2","NULL","PU","PU","ClaimPUFilter","NULL","NULL","0","NULL","NULL","54","NULL"
"14","2","NULL","Variant","variantId","ClaimVariantFilter","NULL","NULL","0","NULL","NULL","54","NULL"
"15","2","NULL","Time/Frequency","is_param","TimeFreqFilter","NULL","NULL","0","NULL","NULL","54","NULL"
"16","2","NULL","ClaimType","eventType","ClaimEvtFilter","NULL","NULL","0","NULL","NULL","54","NULL"
"17","2","NULL","Variant","variantId","ProcessTemplate_Variant","NULL","NULL","0","NULL","NULL","6","NULL"
"18","2","NULL","Time/Frequency","is_param","ProcessTemplate_TimeFrequency","NULL","NULL","0","NULL","NULL","6","NULL"

"19","2","NULL","Transition","transitionName","transitionfilter","transitionfilter","NULL","1","FALSE","NULL","95","NULL"
"20","2","NULL","Wave","waveName","wavefilter","wavefilter","NULL","1","FALSE","NULL","95","NULL"
"21","2","NULL","Cluster","clusterName","clusterfilter","clusterfilter","NULL","1","FALSE","NULL","95","NULL"
"22","2","NULL","Application","applicationName","applicationfilter","applicationfilter","NULL","1","FALSE","NULL","95","NULL"
"23","2","NULL","Vendor","lobId","lobfilter","lobfilter","NULL","1","FALSE","NULL","95","NULL"
"24","2","NULL","Transition","transitionName","transitionfilter","transitionfilter","NULL","1","FALSE","NULL","96","NULL"
"25","2","NULL","Wave","waveName","wavefilter","wavefilter","NULL","1","FALSE","NULL","96","NULL"
"26","2","NULL","Cluster","clusterName","clusterfilter","clusterfilter","NULL","1","FALSE","NULL","96","NULL"
"27","2","NULL","Application","applicationName","applicationfilter","applicationfilter","NULL","1","FALSE","NULL","96","NULL"
"28","2","NULL","Vendor","lobId","lobfilter","lobfilter","NULL","1","FALSE","NULL","96","NULL"
"29","2","NULL","Transition","transitionName","transitionfilter","transitionfilter","NULL","1","FALSE","NULL","217","NULL"
"30","2","NULL","Wave","waveName","wavefilter","wavefilter","NULL","1","FALSE","NULL","217","NULL"
"31","2","NULL","Cluster","clusterName","clusterfilter","clusterfilter","NULL","1","FALSE","NULL","217","NULL"
"32","2","NULL","Application","applicationName","applicationfilter","applicationfilter","NULL","1","FALSE","NULL","217","NULL"
"33","2","NULL","Vendor","lobId","lobfilter","lobfilter","NULL","1","FALSE","NULL","217","NULL"
"34","2","NULL","Enablement Track","enable_name","enablementFilter","enablementFilter","NULL","1","FALSE","NULL","95","NULL"
"35","2","NULL","Enablement Track","enable_name","enablementFilter","enablementFilter","NULL","1","FALSE","NULL","96","NULL"
"36","2","NULL","Enablement Track","enable_name","enablementFilter","enablementFilter","NULL","1","FALSE","NULL","217","NULL"
