id,project_id,color_type,colour,dataset_name,datasource_name,y_axis,chart_type,widget_id
2,2,palette,#5cb6bc,TotalTickets,leo1311,NULL,NULL,2
3,2,fixed,#7B39B1,CriticalPriorityTickets,leo1311,NULL,NULL,3
4,2,fixed,#7B39B1,HighPriorityTickets,leo1311,NULL,NULL,4
5,2,fixed,#7B39B1,MediumPriorityTickets,leo1311,NULL,NULL,5
6,2,fixed,#7B39B1,LowPriorityTickets,leo1311,NULL,NULL,6
10,2,palette,#8cb814,OpenTickets,leo1311,NULL,NULL,10
11,2,palette,#7B39B1,OpenTickets,leo1311,NULL,NULL,11
12,2,palette,#7B39B1,ClosedTickets,leo1311,NULL,NULL,12
13,2,palette,NULL,Incident_Count_By_Cluster,leo1311,0,6,13
14,2,palette,NULL,Incident_Count_By_Cluster,leo1311,0,6,14
15,2,palette,NULL,Incident_Count_By_Cluster,leo1311,0,6,15
16,2,fixed,#7b39b1,Cluster_Pareto,leo1311,0,3,16
17,2,fixed,#7B39B1,Cluster_Count,leo1311,NULL,NULL,17
18,2,dynamic,,Cluster_Details,leo1311,NULL,12,18
19,2,dynamic,,Cluster_Incidents_By_Assignee,leo1311,0,19,19
20,2,dynamic,,Incident_Arrival_by_Category,leo1311,0,1,20
21,2,dynamic,,Cluster_incident_count_by_close_Code,leo1311,0,6,21
22,2,dynamic,,Cluster_Incident_Details,leo1311,NULL,12,22
23,2,palette,NULL,TicketMetResolutionSLA,leo1311,NULL,NULL,23
25,2,fixed,#7b39b1,IncidentCountByApplication,leo1311,0,3,25
26,2,fixed,#7b39b1,DistributionByCategory,leo1311,0,6,26
27,2,fixed,#7B39B1,TotalTicketAvgDuration,leo1311,NULL,NULL,27
28,2,fixed,#7B39B1,CriticalTicketsAvgDuration,leo1311,NULL,NULL,28
29,2,fixed,#7B39B1,MediunTicketsAvgDuration,leo1311,NULL,NULL,29
30,2,fixed,#7B39B1,HighTicketAvgDuration,leo1311,NULL,NULL,30
31,2,fixed,#7B39B1,LowTicketsAvgDuration,leo1311,NULL,NULL,31
32,2,fixed,#7b39b1,DistributionByAssignmentGroup,leo1311,0,10,32
33,2,fixed,#7b39b1,DistributionByState,leo1311,0,6,33
34,2,fixed,#1c9c3c,DistributionByPriority,leo1311,0,10,34
35,2,palette,NULL,DistributionByPriority,leo1311,0,10,35
