"probe_run_app_id","is_aborted","is_available","workflow_id","run_id","execution_id","probe_loc_run_id","mapping_id","error_data","run_date","run_date_est","run_description","run_end_time","run_result","run_start_time","run_time","sut","application_id","location_id","probe_id"
"1","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-28","2021-05-28","Internal Reader 1.0 R","22:05:03","true","22:05:01","23.0","Singapore-1","1","1","1"
"2","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-28","2021-05-28","Internal Reader 1.0 R","22:05:03","true","22:05:01","50.0","Singapore-2","1","1","1"
"3","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-10","2021-05-10","Internal Reader 1.0 R","22:05:03","true","22:05:01","25.0","Singapore-1","3","1","1"
"4","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-10","2021-05-10","Internal Reader 1.0 R","22:10:03","false","22:05:01","67.0","Singapore-1","3","1","1"
"5","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-08","2021-05-08","Internal Reader 1.0 R","22:10:03","true","22:05:01","42.0","Singapore-5","1","1","1"
"6","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-08","2021-05-08","PLMBACKBONE-3dsprod11","16:01:13","true","16:01:08","23.0","Singapore-2","1","1","1"
"7","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-23","2021-05-23","Internal Reader 1.0 R","16:01:18","true","16:01:14","50.0","Singapore-1","1","1","1"
"8","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-26","2021-05-26","Internal Reader 1.0 R","19:05:28","false","19:05:24","67.0","Singapore2","1","1","1"
"9","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-28","2021-05-28","Internal Reader 1.0 R","15:52:26","true","15:52:21","50.0","Singapore2","1","1","1"
"10","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-28","2021-05-28","Internal Reader 1.0 R","22:05:03","true","22:05:01","23.0","Singapore-1","6","2","1"
"11","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-16","2021-05-16","Internal Reader 3.0 R","19:40:03","true","19:40:01","23.0","Singapore-1","3","2","1"
"12","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-16","2021-05-16","Internal Reader 3.0 R","19:49:03","false","19:49:01","42.0","Singapore-1","3","2","10"
"13","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-16","2021-05-16","Internal Reader 3.0 R","19:51:13","true","19:51:10","67.0","Sinapore-2","3","2","10"
"14","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-10","2021-05-10","External Reader 3.0 R","20:05:10","true","20:03:04","25.0","Boston","4","1","11"
"15","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-10","2021-05-10","Extrenal Reader 3.0 R","20:07:08","true","20:07:04","23.0","Boston","4","1","11"
"16","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-11","2021-05-11","RTA Performance","22:49:04","true","22:49:01","25.0","Boston","5","1","12"
"17","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-11","2021-05-11","RTA-Edit 1 POA","22:52:04","false","22:52:01","42.0","Singapore-3","6","2","12"
"18","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-11","2021-05-11","RTA-Edit 1 POA","22:53:14","true","22:53:10","57.0","Singapore-4","6","2","12"
"19","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","RTA ArtWork Project","23:00:04","true","23:00:01","42.0","Singapore-1","7","2","10"
"20","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Customizations Performance","23:02:14","true","23:02:10","67.0","Singapore-2","8","2","11"
"21","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","RTA-Edit 10 POA","23:03:19","true","23:03:15","25.0","Boston","9","1","12"
"22","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Enguinity Micro Delays - Performance","23:04:29","true","23:04:25","23.0","Singapore-3","10","2","1"
"23","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Enguinity 55Beauty - Performance","23:05:10","true","23:05:06","42.0","Singapore-4","11","2","10"
"24","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Engunity 95Beauty - Performance","23:07:46","true","23:07:42","57.0","Boston","12","1","11"
"25","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Enguinity 55Perfume - Performance","23:09:55","true","23:09:51","69.0","Singapore-1","13","2","12"
"26","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Engunity 95Perfume - Performance","23:14:07","true","23:11:04","25.0","Singapore-2","14","2","1"
"27","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Archer Performance","23:12:08","true","23:12:04","23.0","Singapore-3","15","2","10"
"28","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","GAIMS performance","23:13:13","true","23:13:10","42.0","Singapore-4","16","2","11"
"29","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","Virtual Teaming - Performance","23:14:27","true","23:14:23","57.0","Boston","17","1","12"
"30","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","CATIA - Performance","23:16:05","true","23:16:01","23.0","Singapore-1","18","2","1"
"31","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","SLM - Performance","23:17:20","true","23:17:16","25.0","Singapore-2","19","1","10"
"32","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","ELN Windows Client - Performance","23:18:24","true","23:18:21","67.0","Singapore-3","20","1","11"
"33","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2020-05-02","2020-05-02","ELN Web Client - Performance","23:19:10","true","23:19:06","23.0","Singapore-4","21","2","12"
"34","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"35","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"36","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"37","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-22","2021-05-22","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"38","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"39","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"40","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
"41","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
"42","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"43","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
"44","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"45","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
"46","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"47","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
"48","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"57","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"58","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"59","0","true","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","true","12:30:22","NULL","CHNSHL368939D","1","1","1"
"60","0","false","NULL","NULL","NULL","NULL","NULL","NULL","2021-05-17","2021-05-17","PLMBACKBONE","12:32:32","false","12:30:22","NULL","CHNSHL368939D","1","1","1"
