"id","priority_value","priority_type","support_request","target_percentage","ss_target_percentage","response_sla_adherence","resolution_sla_adherence"
"175","p1","1","64","75.00","40.00","95.00","95.00"
"176","p2","2","64","75.00","40.00","90.00","90.00"
"177","p3","3","64","75.00","40.00","90.00","90.00"
"178","p4","4","64","75.00","40.00","90.00","90.00"
"179","p1","1","65","75.00","40.00","95.00","95.00"
"180","p2","2","65","75.00","40.00","90.00","90.00"
"181","p3","3","65","75.00","40.00","90.00","90.00"
"182","p4","4","65","75.00","40.00","90.00","90.00"
"183","p4","4","66","75.00","40.00","90.00","90.00"
"184","p4","4","67","75.00","40.00","90.00","90.00"
"185","p1","1","68","70.00","70.00","90.00","90.00"
"186","p4","4","68","70.00","70.00","90.00","90.00"
"197","newPriority","5","72","80.00","70.00","60.00","50.00"
"198","newPriority","5","72","80.00","70.00","60.00","50.00"
