"id","portfolio_id","project_id","role_id","user_id"
"196","2","2","6","1"
"197","2","2","81","1"
"198","2","2","17","1"
"199","2","2","11","1"
"200","2","2","86","1"
"201","2","2","87","1"
"202","2","2","73","1"
"203","2","2","74","1"
"204","2","2","8","1"
"205","2","2","82","1"
"206","2","2","78","1"
"207","2","2","77","1"
"208","2","2","76","1"
"209","2","2","83","1"
"210","2","2","85","1"
"211","2","2","1","1"
"212","2","2","20","1"
"213","2","2","2","1"
"214","2","2","119","1"
"215","2","2","122","1"
"216","2","2","120","1"
"217","2","2","121","1"
"218","2","2","27","1"
"219","2","2","79","1"
"220","2","2","3","1"
"221","2","2","72","1"
"227","2","2","12","1"
"331","2","2","88","1"
"332","2","2","88","3"
"333","2","2","6","3"
"334","2","2","81","3"
"335","2","2","17","3"
"336","2","2","11","3"
"337","2","2","86","3"
"338","2","2","87","3"
"339","2","2","73","3"
"340","2","2","74","3"
"341","2","2","8","3"
"342","2","2","82","3"
"343","2","2","78","3"
"344","2","2","77","3"
"345","2","2","76","3"
"346","2","2","83","3"
"347","2","2","85","3"
"348","2","2","1","3"
"349","2","2","20","3"
"350","2","2","2","3"
"351","2","2","119","3"
"352","2","2","122","3"
"353","2","2","120","3"
"354","2","2","121","3"
"355","2","2","27","3"
"356","2","2","79","3"
"357","2","2","3","3"
"358","2","2","72","3"
"363","2","2","12","3"
"72","2","2","1","2"
"73","2","2","8","2"
"364","2","2","123","1"
"365","2","2","124","1"
"366","2","2","125","1"
"100","2","2","15","3"
"101","2","2","15","2"
