"id","project_id","color_type","colour","dataset_name","datasource_name","y_axis","chart_type","widget_id"
"217507","2","dynamic","","Totalservices_DT","essedummaster","NULL","12","210259"
"217508","2","dynamic","","ServiceswithAlerts_DT","essedummaster","NULL","12","210260"
"217509","2","dynamic","","ServiceswithIssues_DT","essedummaster","NULL","12","210261"
"217510","2","dynamic","","rootcauseentityalertsDD_DT","essedummaster","NULL","12","210262"
"217511","2","dynamic","","IssueDetails_DT","essedummaster","NULL","12","210263"
"217512","2","dynamic","","Slowdownproblemtable_DT","essedummaster","NULL","12","210264"
"217513","2","dynamic","","IssueDetails_DT","essedummaster","NULL","12","210265"
"217514","2","palette","#00b28f","ImpactLevelGraph_DT","essedummaster","0","6","210266"
"217515","2","palette","#00b28f","problemperrootcauseentityHG_DT","essedummaster","0","3","210267"
"217516","2","dynamic","","commonIssue_DT","essedummaster","NULL","12","210268"
"217517","2","dynamic","","commonIssue_DT","essedummaster","NULL","12","210269"
"217518","2","fixed","#000000","IssuesTrendWeekly_DT","essedummaster","0","1","210270"
"217519","2","fixed","#cb1010","IssuesTrendweeklyAvailablity_DT","essedummaster","0","1","210271"
"217520","2","fixed","#f9aa01","issuesTrendError_DT","essedummaster","0","1","210271"
"217521","2","fixed","#1709dc","trendIssueWeeklyperformance_DT","essedummaster","0","1","210271"
"217522","2","fixed","#171716","IssuesTrendweeklyresource_DT","essedummaster","0","1","210271"
"217523","2","dynamic","","PiechartIssues_DT","essedummaster","0","6","210272"
"217524","2","palette","#00b28f","PiechartIssues_DT","essedummaster","0","6","210273"
"217525","2","dynamic","","TotalHost_DT","essedummaster","NULL","12","210274"
"217526","2","dynamic","","HostswithAlerts_DT","essedummaster","NULL","12","210275"
"217527","2","dynamic","","HostswithIssues_DT","essedummaster","NULL","12","210276"
"217528","2","fixed","#ede026","performanceEvents_DT","essedummaster","NULL","NULL","210277"
"217529","2","dynamic","","ResourceEventsTable_DT","essedummaster","NULL","12","210278"
"217530","2","dynamic","","AvailablityEventsTable_DT","essedummaster","NULL","12","210279"
"217531","2","dynamic","","AlertDetails_DT","essedummaster","NULL","12","210280"
"217532","2","palette","NULL","pieChartAlerts_DT","essedummaster","0","6","210281"
"217533","2","palette","NULL","impactLevelIssuePieChart_DT","essedummaster","0","6","210282"
"217534","2","fixed","#000000","AlertTrendWeekly_DT","essedummaster","0","1","210283"
"217535","2","fixed","#000000","AlertTrendWeekly_DT","essedummaster","0","1","210284"
"217536","2","fixed","#d51010","AvailabilityAlertTrendWeekly_DT","essedummaster","0","1","210285"
"217537","2","fixed","#f9aa01","ErrorAlertTrendWeekly_DT","essedummaster","0","1","210285"
"217538","2","fixed","#1709dc","PerformanceAlertTrendWeekly_DT","essedummaster","0","1","210285"
"217539","2","fixed","#171716","ResourceAlertTrendWeekly_DT","essedummaster","0","1","210285"
"217540","2","dynamic","","alertsDDonstatus1_DT","essedummaster","NULL","12","210286"
"217541","2","dynamic","","commonIssueDrillDown_DT","essedummaster","NULL","12","210287"
"217542","2","dynamic","","commonIssueDrillDown_DT","essedummaster","NULL","12","210288"
"217543","2","dynamic","","commonIssueDrillDown_DT","essedummaster","NULL","12","210289"
"217544","2","fixed","#000000","CPUsaturationGraph_DT","essedummaster","0","1","210290"
"217545","2","fixed","#000000","MemoryUsageGraph_DT","essedummaster","0","1","210291"
"217546","2","fixed","#000000","DiskUsageGraph_DT","essedummaster","0","1","210292"
"217547","2","dynamic","","LEOTTL_N46056","LEOAPM_D45245","NULL","12","210293"
"217548","2","dynamic","","AppswithAlerts_DT","essedummaster","NULL","12","210294"
"217549","2","dynamic","","AppswithIssues_DT","essedummaster","NULL","12","210295"
"217550","2","dynamic","","TotalApps_DT","essedummaster","NULL","12","210296"
"217551","2","palette","#00b28f","Revenuelastday_DT","essedummaster","NULL","NULL","210297"
"217552","2","palette","#00b28f","revenuelasthour_DT","essedummaster","NULL","NULL","210298"
"217553","2","palette","#00b28f","bookinglastday_DT","essedummaster","NULL","NULL","210299"
"217554","2","palette","#00b28f","bookinglasthour_DT","essedummaster","NULL","NULL","210300"
"217555","2","palette","#00b28f","problemcountrectified_new_DT","essedummaster","NULL","NULL","210301"
