"name","schemaA","schemaB","schema_relation","relationship_template","organization","lastmodifiedby","alias","lastmodifieddate"
"Job_JobInstance","Job","JobInstance","{\"pCol\":[\"name\"],\"cCol\":[\"job_name\"]}","NULL","leo1311","admin","Job_JobInstance","2021-12-20T11:39:57.033"
"JobInstance_Group","JobInstance","Group","{\"pCol\":[\"group_name\"],\"cCol\":[\"name\"]}","NULL","leo1311","admin","JobInstance_Group","2021-12-20T11:40:26.659"
"BP_CI","Business_Process","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","BP_CI","2021-12-22T06:24:08.575"
"CI_AM","CIMapping","Application_and_Middleware","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_AM","2021-12-22T06:24:33.247"
"AM_CI","Application_and_Middleware","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","AM_CI","2021-12-22T07:10:57.237"
"CI_Data","CIMapping","Application_Data","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_Data","2021-12-22T07:13:14.379"
"Data_CI","Application_Data","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","Data_CI","2021-12-22T07:15:14.983"
"CI_Batch","CIMapping","Batch","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_Batch","2021-12-22T07:16:29.868"
"Batch_CI","Batch","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","Batch_CI","2021-12-22T07:45:39.127"
"CI_Infra","CIMapping","Infrastructure","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_Infra","2021-12-22T07:46:00.265"
"Infra_CI","Infrastructure","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","Infra_CI","2021-12-22T07:46:14.309"
"CI_AppIssue","CIMapping","Application_Issue","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_AppIssue","2021-12-22T07:47:13.898"
"BPSSP_CI","BP_SSP","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","BPSSP_CI","2021-12-22T08:05:03.410"
"BPL1_CI","BP_L1","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","BPL1_CI","2021-12-22T07:55:55.512"
"BPSP_CI","BP_SP","CIMapping","{\"pCol\":[\"id\"],\"cCol\":[\"ci_item1\"]}","NULL","leo1311","admin","BPSP_CI","2021-12-22T07:56:27.670"
"CI_BPSSP","CIMapping","BP_SSP","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_BPSSP","2021-12-22T08:05:30.192"
"CI_BPSP","CIMapping","BP_SP","{\"pCol\":[\"ci_item2\"],\"cCol\":[\"id\"]}","NULL","leo1311","admin","CI_BPSP","2021-12-22T08:06:14.866"

