"id","chart_type","description","context"
"1","line","NULL","NULL"
"2","spline","NULL","NULL"
"3","column","NULL","NULL"
"4","combo","NULL","NULL"
"5","grouped-column","NULL","NULL"
"6","pie","NULL","NULL"
"7","stacked-column","NULL","NULL"
"8","3D-column","NULL","NULL"
"9","Tree map","NULL","NULL"
"10","donut","NULL","NULL"
"11","Word Cloud","NULL","NULL"
"12","Table","NULL","NULL"
"13","area","NULL","NULL"
"14","map","NULL","NULL"
"15","gauge","NULL","NULL"
"16","heatmap","NULL","NULL"
"17","speedometer","NULL","NULL"
"18","horizontalGauge","NULL","NULL"
"19","bar","NULL","NULL"
"20","network graph","NULL","NULL"
"21","bubble","NULL","NULL"
"22","stacked-bar","NULL","NULL"
"23","funnel","NULL","NULL"
"24","timeline","NULL","NULL"
"25","sunburst","NULL","NULL"
"31","variablepie","NULL","NULL"
"32","time series","NULL","NULL"
