"id","permission","role"
"36","6","6"
"37","5","6"
"38","3","6"
"39","4","6"
"40","7","1"
"41","9","1"
"43","8","1"
"44","8","17"
"45","9","17"
"46","7","17"
"47","4","17"
"48","3","17"
"49","5","17"
"50","6","17"
"51","14","1"
"52","13","1"
"53","12","1"
"54","15","1"
"59","7","11"
"60","8","11"
"61","9","11"
"63","16","6"
"64","15","6"
"65","14","6"
"66","24","6"
"67","18","6"
"68","17","6"
"69","20","6"
"70","19","6"
"71","12","6"
"72","13","6"
"73","11","6"
"74","10","6"
"75","7","6"
"76","8","6"
"77","9","6"
"78","16","11"
"79","15","11"
"80","14","11"
"81","24","11"
"82","18","11"
"83","17","11"
"84","20","11"
"85","19","11"
"86","12","11"
"87","13","11"
"88","11","11"
"89","10","11"
"90","10","81"
"91","7","81"
"92","8","81"
"93","9","81"
"94","10","17"
"95","7","2"
"96","8","2"
"97","9","2"
"102","10","86"
"103","7","86"
"104","8","86"
"105","9","86"
"108","12","120"
"109","13","120"
"110","21","120"
"111","13","121"
"112","22","121"
"113","12","121"
"114","12","122"
"115","13","122"
"116","22","122"
"117","21","122"
"118","23","122"
"119","16","1"
"120","13","3"
"123","18","1"
"124","7","2"
"125","8","2"
"126","9","2"
"127","12","2"
"128","13","2"
"129","14","2"
"130","15","2"
"131","16","2"
"132","17","2"
"133","18","2"
"134","19","2"
"135","20","2"
"136","14","119"
"137","15","119"
"138","14","120"
"139","15","120"
"140","14","121"
"141","15","121"
"142","14","122"
"143","15","122"
"144","19","1"
"145","20","1"
"146","11","1"
"147","27","1"
"148","26","1"
"149","25","1"
"150","13","124"
"151","13","125"
